,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://www.dailypolitical.com/2018/02/17/first-trust-advisors-lp-purchases-458381-shares-of-franklin-resources-inc-ben.html,https://www.dailypolitical.com/2018/02/17/first-trust-advisors-lp-purchases-458381-shares-of-franklin-resources-inc-ben.html/amp,"First Trust Advisors LP Purchases 458 , 381 Shares of Franklin Resources , Inc . ( BEN ) ",20180217T130000Z,,dailypolitical.com,English,United States
1,https://www.dailypolitical.com/2018/02/11/zurcher-kantonalbank-zurich-cantonalbank-lowers-stake-in-franklin-resources-inc-ben.html,https://www.dailypolitical.com/2018/02/11/zurcher-kantonalbank-zurich-cantonalbank-lowers-stake-in-franklin-resources-inc-ben.html/amp,"Zurcher Kantonalbank Zurich Cantonalbank Lowers Stake in Franklin Resources , Inc . ( BEN ) ",20180211T114500Z,,dailypolitical.com,English,United States
2,https://ledgergazette.com/2018/02/12/candriam-luxembourg-s-c-a-sells-112121-shares-of-franklin-resources-inc-ben.html,https://ledgergazette.com/2018/02/12/candriam-luxembourg-s-c-a-sells-112121-shares-of-franklin-resources-inc-ben.html/amp,"Candriam Luxembourg S . C . A . Sells 112 , 121 Shares of Franklin Resources , Inc . ( BEN ) ",20180212T194500Z,,ledgergazette.com,English,United States
3,https://www.dailypolitical.com/2018/02/01/chatham-capital-group-inc-acquires-new-stake-in-franklin-resources-inc-ben.html,https://www.dailypolitical.com/2018/02/01/chatham-capital-group-inc-acquires-new-stake-in-franklin-resources-inc-ben.html/amp,"Chatham Capital Group Inc . Acquires New Stake in Franklin Resources , Inc . ( BEN ) ",20180201T154500Z,,dailypolitical.com,English,United States
4,https://www.dailypolitical.com/2018/02/05/franklin-resources-ben-rating-lowered-to-hold-at-valuengine.html,https://www.dailypolitical.com/2018/02/05/franklin-resources-ben-rating-lowered-to-hold-at-valuengine.html/amp,Franklin Resources ( BEN ) Rating Lowered to Hold at ValuEngine,20180205T111500Z,,dailypolitical.com,English,United States
7,https://www.dailypolitical.com/2018/02/20/franklin-resources-ben-receiving-positive-news-coverage-analysis-finds.html,https://www.dailypolitical.com/2018/02/20/franklin-resources-ben-receiving-positive-news-coverage-analysis-finds.html/amp,"Franklin Resources ( BEN ) Receiving Positive News Coverage , Analysis Finds",20180221T034500Z,,dailypolitical.com,English,United States
8,https://www.dailypolitical.com/2018/02/28/wells-fargo-company-mn-reduces-stake-in-franklin-resources-inc-ben.html,https://www.dailypolitical.com/2018/02/28/wells-fargo-company-mn-reduces-stake-in-franklin-resources-inc-ben.html/amp,"Wells Fargo & Company MN Reduces Stake in Franklin Resources , Inc . ( BEN ) ",20180228T224500Z,,dailypolitical.com,English,United States
9,https://ledgergazette.com/2018/02/19/candriam-luxembourg-s-c-a-sells-112121-shares-of-franklin-resources-inc-ben.html,https://ledgergazette.com/2018/02/19/candriam-luxembourg-s-c-a-sells-112121-shares-of-franklin-resources-inc-ben.html/amp,"Candriam Luxembourg S . C . A . Sells 112 , 121 Shares of Franklin Resources , Inc . ( NYSE : BEN ) ",20180219T203000Z,,ledgergazette.com,English,United States
11,https://www.dailypolitical.com/2018/02/18/franklin-resources-inc-ben-stake-lessened-by-keybank-national-association-oh.html,https://www.dailypolitical.com/2018/02/18/franklin-resources-inc-ben-stake-lessened-by-keybank-national-association-oh.html/amp,"Franklin Resources , Inc . ( BEN ) Stake Lessened by Keybank National Association OH",20180218T130000Z,,dailypolitical.com,English,United States
13,https://www.tickerreport.com/banking-finance/3223586/first-republic-investment-management-inc-has-5-96-million-stake-in-franklin-resources-inc-ben.html,https://www.tickerreport.com/banking-finance/3223586/first-republic-investment-management-inc-has-5-96-million-stake-in-franklin-resources-inc-ben.html/amp,"First Republic Investment Management Inc . Has $5 . 96 Million Stake in Franklin Resources , Inc . ( BEN ) ",20180226T193000Z,,tickerreport.com,English,United States
