,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://westmorelandtimes.com/2018/05/16/aon-plc-class-a-ordinary-shares-uk-nyseaon-shorts-rose-by-4-49-as-of-may-16-2018/,,"Aon Plc Class A Ordinary Shares united kingdom ) ( NYSE : AON ) Shorts Rose By 4 . 49 % As Of May 16 , 2018",20180516T180000Z,,westmorelandtimes.com,English,United States
1,https://www.twst.com/update/aon-plc-aon-creates-new-carrier-solutions-group-names-karl-hennessy-ceo/,https://www.twst.com/update/aon-plc-aon-creates-new-carrier-solutions-group-names-karl-hennessy-ceo/amp/,"AON plc : Aon Creates New Carrier Solutions Group , Names Karl Hennessy CEO",20180529T181500Z,,twst.com,English,United States
2,http://www.4-traders.com/AON-PLC-11994390/news/Aon-Creates-New-Carrier-Solutions-Group-Names-Karl-Hennessy-CEO-26674705/,http://www.4-traders.com/amp/AON-PLC-11994390/news/Aon-Creates-New-Carrier-Solutions-Group-Names-Karl-Hennessy-CEO-26674705/,"Aon : Creates New Carrier Solutions Group , Names Karl Hennessy CEO",20180529T153000Z,,4-traders.com,English,United States
3,https://www.twst.com/update/aon-plc-andrew-marcell-appointed-leader-of-aons-reinsurance-solutions-business/,https://www.twst.com/update/aon-plc-andrew-marcell-appointed-leader-of-aons-reinsurance-solutions-business/amp/,AON plc : Andrew Marcell Appointed Leader of Aon Reinsurance Solutions Business,20180531T130000Z,,twst.com,English,United States
4,http://www.4-traders.com/AON-PLC-11994390/news/Aon-Andrew-Marcell-Appointed-Leader-of-Aon-rsquo-s-Reinsurance-Solutions-Business-26687804/,http://www.4-traders.com/amp/AON-PLC-11994390/news/Aon-Andrew-Marcell-Appointed-Leader-of-Aon-rsquo-s-Reinsurance-Solutions-Business-26687804/,Aon : Andrew Marcell Appointed Leader of Aon Reinsurance Solutions Business,20180531T113000Z,,4-traders.com,English,United States
5,http://www.4-traders.com/AON-PLC-11994390/news/Aon-Appoints-Richard-Schuyler-as-Chief-Executive-Officer-of-Aon-Carrier-Link-26550882/,http://www.4-traders.com/amp/AON-PLC-11994390/news/Aon-Appoints-Richard-Schuyler-as-Chief-Executive-Officer-of-Aon-Carrier-Link-26550882/,Aon : Appoints Richard Schuyler as Chief Executive Officer of Aon Carrier Link,20180509T181500Z,,4-traders.com,English,United States
6,https://finance.yahoo.com/news/severe-april-storms-result-2bn-100900993.html,https://www.yahoo.com/amphtml/finance/news/severe-april-storms-result-2bn-100900993.html,"Severe April storms result in $2bn hit to US economy , according to Aon catastrophe report",20180510T110000Z,,finance.yahoo.com,English,United States
7,https://www.prnewswire.com/news-releases/severe-april-storms-result-in-2bn-hit-to-us-economy-according-to-aon-catastrophe-report-300646259.html,,"Severe April storms result in $2bn hit to US economy , according to Aon catastrophe report",20180510T103000Z,,prnewswire.com,English,United States
8,https://www.marketwatch.com/story/severe-april-storms-result-in-2bn-hit-to-us-economy-according-to-aon-catastrophe-report-2018-05-10,https://www.marketwatch.com/amp/story/guid/c5996e52-039b-464c-aa29-56bca1532db3,"Severe April storms result in $2bn hit to US economy , according to Aon catastrophe report",20180510T104500Z,,marketwatch.com,English,United States
9,http://forimmediaterelease.net/severe-april-storms-result-in-2bn-hit-to-us-economy-according-to-aon-catastrophe-report-269930/,,"Severe April storms result in $2bn hit to US economy , according to Aon catastrophe report",20180510T110000Z,,forimmediaterelease.net,English,United States
10,http://www.kswo.com/story/38157379/severe-april-storms-result-in-2bn-hit-to-us-economy-according-to-aon-catastrophe-report,,"Severe April storms result in $2bn hit to US economy , according - KSWO 7News",20180510T140000Z,,kswo.com,English,United States
11,http://thewellesleysnews.com/2018/05/25/stocks-to-watch-this-week-platform-specialty-products-corporation-pah-aon-plc-aon/,http://thewellesleysnews.com/2018/05/25/stocks-to-watch-this-week-platform-specialty-products-corporation-pah-aon-plc-aon/amp/,"Stocks To Watch This Week : Platform Specialty Products Corporation ( PAH ), Aon plc ( AON ) ",20180525T213000Z,http://thewellesleysnews.com/wp-content/uploads/2018/04/st20-1024x439.jpg,thewellesleysnews.com,English,United States
