,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
1,http://www.4-traders.com/ABBVIE-12136589/news/AbbVie-Declares-Quarterly-Dividend-26772002/,http://www.4-traders.com/amp/ABBVIE-12136589/news/AbbVie-Declares-Quarterly-Dividend-26772002/,AbbVie : Declares Quarterly Dividend,20180614T233000Z,,4-traders.com,English,United States
2,https://www.dailypolitical.com/2018/06/09/zurcher-kantonalbank-zurich-cantonalbank-sells-44310-shares-of-abbvie-inc-abbv.html,https://www.dailypolitical.com/2018/06/09/zurcher-kantonalbank-zurich-cantonalbank-sells-44310-shares-of-abbvie-inc-abbv.html/amp,"Zurcher Kantonalbank Zurich Cantonalbank Sells 44 , 310 Shares of AbbVie Inc . ( ABBV ) ",20180609T120000Z,,dailypolitical.com,English,United States
3,https://www.jdsupra.com/legalnews/updates-on-discovery-rulings-in-abbvie-56227/,,Updates On Discovery Rulings in AbbVie v . BI Adalimumab Litigation,20180620T203000Z,https://www.jdsupra.com/showThumbnail.aspx?img=15363_851.jpg&size=og,jdsupra.com,English,United States
4,https://www.dailypolitical.com/2018/06/06/oxbow-advisors-llc-has-6-50-million-position-in-abbvie-inc-abbv.html,https://www.dailypolitical.com/2018/06/06/oxbow-advisors-llc-has-6-50-million-position-in-abbvie-inc-abbv.html/amp,Oxbow Advisors LLC Has $6 . 50 Million Position in AbbVie Inc . ( ABBV ) ,20180606T130000Z,,dailypolitical.com,English,United States
5,https://www.marketwatch.com/story/abbvie-declares-quarterly-dividend-2018-06-14,https://www.marketwatch.com/amp/story/guid/4d55fe58-7b2d-4a32-8855-43b6b43c7536,AbbVie Declares Quarterly Dividend,20180614T234500Z,,marketwatch.com,English,United States
6,https://www.prnewswire.com/news-releases/abbvie-declares-quarterly-dividend-300666844.html,,AbbVie Declares Quarterly Dividend,20180614T233000Z,,prnewswire.com,English,United States
7,https://www.dailypolitical.com/2018/06/07/abbvie-inc-expected-to-post-fy2019-earnings-of-9-07-per-share-abbv.html,https://www.dailypolitical.com/2018/06/07/abbvie-inc-expected-to-post-fy2019-earnings-of-9-07-per-share-abbv.html/amp,AbbVie Inc . Expected to Post FY2019 Earnings of $9 . 07 Per Share ( ABBV ) ,20180608T061500Z,,dailypolitical.com,English,United States
8,https://www.dailypolitical.com/2018/06/07/ifrah-financial-services-inc-decreases-stake-in-abbvie-inc-abbv.html,https://www.dailypolitical.com/2018/06/07/ifrah-financial-services-inc-decreases-stake-in-abbvie-inc-abbv.html/amp,Ifrah Financial Services Inc . Decreases Stake in AbbVie Inc . ( ABBV ) ,20180607T123000Z,,dailypolitical.com,English,United States
9,https://finance.yahoo.com/news/2-cheap-dividend-stocks-buy-100200003.html,https://www.yahoo.com/amphtml/finance/news/2-cheap-dividend-stocks-buy-100200003.html,2 Cheap Dividend Stocks You Can Buy Right Now,20180606T153000Z,,finance.yahoo.com,English,United States
11,https://westmorelandtimes.com/2018/06/11/l-s-advisors-inc-decreased-stake-in-abbvie-inc-abbv-as-shares-declined/,,L & S Advisors INC Decreased Stake in Abbvie INC ( ABBV ) as Shares Declined,20180611T124500Z,,westmorelandtimes.com,English,United States
