,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://www.wkrb13.com/2018/07/06/alphabet-inc-class-c-goog-receives-buy-rating-from-societe-generale.html,https://www.wkrb13.com/2018/07/06/alphabet-inc-class-c-goog-receives-buy-rating-from-societe-generale.html/amp,Alphabet Inc Class C ( GOOG ) Receives Buy Rating from Societe Generale,20180706T113000Z,,wkrb13.com,English,United States
1,https://www.fairfieldcurrent.com/2018/08/06/candriam-luxembourg-s-c-a-raises-position-in-alphabet-inc-class-c-goog.html,https://www.fairfieldcurrent.com/2018/08/06/candriam-luxembourg-s-c-a-raises-position-in-alphabet-inc-class-c-goog.html/amp,Candriam Luxembourg S . C . A . Has $33 . 73 Million Position in Alphabet Inc Class C ( GOOG ) ,20180806T203000Z,,fairfieldcurrent.com,English,United States
2,https://www.dailypolitical.com/2018/07/07/financial-comparison-alphabet-inc-class-c-goog-versus-jianpu-technology-jt.html,https://www.dailypolitical.com/2018/07/07/financial-comparison-alphabet-inc-class-c-goog-versus-jianpu-technology-jt.html/amp,Financial Comparison : Alphabet Inc Class C ( GOOG ) versus Jianpu Technology ( JT ) ,20180708T064500Z,,dailypolitical.com,English,United States
3,https://www.dailypolitical.com/2018/07/11/pictet-bank-trust-ltd-sells-652-shares-of-alphabet-inc-class-c-goog.html,https://www.dailypolitical.com/2018/07/11/pictet-bank-trust-ltd-sells-652-shares-of-alphabet-inc-class-c-goog.html/amp,PICTET BANK & TRUST Ltd Sells 652 Shares of Alphabet Inc Class C ( GOOG ) ,20180711T114500Z,,dailypolitical.com,English,United States
4,https://www.wkrb13.com/2018/07/09/willingdon-wealth-management-purchases-459-shares-of-alphabet-inc-class-c-goog.html,https://www.wkrb13.com/2018/07/09/willingdon-wealth-management-purchases-459-shares-of-alphabet-inc-class-c-goog.html/amp,Willingdon Wealth Management Purchases 459 Shares of Alphabet Inc Class C ( GOOG ) ,20180709T101500Z,,wkrb13.com,English,United States
5,https://www.wkrb13.com/2018/07/09/scott-selber-inc-has-4-67-million-stake-in-alphabet-inc-class-c-goog.html,https://www.wkrb13.com/2018/07/09/scott-selber-inc-has-4-67-million-stake-in-alphabet-inc-class-c-goog.html/amp,Scott & Selber Inc . Has $4 . 67 Million Stake in Alphabet Inc Class C ( GOOG ) ,20180709T100000Z,,wkrb13.com,English,United States
6,https://www.wkrb13.com/2018/07/09/alphabet-inc-class-c-goog-shares-bought-by-douglass-winthrop-advisors-llc.html,https://www.wkrb13.com/2018/07/09/alphabet-inc-class-c-goog-shares-bought-by-douglass-winthrop-advisors-llc.html/amp,Alphabet Inc Class C ( GOOG ) Shares Bought by Douglass Winthrop Advisors LLC,20180709T091500Z,,wkrb13.com,English,United States
7,https://www.fairfieldcurrent.com/2018/07/14/candriam-luxembourg-s-c-a-raises-position-in-alphabet-inc-class-c-goog.html,https://www.fairfieldcurrent.com/2018/07/14/candriam-luxembourg-s-c-a-raises-position-in-alphabet-inc-class-c-goog.html/amp,Candriam Luxembourg S . C . A . Raises Position in Alphabet Inc Class C ( GOOG ) ,20180714T224500Z,,fairfieldcurrent.com,English,United States
8,https://www.dailypolitical.com/2018/07/13/alphabet-inc-class-c-goog-holdings-cut-by-kames-capital-plc.html,https://www.dailypolitical.com/2018/07/13/alphabet-inc-class-c-goog-holdings-cut-by-kames-capital-plc.html/amp,Alphabet Inc Class C ( GOOG ) Holdings Cut by KAMES CAPITAL plc,20180713T101500Z,,dailypolitical.com,English,United States
9,https://www.wkrb13.com/2018/07/13/alphabet-inc-class-c-goog-is-findlay-park-partners-llps-9th-largest-position.html,https://www.wkrb13.com/2018/07/13/alphabet-inc-class-c-goog-is-findlay-park-partners-llps-9th-largest-position.html/amp,Alphabet Inc Class C ( GOOG ) is Findlay Park Partners LLP s 9th Largest Position,20180713T093000Z,,wkrb13.com,English,United States
