,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://www.themarketsdaily.com/2018/07/06/alphabet-inc-class-a-googl-position-reduced-by-ars-investment-partners-llc.html,https://www.themarketsdaily.com/2018/07/06/alphabet-inc-class-a-googl-position-reduced-by-ars-investment-partners-llc.html/amp,Alphabet Inc Class A ( GOOGL ) Position Reduced by ARS Investment Partners LLC,20180706T083000Z,,themarketsdaily.com,English,United States
1,https://www.wkrb13.com/2018/07/07/markston-international-llc-has-12-07-million-holdings-in-alphabet-inc-class-a-googl.html,https://www.wkrb13.com/2018/07/07/markston-international-llc-has-12-07-million-holdings-in-alphabet-inc-class-a-googl.html/amp,Markston International LLC Has $12 . 07 Million Holdings in Alphabet Inc Class A ( GOOGL ) ,20180707T094500Z,,wkrb13.com,English,United States
2,https://www.dailypolitical.com/2018/07/06/alphabet-inc-class-a-googl-is-state-board-of-administration-of-florida-retirement-systems-10th-largest-position.html,https://www.dailypolitical.com/2018/07/06/alphabet-inc-class-a-googl-is-state-board-of-administration-of-florida-retirement-systems-10th-largest-position.html/amp,Alphabet Inc Class A ( GOOGL ) is State Board of Administration of Florida Retirement System 10th Largest Position,20180706T101500Z,,dailypolitical.com,English,United States
3,https://www.wkrb13.com/2018/07/07/financial-comparison-alphabet-inc-class-a-googl-versus-truecar-true.html,https://www.wkrb13.com/2018/07/07/financial-comparison-alphabet-inc-class-a-googl-versus-truecar-true.html/amp,Financial Comparison : Alphabet Inc Class A ( GOOGL ) versus TrueCar ( TRUE ) ,20180707T053000Z,,wkrb13.com,English,United States
4,https://www.wkrb13.com/2018/07/06/traders-sell-shares-of-alphabet-inc-class-a-googl-on-strength-googl-2.html,https://www.wkrb13.com/2018/07/06/traders-sell-shares-of-alphabet-inc-class-a-googl-on-strength-googl-2.html/amp,Traders Sell Shares of Alphabet Inc Class A ( GOOGL ) on Strength ( GOOGL ) ,20180706T234500Z,,wkrb13.com,English,United States
5,https://www.dailypolitical.com/2018/07/12/traders-buy-alphabet-inc-class-a-googl-on-weakness.html,https://www.dailypolitical.com/2018/07/12/traders-buy-alphabet-inc-class-a-googl-on-weakness.html/amp,Traders Buy Alphabet Inc Class A ( GOOGL ) on Weakness,20180712T114500Z,,dailypolitical.com,English,United States
6,https://www.tickerreport.com/banking-finance/3628441/alphabet-inc-class-a-googl-shares-sold-by-nbw-capital-llc.html,https://www.tickerreport.com/banking-finance/3628441/alphabet-inc-class-a-googl-shares-sold-by-nbw-capital-llc.html/amp,Alphabet Inc Class A ( GOOGL ) Shares Sold by NBW Capital LLC,20180711T110000Z,,tickerreport.com,English,United States
7,https://www.wkrb13.com/2018/07/12/arlington-partners-llc-boosts-holdings-in-alphabet-inc-class-a-googl.html,https://www.wkrb13.com/2018/07/12/arlington-partners-llc-boosts-holdings-in-alphabet-inc-class-a-googl.html/amp,Arlington Partners LLC Boosts Holdings in Alphabet Inc Class A ( GOOGL ) ,20180712T084500Z,,wkrb13.com,English,United States
8,https://www.wkrb13.com/2018/07/11/alphabet-inc-class-a-googl-shares-bought-by-mar-vista-investment-partners-llc.html,https://www.wkrb13.com/2018/07/11/alphabet-inc-class-a-googl-shares-bought-by-mar-vista-investment-partners-llc.html/amp,Alphabet Inc Class A ( GOOGL ) Shares Bought by Mar Vista Investment Partners LLC,20180711T100000Z,,wkrb13.com,English,United States
9,https://www.themarketsdaily.com/2018/07/08/alphabet-inc-class-a-googl-holdings-cut-by-shufro-rose-co-llc.html,https://www.themarketsdaily.com/2018/07/08/alphabet-inc-class-a-googl-holdings-cut-by-shufro-rose-co-llc.html/amp,Alphabet Inc Class A ( GOOGL ) Holdings Cut by Shufro Rose & Co . LLC,20180708T101500Z,,themarketsdaily.com,English,United States
