,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
11,https://www.wkrb13.com/2018/10/05/comparing-advanced-micro-devices-amd-dsp-group-dspg.html,https://www.wkrb13.com/2018/10/05/comparing-advanced-micro-devices-amd-dsp-group-dspg.html/amp,Comparing Advanced Micro Devices ( AMD ) & DSP Group ( DSPG ) ,20181005T080000Z,,wkrb13.com,English,United States
12,https://www.dailypolitical.com/2018/10/02/financial-analysis-advanced-micro-devices-amd-versus-dsp-group-dspg.html,https://www.dailypolitical.com/2018/10/02/financial-analysis-advanced-micro-devices-amd-versus-dsp-group-dspg.html/amp,Financial Analysis : Advanced Micro Devices ( AMD ) versus DSP Group ( DSPG ) ,20181003T060000Z,,dailypolitical.com,English,United States
13,https://www.dailypolitical.com/2018/09/07/advanced-micro-devices-amd-shares-gap-down-to-27-84.html,https://www.dailypolitical.com/2018/09/07/advanced-micro-devices-amd-shares-gap-down-to-27-84.html/amp,Advanced Micro Devices ( AMD ) Shares Gap Down to $27 . 84,20180908T011500Z,,dailypolitical.com,English,United States
15,https://www.dailypolitical.com/2018/10/02/comparing-advanced-micro-devices-amd-nvidia-nvda.html,https://www.dailypolitical.com/2018/10/02/comparing-advanced-micro-devices-amd-nvidia-nvda.html/amp,Comparing Advanced Micro Devices ( AMD ) & NVIDIA ( NVDA ) ,20181003T064500Z,,dailypolitical.com,English,United States
16,https://www.wkrb13.com/2018/09/30/critical-comparison-advanced-micro-devices-amd-vs-nvidia-nvda.html,https://www.wkrb13.com/2018/09/30/critical-comparison-advanced-micro-devices-amd-vs-nvidia-nvda.html/amp,Critical Comparison : Advanced Micro Devices ( AMD ) vs . NVIDIA ( NVDA ) ,20180930T110000Z,,wkrb13.com,English,United States
17,https://www.themarketsdaily.com/2018/10/01/advanced-micro-devices-amd-cut-to-neutral-at-robert-w-baird.html,https://www.themarketsdaily.com/2018/10/01/advanced-micro-devices-amd-cut-to-neutral-at-robert-w-baird.html/amp,Advanced Micro Devices ( AMD ) Cut to Neutral at Robert W . Baird,20181001T123000Z,,themarketsdaily.com,English,United States
18,https://www.wkrb13.com/2018/10/02/advanced-micro-devices-amd-downgraded-to-neutral-at-robert-w-baird.html,https://www.wkrb13.com/2018/10/02/advanced-micro-devices-amd-downgraded-to-neutral-at-robert-w-baird.html/amp,Advanced Micro Devices ( AMD ) Downgraded to Neutral at Robert W . Baird,20181002T113000Z,,wkrb13.com,English,United States
19,https://www.dailypolitical.com/2018/09/06/legal-general-group-plc-sells-287960-shares-of-advanced-micro-devices-inc-amd.html,https://www.dailypolitical.com/2018/09/06/legal-general-group-plc-sells-287960-shares-of-advanced-micro-devices-inc-amd.html/amp,"Legal & General Group Plc Sells 287 , 960 Shares of Advanced Micro Devices , Inc . ( AMD ) ",20180906T161500Z,,dailypolitical.com,English,United States
20,https://www.themarketsdaily.com/2018/09/06/q3-2019-eps-estimates-for-advanced-micro-devices-inc-amd-lifted-by-analyst.html,https://www.themarketsdaily.com/2018/09/06/q3-2019-eps-estimates-for-advanced-micro-devices-inc-amd-lifted-by-analyst.html/amp,"Q3 2019 EPS Estimates for Advanced Micro Devices , Inc . ( AMD ) Lifted by Analyst",20180906T061500Z,,themarketsdaily.com,English,United States
21,https://www.wkrb13.com/2018/09/30/northern-trust-corp-grows-position-in-advanced-micro-devices-inc-amd.html,https://www.wkrb13.com/2018/09/30/northern-trust-corp-grows-position-in-advanced-micro-devices-inc-amd.html/amp,"Northern Trust Corp Grows Position in Advanced Micro Devices , Inc . ( AMD ) ",20180930T101500Z,,wkrb13.com,English,United States
22,https://www.dailypolitical.com/2018/10/05/0-13-eps-expected-for-advanced-micro-devices-inc-amd-this-quarter.html,https://www.dailypolitical.com/2018/10/05/0-13-eps-expected-for-advanced-micro-devices-inc-amd-this-quarter.html/amp,"$0 . 13 EPS Expected for Advanced Micro Devices , Inc . ( AMD ) This Quarter",20181005T121500Z,,dailypolitical.com,English,United States
24,https://www.wkrb13.com/2018/10/03/investors-buy-advanced-micro-devices-amd-on-weakness.html,https://www.wkrb13.com/2018/10/03/investors-buy-advanced-micro-devices-amd-on-weakness.html/amp,Investors Buy Advanced Micro Devices ( AMD ) on Weakness,20181003T014500Z,,wkrb13.com,English,United States
25,https://www.dailypolitical.com/2018/10/02/advanced-micro-devices-amd-given-new-25-00-price-target-at-barclays.html,https://www.dailypolitical.com/2018/10/02/advanced-micro-devices-amd-given-new-25-00-price-target-at-barclays.html/amp,Advanced Micro Devices ( AMD ) Given New $25 . 00 Price Target at Barclays,20181002T113000Z,https://www.marketbeat.com/images/flyonthewall.png,dailypolitical.com,English,United States
26,https://www.themarketsdaily.com/2018/09/24/royal-bank-of-canada-begins-coverage-on-advanced-micro-devices-amd.html,https://www.themarketsdaily.com/2018/09/24/royal-bank-of-canada-begins-coverage-on-advanced-micro-devices-amd.html/amp,Royal Bank of Canada Begins Coverage on Advanced Micro Devices ( AMD ) ,20180924T130000Z,,themarketsdaily.com,English,United States
27,https://www.dailypolitical.com/2018/10/04/intl-fcstone-inc-buys-shares-of-6900-advanced-micro-devices-inc-amd.html,https://www.dailypolitical.com/2018/10/04/intl-fcstone-inc-buys-shares-of-6900-advanced-micro-devices-inc-amd.html/amp,"Intl Fcstone Inc . Buys Shares of 6 , 900 Advanced Micro Devices , Inc . ( AMD ) ",20181004T091500Z,,dailypolitical.com,English,United States
28,https://www.dailypolitical.com/2018/09/24/advanced-micro-devices-amd-ichor-ichr-head-to-head-review.html,https://www.dailypolitical.com/2018/09/24/advanced-micro-devices-amd-ichor-ichr-head-to-head-review.html/amp,Advanced Micro Devices ( AMD ) & Ichor ( ICHR ) Head to Head Review,20180925T061500Z,,dailypolitical.com,English,United States
29,https://www.wkrb13.com/2018/09/22/analyzing-advanced-micro-devices-amd-ichor-ichr.html,https://www.wkrb13.com/2018/09/22/analyzing-advanced-micro-devices-amd-ichor-ichr.html/amp,Analyzing Advanced Micro Devices ( AMD ) & Ichor ( ICHR ) ,20180922T191500Z,,wkrb13.com,English,United States
30,https://www.dailypolitical.com/2018/09/07/advanced-micro-devices-inc-amd-shares-bought-by-renaissance-technologies-llc.html,https://www.dailypolitical.com/2018/09/07/advanced-micro-devices-inc-amd-shares-bought-by-renaissance-technologies-llc.html/amp,"Advanced Micro Devices , Inc . ( AMD ) Shares Bought by Renaissance Technologies LLC",20180907T233000Z,,dailypolitical.com,English,United States
31,https://www.wkrb13.com/2018/09/23/advanced-micro-devices-amd-given-new-36-00-price-target-at-jefferies-financial-group.html,https://www.wkrb13.com/2018/09/23/advanced-micro-devices-amd-given-new-36-00-price-target-at-jefferies-financial-group.html/amp,Advanced Micro Devices ( AMD ) Given New $36 . 00 Price Target at Jefferies Financial Group,20180923T094500Z,https://www.marketbeat.com/images/flyonthewall.png,wkrb13.com,English,United States
33,https://www.wkrb13.com/2018/09/26/advanced-micro-devices-amd-receives-new-coverage-from-analysts-at-keycorp.html,https://www.wkrb13.com/2018/09/26/advanced-micro-devices-amd-receives-new-coverage-from-analysts-at-keycorp.html/amp,Advanced Micro Devices ( AMD ) Receives New Coverage from Analysts at KeyCorp,20180926T113000Z,,wkrb13.com,English,United States
34,https://www.dailypolitical.com/2018/09/10/head-to-head-comparison-kyocera-kyo-and-advanced-micro-devices-amd.html,https://www.dailypolitical.com/2018/09/10/head-to-head-comparison-kyocera-kyo-and-advanced-micro-devices-amd.html/amp,Head - To - Head Comparison : Kyocera ( KYO ) and Advanced Micro Devices ( AMD ) ,20180910T090000Z,,dailypolitical.com,English,United States
35,https://www.wkrb13.com/2018/09/27/advanced-micro-devices-amd-trading-2-1-higher.html,https://www.wkrb13.com/2018/09/27/advanced-micro-devices-amd-trading-2-1-higher.html/amp,Advanced Micro Devices ( AMD ) Trading - 2 . 1 % Higher,20180927T090000Z,,wkrb13.com,English,United States
36,https://www.dailypolitical.com/2018/09/24/jefferies-financial-group-raises-advanced-micro-devices-amd-price-target-to-36-00.html,https://www.dailypolitical.com/2018/09/24/jefferies-financial-group-raises-advanced-micro-devices-amd-price-target-to-36-00.html/amp,Jefferies Financial Group Raises Advanced Micro Devices ( AMD ) Price Target to $36 . 00,20180925T071500Z,,dailypolitical.com,English,United States
37,https://www.tickerreport.com/banking-finance/3809857/advanced-micro-devices-inc-amd-svp-forrest-eugene-norrod-sells-62500-shares.html,https://www.tickerreport.com/banking-finance/3809857/advanced-micro-devices-inc-amd-svp-forrest-eugene-norrod-sells-62500-shares.html/amp,"Advanced Micro Devices , Inc . ( AMD ) SVP Forrest Eugene Norrod Sells 62 , 500 Shares",20180920T170000Z,,tickerreport.com,English,United States
39,https://www.wkrb13.com/2018/10/05/barclays-increases-advanced-micro-devices-amd-price-target-to-25-00.html,https://www.wkrb13.com/2018/10/05/barclays-increases-advanced-micro-devices-amd-price-target-to-25-00.html/amp,Barclays Increases Advanced Micro Devices ( AMD ) Price Target to $25 . 00,20181005T081500Z,,wkrb13.com,English,United States
40,https://www.dailypolitical.com/2018/09/25/advanced-micro-devices-amd-research-coverage-started-at-keycorp.html,https://www.dailypolitical.com/2018/09/25/advanced-micro-devices-amd-research-coverage-started-at-keycorp.html/amp,Advanced Micro Devices ( AMD ) Research Coverage Started at KeyCorp,20180925T121500Z,https://www.marketbeat.com/images/flyonthewall.png,dailypolitical.com,English,United States
42,https://www.dailypolitical.com/2018/09/20/advanced-micro-devices-inc-amd-svp-forrest-eugene-norrod-sells-62500-shares.html,https://www.dailypolitical.com/2018/09/20/advanced-micro-devices-inc-amd-svp-forrest-eugene-norrod-sells-62500-shares.html/amp,"Advanced Micro Devices , Inc . ( AMD ) SVP Forrest Eugene Norrod Sells 62 , 500 Shares",20180920T170000Z,,dailypolitical.com,English,United States
43,https://www.dailypolitical.com/2018/09/28/advanced-micro-devices-amd-coverage-initiated-at-royal-bank-of-canada.html,https://www.dailypolitical.com/2018/09/28/advanced-micro-devices-amd-coverage-initiated-at-royal-bank-of-canada.html/amp,Advanced Micro Devices ( AMD ) Coverage Initiated at Royal Bank of Canada,20180928T094500Z,,dailypolitical.com,English,United States
44,https://www.wkrb13.com/2018/09/20/caisse-de-depot-et-placement-du-quebec-acquires-new-stake-in-advanced-micro-devices-inc-amd.html,https://www.wkrb13.com/2018/09/20/caisse-de-depot-et-placement-du-quebec-acquires-new-stake-in-advanced-micro-devices-inc-amd.html/amp,"Caisse DE Depot ET Placement DU Quebec Acquires New Stake in Advanced Micro Devices , Inc . ( AMD ) ",20180920T090000Z,,wkrb13.com,English,United States
45,https://www.dailypolitical.com/2018/09/12/advanced-micro-devices-amd-sets-new-52-week-high-after-analyst-upgrade.html,https://www.dailypolitical.com/2018/09/12/advanced-micro-devices-amd-sets-new-52-week-high-after-analyst-upgrade.html/amp,Advanced Micro Devices ( AMD ) Sets New 52 - Week High After Analyst Upgrade,20180913T060000Z,,dailypolitical.com,English,United States
46,https://www.dailypolitical.com/2018/09/20/advanced-micro-devices-inc-amd-expected-to-announce-quarterly-sales-of-1-71-billion.html,https://www.dailypolitical.com/2018/09/20/advanced-micro-devices-inc-amd-expected-to-announce-quarterly-sales-of-1-71-billion.html/amp,"Advanced Micro Devices , Inc . ( AMD ) Expected to Announce Quarterly Sales of $1 . 71 Billion",20180920T194500Z,,dailypolitical.com,English,United States
47,https://www.dailypolitical.com/2018/09/14/advanced-micro-devices-amd-research-analysts-recent-ratings-updates.html,https://www.dailypolitical.com/2018/09/14/advanced-micro-devices-amd-research-analysts-recent-ratings-updates.html/amp,Advanced Micro Devices ( AMD ) – Research Analyst Recent Ratings Updates,20180914T171500Z,,dailypolitical.com,English,United States
48,https://www.tickerreport.com/banking-finance/3798471/advanced-micro-devices-amd-given-new-40-00-price-target-at-rosenblatt-securities.html,https://www.tickerreport.com/banking-finance/3798471/advanced-micro-devices-amd-given-new-40-00-price-target-at-rosenblatt-securities.html/amp,Advanced Micro Devices ( AMD ) Given New $40 . 00 Price Target at Rosenblatt Securities,20180915T053000Z,,tickerreport.com,English,United States
49,https://www.tickerreport.com/banking-finance/3789217/advanced-micro-devices-inc-amd-shares-sold-by-russell-investments-group-ltd.html,https://www.tickerreport.com/banking-finance/3789217/advanced-micro-devices-inc-amd-shares-sold-by-russell-investments-group-ltd.html/amp,"Advanced Micro Devices , Inc . ( AMD ) Shares Sold by Russell Investments Group Ltd . ",20180911T121500Z,,tickerreport.com,English,United States
