,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://markets.businessinsider.com/news/stocks/aptiv-to-release-first-quarter-2019-financial-results-1028105208,https://markets.businessinsider.com/amp/news/aptiv-to-release-first-quarter-2019-financial-results-1028105208,Aptiv to Release First Quarter 2019 Financial Results,20190411T214500Z,,markets.businessinsider.com,English,United States
1,https://www.prnewswire.com:443/news-releases/aptiv-to-release-first-quarter-2019-financial-results-300830883.html,,Aptiv to Release First Quarter 2019 Financial Results,20190411T180000Z,,prnewswire.com,English,United States
2,https://www.prnewswire.com/news-releases/aptiv-to-release-first-quarter-2019-financial-results-300830883.html,,Aptiv to Release First Quarter 2019 Financial Results,20190411T180000Z,,prnewswire.com,English,United States
3,https://www.benzinga.com/news/earnings-previews/19/05/13643093/earnings-preview-aptiv,, ( APTV ) - Q1 Earnings Preview For Aptiv,20190501T194500Z,,benzinga.com,English,United States
4,https://www.prnewswire.com:443/news-releases/aptiv-declares-quarterly-dividend-300838299.html,,Aptiv Declares Quarterly Dividend,20190425T210000Z,,prnewswire.com,English,United States
5,https://markets.businessinsider.com/news/stocks/aptiv-expands-global-testing-with-opening-of-china-autonomous-mobility-center-1028116774,https://markets.businessinsider.com/amp/news/aptiv-expands-global-testing-with-opening-of-china-autonomous-mobility-center-1028116774,Aptiv Expands Global Testing with Opening of China Autonomous Mobility Center,20190417T053000Z,,markets.businessinsider.com,English,United States
6,https://www.prnewswire.com:443/news-releases/aptiv-expands-global-testing-with-opening-of-china-autonomous-mobility-center-300833452.html,,Aptiv Expands Global Testing with Opening of China Autonomous Mobility Center,20190417T044500Z,,prnewswire.com,English,United States
7,https://www.prnewswire.com/news-releases/aptiv-expands-global-testing-with-opening-of-china-autonomous-mobility-center-300833452.html,,Aptiv Expands Global Testing with Opening of China Autonomous Mobility Center,20190417T050000Z,,prnewswire.com,English,United States
8,https://finance.yahoo.com/news/aptiv-expands-global-testing-opening-040100910.html,https://finance.yahoo.com/amphtml/news/aptiv-expands-global-testing-opening-040100910.html,Aptiv Expands Global Testing with Opening of China Autonomous Mobility Center,20190417T063000Z,,finance.yahoo.com,English,United States
9,https://europe.autonews.com/suppliers/aptiv-q1-profit-slips-2019-outlook-lowered,,Aptiv Q1 profit slips ; 2019 outlook lowered,20190503T113000Z,https://europe.autonews.com/s3/files/styles/800x600/public/1APTIV-02_i.jpg,europe.autonews.com,English,United States
10,https://www.forbes.com/sites/samabuelsamid/2019/04/17/aptiv-expands-its-automated-driving-development-into-china/,,Aptiv Expands Its Automated Driving Development Into China,20190417T043000Z,https://blogs-images.forbes.com/samabuelsamid/files/2019/04/IMG_20190108_082629-1200x900.jpg,forbes.com,English,United States
11,https://www.investing.com/news/stock-market-news/aptiv-opens-autonomous-mobility-center-in-china-1838138,https://m.investing.com/news/stock-market-news/aptiv-opens-autonomous-mobility-center-in-china-1838138?ampMode=1,Aptiv opens autonomous mobility center in China,20190417T044500Z,https://i-invdn-com.akamaized.net/news/LYNXNPEC0E0NI_L.jpg,investing.com,English,United States
12,https://news.yahoo.com/why-aptiv-plcs-nyse-aptv-153255125.html,https://news.yahoo.com/amphtml/why-aptiv-plcs-nyse-aptv-153255125.html,Why Aptiv PLC ( NYSE : APTV ) CEO Pay Matters To You,20190423T161500Z,https://s.yimg.com/uu/api/res/1.2/RIFPtCWgZoy7PxUEhf8DQw--~B/aD00MzI7dz0xMTk0O3NtPTE7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/simply_wall_st__316/76d3c5946b4bdbed500bf4816b5ccf43,news.yahoo.com,English,United States
13,https://news.yahoo.com/did-aptiv-plc-nyse-aptv-112017259.html,https://news.yahoo.com/amphtml/did-aptiv-plc-nyse-aptv-112017259.html,Did Aptiv PLC ( NYSE : APTV ) Insiders Sell Shares ? ,20190510T120000Z,https://s.yimg.com/uu/api/res/1.2/RIFPtCWgZoy7PxUEhf8DQw--~B/aD00MzI7dz0xMTk0O3NtPTE7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/simply_wall_st__316/76d3c5946b4bdbed500bf4816b5ccf43,news.yahoo.com,English,United States
15,https://finance.yahoo.com/news/aptiv-opens-autonomous-mobility-center-040100781.html,https://finance.yahoo.com/amphtml/news/aptiv-opens-autonomous-mobility-center-040100781.html,Aptiv opens autonomous mobility center in China,20190418T103000Z,,finance.yahoo.com,English,United States
