,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
1,https://www.forbes.com/sites/greatspeculations/2019/09/11/why-are-american-express-revenues-4x-discovers-despite-both-having-similar-loan-balances/,https://www.forbes.com/sites/greatspeculations/2019/09/11/why-are-american-express-revenues-4x-discovers-despite-both-having-similar-loan-balances/amp/,Why Are American Expres Revenues 4x Discover Despite Both Having Similar Loan Balances ? ,20190911T134500Z,https://thumbor.forbes.com/thumbor/600x315/https%3A%2F%2Fspecials-images.forbesimg.com%2Fdam%2Fimageserve%2F34295235%2F960x0.jpg%3Ffit%3Dscale,forbes.com,English,United States
2,https://www.gurufocus.com/news/941820/american-express-co-axp-chairman-and-ceo-stephen-j-squeri-sold-18-million-of-shares,,"Sep 05 , 2019 - American Express Co ( AXP ) Chairman and CEO Stephen J Squeri Sold $1 . 8 million of Shares",20190906T001500Z,,gurufocus.com,English,United States
3,https://www.nasdaq.com/articles/why-are-american-express-revenues-4x-discovers-despite-both-having-similar-loan-balances,https://www.nasdaq.com/articles/why-are-american-express-revenues-4x-discovers-despite-both-having-similar-loan-balances?amp,Why Are American Expres Revenues 4x Discover Despite Both Having Similar Loan Balances ? ,20190913T151500Z,https://www.nasdaq.com/sites/acquia.prod/files/2019-05/0902-Q19%20Total%20Markets%20photos%20and%20gif_CC8.jpg,nasdaq.com,English,United States
4,https://www.baynews9.com/fl/tampa/news/2019/08/16/acl-releases-full-schedule--cardi-b-only-performing-weekend-1,,ACL Releases Full Schedule,20190817T093000Z,https://s7d2.scene7.com/is/image/TWCNews/081619_okoro_acllizzojpg,baynews9.com,English,United States
8,https://www.imore.com/american-expressr-business-gold-vs-business-platinumr-which-credit-card-best,https://www.imore.com/american-expressr-business-gold-vs-business-platinumr-which-credit-card-best?amp,The American Express Business Gold vs Business Platinum : Which credit card is best ? ,20190906T030000Z,https://www.imore.com/sites/imore.com/files/styles/large/public/article_images/2019/04/business-planning-fgeo.jpg?itok=iDQMIx5G,imore.com,English,United States
9,https://www.windowscentral.com/american-expressr-business-gold-vs-business-platinumr-which-credit-card-best,https://www.windowscentral.com/american-expressr-business-gold-vs-business-platinumr-which-credit-card-best?amp,The American Express Business Gold vs Business Platinum : Which credit card is best ? ,20190906T011500Z,https://www.windowscentral.com/sites/wpcentral.com/files/styles/large/public/article_images/2019/04/business-planning-fgeo.jpg?itok=tOndkBxm,windowscentral.com,English,United States
13,https://news.yahoo.com/tempted-sell-american-express-company-122311965.html,https://finance.yahoo.com/amphtml/news/tempted-sell-american-express-company-122311965.html,Should You Be Tempted To Sell American Express Company ( NYSE : AXP ) Because Of Its P / E Ratio ? ,20190829T130000Z,https://s.yimg.com/ny/api/res/1.2/I5yTHoVvnaCzfAzDSTUhAQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD00NjMuMTE1NTc3ODg5NDQ3MjU-/https://s.yimg.com/uu/api/res/1.2/mMdq06.gB1ITsDndiBcMUw--~B/aD00MzI7dz0xMTk0O3NtPTE7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/simply_wall_st__316/cdbc2c2a1d9fe4c6879790a5b8773f3c,news.yahoo.com,English,United States
15,https://www.imore.com/american-express-targeting-potential-platinum-customers-75000-points-welcome-bonus,https://www.imore.com/american-express-targeting-potential-platinum-customers-75000-points-welcome-bonus?amp,American Express launches limited - time 5X points on select cruise bookings with Amex Platinum,20190820T224500Z,https://www.imore.com/sites/imore.com/files/styles/large/public/article_images/2019/08/clouds-cruise-cruise-ship-813011-bdy7.jpg?itok=oc_z0BuV,imore.com,English,United States
17,https://www.windowscentral.com/american-express-targeting-potential-platinum-customers-75000-points-welcome-bonus,https://www.windowscentral.com/american-express-targeting-potential-platinum-customers-75000-points-welcome-bonus?amp,American Express launches limited - time 5X points on select cruise bookings with Amex Platinum,20190821T004500Z,https://www.windowscentral.com/sites/wpcentral.com/files/styles/large/public/article_images/2019/08/clouds-cruise-cruise-ship-813011-bdy7.jpg?itok=plKFHgfY,windowscentral.com,English,United States
19,https://www.mediapost.com/publications/article/339860/american-express-supports-local-small-biz-owners-v.html,,American Express Supports Local Small - Biz Owners Via U . S . Open Activities,20190828T020000Z,https://s3.amazonaws.com/media.mediapost.com/dam/cropped/2019/08/27/screen-shot-2019-08-27-at-55850-pm_gAZuJCu.png,mediapost.com,English,United States
