,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://news.yahoo.com/investors-react-akamai-technologies-inc-100009830.html,https://news.yahoo.com/amphtml/investors-react-akamai-technologies-inc-100009830.html,"How Should Investors React To Akamai Technologies , Inc . ( NASDAQ : AKAM ) CEO Pay ? ",20191016T110000Z,https://s.yimg.com/ny/api/res/1.2/IKUZ4jWutgcYePqZUu8YlQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD00NjMuMTE1NTc3ODg5NDQ3MjU-/https://s.yimg.com/uu/api/res/1.2/YPU0KQZxz6N1AG9M4lpp8g--~B/aD00MzI7dz0xMTk0O3NtPTE7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/simply_wall_st__316/db4677b8f24a38c34bd61b3a8b131f59,news.yahoo.com,English,United States
1,https://finance.yahoo.com/news/investors-react-akamai-technologies-inc-100009830.html,https://finance.yahoo.com/amphtml/news/investors-react-akamai-technologies-inc-100009830.html,"How Should Investors React To Akamai Technologies , Inc . ( NASDAQ : AKAM ) CEO Pay ? ",20191017T013000Z,https://s.yimg.com/uu/api/res/1.2/YPU0KQZxz6N1AG9M4lpp8g--~B/aD00MzI7dz0xMTk0O3NtPTE7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/simply_wall_st__316/db4677b8f24a38c34bd61b3a8b131f59,finance.yahoo.com,English,United States
3,https://news.yahoo.com/akamai-technologies-nasdaq-akam-seems-100037610.html,https://news.yahoo.com/amphtml/akamai-technologies-nasdaq-akam-seems-100037610.html,Akamai Technologies ( NASDAQ : AKAM ) Seems To Use Debt Rather Sparingly,20191105T104500Z,https://s.yimg.com/ny/api/res/1.2/IKUZ4jWutgcYePqZUu8YlQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD00NjMuMTE1NTc3ODg5NDQ3MjU-/https://s.yimg.com/uu/api/res/1.2/YPU0KQZxz6N1AG9M4lpp8g--~B/aD00MzI7dz0xMTk0O3NtPTE7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/simply_wall_st__316/db4677b8f24a38c34bd61b3a8b131f59,news.yahoo.com,English,United States
4,https://finance.yahoo.com/news/akamai-technologies-nasdaq-akam-seems-100037610.html,https://finance.yahoo.com/amphtml/news/akamai-technologies-nasdaq-akam-seems-100037610.html,Akamai Technologies ( NASDAQ : AKAM ) Seems To Use Debt Rather Sparingly,20191105T110000Z,https://s.yimg.com/uu/api/res/1.2/YPU0KQZxz6N1AG9M4lpp8g--~B/aD00MzI7dz0xMTk0O3NtPTE7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/simply_wall_st__316/db4677b8f24a38c34bd61b3a8b131f59,finance.yahoo.com,English,United States
5,https://finance.yahoo.com/news/akamai-technologies-q3-earnings-preview-114837787.html,https://finance.yahoo.com/amphtml/news/akamai-technologies-q3-earnings-preview-114837787.html,Akamai Technologies Q3 Earnings Preview,20191028T153000Z,,finance.yahoo.com,English,United States
6,https://www.benzinga.com/news/earnings-previews/19/10/14669655/akamai-technologiess-earnings-preview,https://amp.benzinga.com/amp/content/14669655,"Akamai Technologies , Inc . ( NASDAQ : AKAM ) - Akamai Technologies Q3 Earnings Preview",20191028T130000Z,,benzinga.com,English,United States
7,https://www.wkrb13.com/2019/10/19/akamai-technologies-inc-nasdaqakam-shares-sold-by-endurance-wealth-management-inc.html,https://www.wkrb13.com/2019/10/19/akamai-technologies-inc-nasdaqakam-shares-sold-by-endurance-wealth-management-inc.html/amp,"Akamai Technologies , Inc . ( NASDAQ : AKAM ) Shares Sold by Endurance Wealth Management Inc . ",20191019T143000Z,,wkrb13.com,English,United States
8,https://www.dailypolitical.com/2019/10/18/robeco-institutional-asset-management-b-v-acquires-220249-shares-of-akamai-technologies-inc-nasdaqakam.html,https://www.dailypolitical.com/2019/10/18/robeco-institutional-asset-management-b-v-acquires-220249-shares-of-akamai-technologies-inc-nasdaqakam.html/amp,"Robeco Institutional Asset Management B . V . Acquires 220 , 249 Shares of Akamai Technologies , Inc . ( NASDAQ : AKAM ) ",20191018T184500Z,,dailypolitical.com,English,United States
9,https://www.dailypolitical.com/2019/10/16/tributary-capital-management-llc-sells-200-shares-of-akamai-technologies-inc-nasdaqakam.html,https://www.dailypolitical.com/2019/10/16/tributary-capital-management-llc-sells-200-shares-of-akamai-technologies-inc-nasdaqakam.html/amp,"Tributary Capital Management LLC Sells 200 Shares of Akamai Technologies , Inc . ( NASDAQ : AKAM ) ",20191016T184500Z,,dailypolitical.com,English,United States
10,https://www.nasdaq.com/articles/akamai-technologies-akam-q3-earnings-and-revenues-top-estimates-2019-10-28,https://www.nasdaq.com/articles/akamai-technologies-akam-q3-earnings-and-revenues-top-estimates-2019-10-28?amp,Akamai Technologies ( AKAM ) Q3 Earnings and Revenues Top Estimates,20191028T234500Z,https://www.nasdaq.com/sites/acquia.prod/files/2019-05/0902-Q19%20Total%20Markets%20photos%20and%20gif_CC8.jpg,nasdaq.com,English,United States
