,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
1,https://news.yahoo.com/amphenol-corporation-nyse-aph-does-104554826.html,https://news.yahoo.com/amphtml/amphenol-corporation-nyse-aph-does-104554826.html,Amphenol Corporation ( NYSE : APH ): Does The - 4 . 1 % Earnings Drop Reflect A Longer Term Trend ? ,20200203T113000Z,https://s.yimg.com/ny/api/res/1.2/dmPpez22O4LHM9zSq9ebPg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD00NjMuMTE1NTc3ODg5NDQ3MjU-/https://s.yimg.com/uu/api/res/1.2/zobFd7AR9cuKPdES2UlCTQ--~B/aD00MzI7dz0xMTk0O3NtPTE7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/simply_wall_st__316/59cfe1876d9a3cbd870936424070e4bf,news.yahoo.com,English,United States
2,https://apnews.com/Business%20Wire/9e66af6b29dc4e6d978afb76f31f560b,,"Amphenol Corporation Announces Pricing of $400 , 000 , 000 of Senior Notes",20200213T224500Z,https://apnews.com/images/PaidContent3.png,apnews.com,English,United States
3,https://www.chron.com/business/article/Amphenol-4Q-Earnings-Snapshot-14994541.php,https://www.chron.com/business/amp/Amphenol-4Q-Earnings-Snapshot-14994541.php,Amphenol : 4Q Earnings Snapshot,20200122T140000Z,https://www.chron.com/img/pages/article/opengraph_default.jpg,chron.com,English,United States
4,https://www.sfgate.com/business/article/Amphenol-4Q-Earnings-Snapshot-14994541.php,https://www.sfgate.com/business/amp/Amphenol-4Q-Earnings-Snapshot-14994541.php,Amphenol : 4Q Earnings Snapshot,20200122T140000Z,https://www.sfgate.com/img/pages/article/opengraph_default.png,sfgate.com,English,United States
6,https://www.lmtonline.com/business/article/Amphenol-4Q-Earnings-Snapshot-14994541.php,https://www.lmtonline.com/business/amp/Amphenol-4Q-Earnings-Snapshot-14994541.php,Amphenol : 4Q Earnings Snapshot,20200122T184500Z,https://www.lmtonline.com/img/pages/article/opengraph_default.jpg,lmtonline.com,English,United States
8,https://www.gurufocus.com/news/1020438/five-companies-hit-52week-highs,,"Jan 22 , 2020 - Five Companies Hit 52 - Week Highs",20200123T161500Z,,gurufocus.com,English,United States
9,https://www.gurufocus.com/news/1020438/5-companies-hit-52week-highs,,5 Companies Hit 52 - Week Highs - GuruFocus . com,20200123T181500Z,,gurufocus.com,English,United States
11,https://www.eejournal.com/chalk_talks/rf-interconnect-for-wireless-applications-amphenol-rf-and-mouser-electronics/,,RF Interconnect for Wireless Applications Amphenol RF and Mouser Electronics,20200205T210000Z,,eejournal.com,English,United States
12,https://www.analystratings.com/articles/amphenol-aph-receives-a-buy-from-evercore-isi/,https://www.analystratings.com/articles/amphenol-aph-receives-a-buy-from-evercore-isi/amp/,Amphenol ( APH ) Receives a Buy from Evercore ISI,20200123T173000Z,,analystratings.com,English,United States
13,https://www.openpr.com/news/1898482/makeup-base-market-competitive-scenario-of-manufacturers,,Makeup Base Market Competitive Scenario of manufacturers : ,20200116T150000Z,https://www.openpr.com/images/articles/T/1/T116530312_g.jpg,openpr.com,English,United States
14,https://www.openpr.com/news/1922653/global-alternator-market-assessment-and-key-insights-analyzed,,Global Alternator Market Assessment and Key Insights Analyzed,20200207T073000Z,https://www.openpr.com/images/articles/T/2/T207851097_g.jpg,openpr.com,English,United States
15,https://www.boatingmag.com/story/gear/2020-rockford-fosgate-pmx-rgb/,,Rockford Fosgate PMX - RGB | Boating Magazine,20200122T014500Z,https://www.boatingmag.com/resizer/Xi3RDaZ2pNcPKSoQKUs20A5MEZw=/1200x628/smart/arc-anglerfish-arc2-prod-bonnier.s3.amazonaws.com/public/N3SLRAN23BBXBGTCPHLRJ2LQGU.jpg,boatingmag.com,English,United States
16,https://www.boatingmag.com/story/gear/2020-rockford-fosgate-m2d2-10i/,,Rockford Fosgate M2D2 - 10I | Boating Magazine,20200121T211500Z,https://www.boatingmag.com/resizer/aHtg_2t776dftnYJo5qJmPtUqNM=/1200x628/smart/arc-anglerfish-arc2-prod-bonnier.s3.amazonaws.com/public/U4AKC6EZ3BFJ5EKBRIOD7GXYX4.jpg,boatingmag.com,English,United States
18,https://www.beaumontenterprise.com/business/article/Amphenol-4Q-Earnings-Snapshot-14994541.php,https://www.beaumontenterprise.com/business/amp/Amphenol-4Q-Earnings-Snapshot-14994541.php,Amphenol : 4Q Earnings Snapshot,20200123T003000Z,https://www.beaumontenterprise.com/img/pages/article/opengraph_default.jpg,beaumontenterprise.com,English,United States
19,https://www.openpr.com/news/1903308/dust-control-system-market-with-top-companies-global-road,,"Dust Control System Market With Top Companies Global Road , ",20200122T061500Z,https://www.openpr.com/images/articles/T/1/T122149521_g.jpg,openpr.com,English,United States
20,https://www.tmcnet.com/usubmit/2020/02/13/9098073.htm,,"Amphenol Corporation Announces Pricing of $400 , 000 , 000 of Senior Notes",20200213T230000Z,,tmcnet.com,English,United States
21,http://streetwisereport.com/mix-cap-volatile-mover-hess-corporation-nysehes-amphenol-corporation-nyseaph/3437422/,,"Mix Cap Volatile Mover : Hess Corporation ( NYSE : HES ), Amphenol Corporation ( NYSE : APH ) ",20200208T003000Z,,streetwisereport.com,English,United States
22,https://www.ssuchronicle.com/2020/02/11/2020-board-of-directors-announced-by-scsi-trade-association-as-sas-remains-the-prominent-storage-technology-in-data-centers/,,2020 Board of Directors Announced by SCSI Trade Association as SAS Remains the Prominent Storage Technology in Data Centers,20200211T163000Z,https://www.prunderground.com/wp-content/uploads/2020/02/0950-Cameron-Brett-013-190715-front-view-low-res.jpg,ssuchronicle.com,English,United States
24,https://finance.yahoo.com/news/heilind-electronics-exhibit-conexpo-con-142000498.html,https://finance.yahoo.com/amphtml/news/heilind-electronics-exhibit-conexpo-con-142000498.html,Heilind Electronics to Exhibit at CONEXPO - CON / AGG in March,20200210T150000Z,,finance.yahoo.com,English,United States
25,https://www.prweb.com/releases/heilind_electronics_to_exhibit_at_conexpo_con_agg_in_march/prweb16894070.htm,,Heilind Electronics to Exhibit at CONEXPO - CON / AGG in March,20200210T174500Z,http://ww1.prweb.com/prfiles/2020/02/06/16894070/gI_74486_NewsImage_vcsPRAsset_3563844_74486_c110baa5-6b2b-4030-8eb5-2aa27a975ef0_0.png,prweb.com,English,United States
26,http://www.digitaljournal.com/pr/4579926,,PCT International Averts Hostile Takeover Attempt - Press Release,20200206T010000Z,,digitaljournal.com,English,United States
27,https://www.openpr.com/news/1932036/renewable-energy-connector-market-2020-analysis-by-major,,Renewable Energy Connector Market 2020 Analysis By Major,20200214T060000Z,https://www.openpr.com/images/articles/T/2/T214376499_g.jpg,openpr.com,English,United States
28,https://www.yachtingmagazine.com/story/gear/2020-rockford-fosgate-pmx-rgb/,,Rockford Fosgate PMX - RGB,20200122T020000Z,https://www.yachtingmagazine.com/resizer/Xi3RDaZ2pNcPKSoQKUs20A5MEZw=/1200x628/smart/arc-anglerfish-arc2-prod-bonnier.s3.amazonaws.com/public/N3SLRAN23BBXBGTCPHLRJ2LQGU.jpg,yachtingmagazine.com,English,United States
29,https://www.yachtingmagazine.com/story/gear/2020-rockford-fosgate-m2d2-10i/,,Rockford Fosgate M2D2 - 10I,20200121T213000Z,https://www.yachtingmagazine.com/resizer/aHtg_2t776dftnYJo5qJmPtUqNM=/1200x628/smart/arc-anglerfish-arc2-prod-bonnier.s3.amazonaws.com/public/U4AKC6EZ3BFJ5EKBRIOD7GXYX4.jpg,yachtingmagazine.com,English,United States
30,https://www.globenewswire.com/news-release/2020/02/05/1979933/0/en/The-Global-Cable-Assembly-Market-is-expected-to-grow-by-USD-65-83-bn-during-2020-2024-progressing-at-a-CAGR-of-7-during-the-forecast-period.html,,"The Global Cable Assembly Market is expected to grow by USD 65 . 83 bn during 2020 - 2024 , progressing at a CAGR of 7 % during the forecast period",20200205T020000Z,,globenewswire.com,English,United States
31,https://www.fool.com/earnings/call-transcripts/2020/01/22/amphenol-corporation-new-aph-q4-2019-earnings-call.aspx?source=iedfolrf0000001,https://www.fool.com/amp/earnings/call-transcripts/2020/01/22/amphenol-corporation-new-aph-q4-2019-earnings-call.aspx,Amphenol Corporation ( New ) ( APH ) Q4 2019 Earnings Call Transcript,20200123T020000Z,,fool.com,English,United States
32,https://www.prnewswire.com/news-releases/rockford-fosgate-color-optix-rgb-led-products-available-now-301000767.html,,Rockford Fosgate® Color Optix™ RGB LED Products Available Now,20200207T114500Z,,prnewswire.com,English,United States
33,https://www.prnewswire.com:443/news-releases/rockford-fosgate-color-optix-rgb-led-products-available-now-301000767.html,,Rockford Fosgate® Color Optix™ RGB LED Products Available Now,20200207T113000Z,,prnewswire.com,English,United States
34,https://www.tapinto.net/towns/greater-olean/sections/green/articles/meet-the-leaders-photographer-dan-jordan-discusses-his-passion-for-bald-eagles,,Meet the Leaders : Photographer Dan Jordan Discusses His Passion for Bald Eagles,20200209T140000Z,http://tapinto-production.s3.amazonaws.com/uploads/articles/jo/facebook_fe526e6514113e0a9985_Jordan.jpg,tapinto.net,English,United States
