,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
1,https://news.yahoo.com/aes-announces-investor-meetings-potential-144300938.html,https://news.yahoo.com/amphtml/aes-announces-investor-meetings-potential-144300938.html,AES Announces Investor Meetings for Potential Offering of Senior Secured Notes,20200512T151500Z,https://s.yimg.com/ny/api/res/1.2/5Umb6SENPFUwL040yLlxmA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTgwMDtoPTM3Ng--/https://s.yimg.com/uu/api/res/1.2/CgItBd505XssAg_WdLOVUQ--~B/aD0xODg7dz00MDA7c209MTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/prnewswire.com/a0d397756db9d5c4cbe4a638f84f8e53,news.yahoo.com,English,United States
2,https://www.prnewswire.com:443/news-releases/aes-announces-investor-meetings-for-potential-offering-of-senior-secured-notes-301057760.html,,AES Announces Investor Meetings for Potential Offering of Senior Secured Notes,20200512T151500Z,,prnewswire.com,English,United States
3,https://finance.yahoo.com/news/aes-united-states-strategic-business-195100972.html,https://finance.yahoo.com/amphtml/news/aes-united-states-strategic-business-195100972.html,AES United States Strategic Business Unit announces resignation of IPL and DP & L President and CEO,20200514T131500Z,https://s.yimg.com/uu/api/res/1.2/6hanZ2SGWc5ireeI6KfR2w--~B/aD03MDt3PTcwO3NtPTE7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/339f58401d70a87d9f0521ad900c5bcd,finance.yahoo.com,English,United States
4,https://finance.yahoo.com/news/aes-announces-investor-meetings-potential-144300938.html,https://finance.yahoo.com/amphtml/news/aes-announces-investor-meetings-potential-144300938.html,AES Announces Investor Meetings for Potential Offering of Senior Secured Notes,20200512T151500Z,https://s.yimg.com/uu/api/res/1.2/CgItBd505XssAg_WdLOVUQ--~B/aD0xODg7dz00MDA7c209MTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/prnewswire.com/a0d397756db9d5c4cbe4a638f84f8e53,finance.yahoo.com,English,United States
5,https://www.prnewswire.com/news-releases/aes-announces-the-upsizing-of-its-tender-offers-to-up-to-1-584-billion-aggregate-purchase-price-for-certain-outstanding-notes-301060434.html,,AES Announces the Upsizing of its Tender Offers to Up to $1 . 584 Billion Aggregate Purchase Price for Certain Outstanding Notes,20200516T023000Z,,prnewswire.com,English,United States
7,https://finance.yahoo.com/news/aes-united-states-strategic-business-195000185.html,https://finance.yahoo.com/amphtml/news/aes-united-states-strategic-business-195000185.html,AES United States Strategic Business Unit announces resignation of DP & L and IPL President and CEO,20200514T131500Z,https://s.yimg.com/uu/api/res/1.2/AeWwwlU1jgutqYMPyAjqQQ--~B/aD03MDt3PTEwNTtzbT0xO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/business-wire.com/b08b0ec5bf4f1b6290c4994ceb3b29a7,finance.yahoo.com,English,United States
8,https://www.prnewswire.com:443/news-releases/aes-announces-pricing-of-1-6-billion-of-senior-secured-first-lien-notes-in-a-private-offering-301060435.html,,AES Announces Pricing of $1 . 6 Billion of Senior Secured First Lien Notes in a Private Offering,20200516T020000Z,,prnewswire.com,English,United States
9,https://www.prnewswire.com/news-releases/aes-announces-pricing-of-1-6-billion-of-senior-secured-first-lien-notes-in-a-private-offering-301060435.html,,AES Announces Pricing of $1 . 6 Billion of Senior Secured First Lien Notes in a Private Offering,20200516T023000Z,,prnewswire.com,English,United States
10,https://news.yahoo.com/goldwind-sells-stake-panamanian-wind-165600187.html,https://news.yahoo.com/amphtml/goldwind-sells-stake-panamanian-wind-165600187.html,Goldwind Sells Stake In Panamanian Wind Project,20200513T173000Z,https://s.yimg.com/ny/api/res/1.2/v.L7IH1VHn7_zP59Yy509Q--/YXBwaWQ9aGlnaGxhbmRlcjt3PTgwMDtoPTUzNA--/https://s.yimg.com/uu/api/res/1.2/ltUMB37cK50EEWiETE6i5Q--~B/aD0yNjc7dz00MDA7c209MTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/prnewswire.com/393e4f6a14ca01905249a4d8d5bcb1b1,news.yahoo.com,English,United States
11,https://finance.yahoo.com/news/goldwind-sells-stake-panamanian-wind-165600187.html,https://finance.yahoo.com/amphtml/news/goldwind-sells-stake-panamanian-wind-165600187.html,Goldwind Sells Stake In Panamanian Wind Project,20200514T133000Z,https://s.yimg.com/uu/api/res/1.2/ltUMB37cK50EEWiETE6i5Q--~B/aD0yNjc7dz00MDA7c209MTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/prnewswire.com/393e4f6a14ca01905249a4d8d5bcb1b1,finance.yahoo.com,English,United States
12,https://www.benzinga.com/pressreleases/20/05/n16023955/goldwind-sells-stake-in-panamanian-wind-project,https://amp.benzinga.com/amp/content/16023955,Goldwind Sells Stake In Panamanian Wind Project,20200513T183000Z,,benzinga.com,English,United States
13,https://news.yahoo.com/aes-announces-pricing-1-6-011700832.html,https://news.yahoo.com/amphtml/aes-announces-pricing-1-6-011700832.html,AES Announces Pricing of $1 . 6 Billion of Senior Secured First Lien Notes in a Private Offering,20200516T023000Z,https://s.yimg.com/ny/api/res/1.2/5Umb6SENPFUwL040yLlxmA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTgwMDtoPTM3Ng--/https://s.yimg.com/uu/api/res/1.2/CgItBd505XssAg_WdLOVUQ--~B/aD0xODg7dz00MDA7c209MTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/prnewswire.com/a0d397756db9d5c4cbe4a638f84f8e53,news.yahoo.com,English,United States
14,https://finance.yahoo.com/news/aes-announces-pricing-1-6-011700832.html,https://finance.yahoo.com/amphtml/news/aes-announces-pricing-1-6-011700832.html,AES Announces Pricing of $1 . 6 Billion of Senior Secured First Lien Notes in a Private Offering,20200516T014500Z,https://s.yimg.com/uu/api/res/1.2/CgItBd505XssAg_WdLOVUQ--~B/aD0xODg7dz00MDA7c209MTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/prnewswire.com/a0d397756db9d5c4cbe4a638f84f8e53,finance.yahoo.com,English,United States
15,https://finance.yahoo.com/news/aes-continues-progress-strategic-objectives-100400458.html,https://finance.yahoo.com/amphtml/news/aes-continues-progress-strategic-objectives-100400458.html,AES Continues to Make Progress on Strategic Objectives,20200507T130000Z,https://s.yimg.com/uu/api/res/1.2/CgItBd505XssAg_WdLOVUQ--~B/aD0xODg7dz00MDA7c209MTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/prnewswire.com/a0d397756db9d5c4cbe4a638f84f8e53,finance.yahoo.com,English,United States
16,https://www.businesswire.com/news/home/20200513005787/en/AES-United-States-Strategic-Business-Unit-announces,,AES United States Strategic Business Unit announces resignation of DP & L and IPL President and CEO,20200513T230000Z,,businesswire.com,English,United States
17,https://www.prnewswire.com:443/news-releases/goldwind-sells-stake-in-panamanian-wind-project-301058727.html,,Goldwind Sells Stake In Panamanian Wind Project,20200513T173000Z,,prnewswire.com,English,United States
18,https://www.prnewswire.com/news-releases/goldwind-sells-stake-in-panamanian-wind-project-301058727.html,,Goldwind Sells Stake In Panamanian Wind Project,20200513T171500Z,,prnewswire.com,English,United States
19,https://news.yahoo.com/aes-announces-private-offering-senior-133800025.html,https://news.yahoo.com/amphtml/aes-announces-private-offering-senior-133800025.html,AES Announces Private Offering of Senior Secured First Lien Notes,20200515T141500Z,https://s.yimg.com/ny/api/res/1.2/5Umb6SENPFUwL040yLlxmA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTgwMDtoPTM3Ng--/https://s.yimg.com/uu/api/res/1.2/CgItBd505XssAg_WdLOVUQ--~B/aD0xODg7dz00MDA7c209MTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/prnewswire.com/a0d397756db9d5c4cbe4a638f84f8e53,news.yahoo.com,English,United States
21,https://www.prnewswire.com:443/news-releases/aes-continues-to-make-progress-on-strategic-objectives-301054728.html,,AES Continues to Make Progress on Strategic Objectives,20200507T104500Z,,prnewswire.com,English,United States
22,https://www.prnewswire.com:443/news-releases/aes-announces-the-upsizing-of-its-tender-offers-to-up-to-1-584-billion-aggregate-purchase-price-for-certain-outstanding-notes-301060434.html,,AES Announces the Upsizing of its Tender Offers to Up to $1 . 584 Billion Aggregate Purchase Price for Certain Outstanding Notes,20200516T014500Z,,prnewswire.com,English,United States
23,https://www.businesswire.com/news/home/20200513005789/en/AES-United-States-Strategic-Business-Unit-announces,,AES United States Strategic Business Unit announces resignation of IPL and DP & L President and CEO,20200514T084500Z,https://mms.businesswire.com/media/20200513005789/en/764224/23/IPL_Rball_4process.jpg,businesswire.com,English,United States
24,https://fcpablog.com/2020/04/27/job-associate-general-counsel-director-of-internal-investigations/,,Job : Associate General Counsel & Director of Internal Investigations,20200427T163000Z,https://fcpablog.com/wp-content/uploads/2020/04/Screen-Shot-2020-04-27-at-8.58.11-AM.png,fcpablog.com,English,United States
25,https://energy.einnews.com/pr_news/515807596/thermal-power-generation-system-market-a-market-worth-observing-growth-toshiba-ge-tepco,https://energy.einnews.com/amp/pr_news/515807596/thermal-power-generation-system-market-a-market-worth-observing-growth-toshiba-ge-tepco,"Thermal Power Generation System Market - A Market Worth Observing Growth | TOSHIBA , GE , TEPCO",20200430T003000Z,,energy.einnews.com,English,United States
26,https://www.tribuneledgernews.com/extra/news/goldwind-sells-stake-in-panamanian-wind-project/article_f6c09e14-b14c-5e33-a31b-b2d0099edfcb.html,,Goldwind Sells Stake In Panamanian Wind Project,20200513T183000Z,https://bloximages.newyork1.vip.townnews.com/tribuneledgernews.com/content/tncms/assets/v3/editorial/6/5a/65ac42ec-a082-5fdf-853f-1d3d297fddf4/5ebc2b55395bf.image.jpg,tribuneledgernews.com,English,United States
27,https://www.globallegalchronicle.com/aes-panama-s-r-l-s-acquisition-of-uep-penonome-i/,,AES Panamá S . R . L . Acquisition of UEP Penonome I – Global Legal Chronicle,20200516T170000Z,,globallegalchronicle.com,English,United States
28,https://ijglobal.com/articles/147354/aes-tiete-looking-for-acquisitions-in-brazil,,AES Tiete looking for acquisitions in Brazil | News,20200511T100000Z,,ijglobal.com,English,United States
29,https://www.prnewswire.com/news-releases/aes-announces-private-offering-of-senior-secured-first-lien-notes-301060103.html,,AES Announces Private Offering of Senior Secured First Lien Notes,20200515T140000Z,,prnewswire.com,English,United States
30,https://www.prnewswire.com:443/news-releases/aes-announces-private-offering-of-senior-secured-first-lien-notes-301060103.html,,AES Announces Private Offering of Senior Secured First Lien Notes,20200515T140000Z,,prnewswire.com,English,United States
31,https://news.yahoo.com/aes-announces-upsizing-tender-offers-011400296.html,https://news.yahoo.com/amphtml/aes-announces-upsizing-tender-offers-011400296.html,AES Announces the Upsizing of its Tender Offers to Up to $1 . 584 Billion Aggregate Purchase Price for Certain Outstanding Notes,20200516T023000Z,https://s.yimg.com/ny/api/res/1.2/5Umb6SENPFUwL040yLlxmA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTgwMDtoPTM3Ng--/https://s.yimg.com/uu/api/res/1.2/CgItBd505XssAg_WdLOVUQ--~B/aD0xODg7dz00MDA7c209MTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/prnewswire.com/a0d397756db9d5c4cbe4a638f84f8e53,news.yahoo.com,English,United States
32,https://www.industrialinfo.com/news/abstract.jsp?newsitemID=283455,,"California , Texas Lead U . S . in Number of Power Projects Affected by COVID - 19",20200421T113000Z,,industrialinfo.com,English,United States
33,https://news.yahoo.com/aes-announces-cash-tender-offers-134700418.html,https://news.yahoo.com/amphtml/aes-announces-cash-tender-offers-134700418.html,"AES Announces Cash Tender Offers and Consent Solicitations for Up to $1 , 485 , 000 , 000 Aggregate Purchase Amount",20200515T141500Z,https://s.yimg.com/ny/api/res/1.2/5Umb6SENPFUwL040yLlxmA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTgwMDtoPTM3Ng--/https://s.yimg.com/uu/api/res/1.2/CgItBd505XssAg_WdLOVUQ--~B/aD0xODg7dz00MDA7c209MTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/prnewswire.com/a0d397756db9d5c4cbe4a638f84f8e53,news.yahoo.com,English,United States
34,https://www.marketwatch.com/press-release/spower-closes-on-350m-tax-equity-commitment-for-620-mw-dc-solar-project-2020-04-17-141972936,,sPower Closes on $350M Tax Equity Commitment for 620 MW DC Solar Project,20200417T190000Z,,marketwatch.com,English,United States
35,https://energy.einnews.com/pr_news/516722786/spower-announces-virtual-renewable-energy-career-fair,,sPower Announces Virtual Renewable Energy Career Fair,20200511T181500Z,,energy.einnews.com,English,United States
36,https://apnews.com/9920795bac0047b1b963b05f52362517,,sPower Announces Virtual Renewable Energy Career Fair,20200511T194500Z,https://apnews.com/images/PaidContent3.png,apnews.com,English,United States
37,https://www.prnewswire.com/news-releases/aes-announces-cash-tender-offers-and-consent-solicitations-for-up-to-1-485-000-000-aggregate-purchase-amount-301060109.html,,"AES Announces Cash Tender Offers and Consent Solicitations for Up to $1 , 485 , 000 , 000 Aggregate Purchase Amount",20200515T143000Z,,prnewswire.com,English,United States
38,https://energy.einnews.com/pr_news/514861769/spower-closes-on-350m-tax-equity-commitment-for-620-mw-dc-solar-project,,sPower Closes on $350M Tax Equity Commitment for 620 MW DC Solar Project,20200417T210000Z,,energy.einnews.com,English,United States
39,https://oklahoman.com/article/feed/10049181/aes-united-states-strategic-business-unit-announces-resignation-of-ipl-and-dpl-president-and-ceo,https://oklahoman.com/article/feed/10049181/aes-united-states-strategic-business-unit-announces-resignation-of-ipl-and-dpl-president-and-ceo/amp,AES United States Strategic Business Unit announces resignation of IPL and DP & L President and CEO,20200513T201500Z,https://s3.amazonaws.com/content.newsok.com/newsok/images/newsok_facebook.jpg,oklahoman.com,English,United States
40,https://www.oilandgas360.com/aes-announces-private-offering-of-senior-secured-first-lien-notes/,,AES Announces Private Offering of Senior Secured First Lien Notes,20200515T160000Z,,oilandgas360.com,English,United States
41,https://www.prnewswire.com:443/news-releases/aes-announces-cash-tender-offers-and-consent-solicitations-for-up-to-1-485-000-000-aggregate-purchase-amount-301060109.html,,"AES Announces Cash Tender Offers and Consent Solicitations for Up to $1 , 485 , 000 , 000 Aggregate Purchase Amount",20200515T141500Z,,prnewswire.com,English,United States
43,https://news.yahoo.com/insiders-buying-aes-corporation-nyse-101539045.html,https://news.yahoo.com/amphtml/insiders-buying-aes-corporation-nyse-101539045.html,Have Insiders Been Buying The AES Corporation ( NYSE : AES ) Shares ? ,20200421T104500Z,https://s.yimg.com/ny/api/res/1.2/C09kdHzKAtjjnFIeyri9Fg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD00NjMuMTE1NTc3ODg5NDQ3MjU-/https://s.yimg.com/uu/api/res/1.2/Z9BUl3fF327LspqfsjJSBw--~B/aD00MzI7dz0xMTk0O3NtPTE7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/simply_wall_st__316/852b74a8bd0e41fb236f1fd0b6b54e56,news.yahoo.com,English,United States
44,https://classifieds.usatoday.com/press/biomass-market-with-covid-19-impact-analysis-share-expected-huge-growth-during-2025/,,Biomass Market with ( Covid - 19 ) Impact Analysis : Share Expected Huge Growth during 2025,20200515T114500Z,,classifieds.usatoday.com,English,United States
45,https://www.marketwatch.com/press-release/renewable-energy-storage-system-market-survey-report-2020-along-with-statistics-forecasts-till-2026-2020-04-25,,"Renewable Energy Storage System Market Survey Report 2020 Along with Statistics , Forecasts till 2026",20200425T184500Z,,marketwatch.com,English,United States
46,https://news.yahoo.com/global-cybersecurity-leaders-recommendations-building-153500584.html,https://news.yahoo.com/amphtml/global-cybersecurity-leaders-recommendations-building-153500584.html,Global Cybersecurity Leaders Provide Recommendations on Building the Future of Security Leadership,20200513T161500Z,https://s.yimg.com/ny/api/res/1.2/SZGJ8DSnCB8_O9eaaF0Nwg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTgwMDtoPTIyOA--/https://s.yimg.com/uu/api/res/1.2/LDkuvi9XYRWhHqdP3a0t8A--~B/aD0xMTQ7dz00MDA7c209MTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/prnewswire.com/302acf6a3a01044ea1ccb71aa16a2973,news.yahoo.com,English,United States
47,https://www.prnewswire.com:443/news-releases/global-cybersecurity-leaders-provide-recommendations-on-building-the-future-of-security-leadership-301058500.html,,Global Cybersecurity Leaders Provide Recommendations on Building the Future of Security Leadership,20200513T161500Z,,prnewswire.com,English,United States
48,https://www.prnewswire.com/news-releases/global-cybersecurity-leaders-provide-recommendations-on-building-the-future-of-security-leadership-301058500.html,,Global Cybersecurity Leaders Provide Recommendations on Building the Future of Security Leadership,20200513T160000Z,,prnewswire.com,English,United States
50,https://www.greentechmedia.com/articles/read/the-worlds-biggest-battery-is-being-built-in-southern-california,https://www.greentechmedia.com/amp/article/the-worlds-biggest-battery-is-being-built-in-southern-california,The World Biggest Battery Is Being Built For Southern California Grid,20200511T200000Z,https://www.greentechmedia.com/assets/content/cache/made/assets/content/cache/remote/https_assets.greentechmedia.com/content/images/articles/big-battery_500_368_80.jpg,greentechmedia.com,English,United States
51,https://www.northcentralpa.com/life/covid-19_updates/national-safety-council-request-covid-19-tests-for-businesses/article_2eb3b7c2-7fbf-11ea-8693-43e288ec2441.html,,National Safety Council request COVID - 19 tests for businesses,20200420T020000Z,https://bloximages.newyork1.vip.townnews.com/northcentralpa.com/content/tncms/assets/v3/editorial/8/d7/8d71f6ea-7fc2-11ea-a61a-df6fef4c12b2/5e9821c028d52.image.jpg,northcentralpa.com,English,United States
