,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://www.alleywatch.com/tag/avalonbay-communities/,,AvalonBay Communities Archives - AlleyWatch,20200727T203000Z,,alleywatch.com,English,United States
1,https://www.alleywatch.com/tag/equity-residential/,,Equity Residential Archives - AlleyWatch,20200727T203000Z,,alleywatch.com,English,United States
3,https://www.benzinga.com/pressreleases/20/07/b16747477/corporate-social-responsibility-related-news-releases-and-story-ideas-for-reporters-bloggers-and-m,https://amp.benzinga.com/amp/content/16747477,"Corporate Social Responsibility Related News Releases and Story Ideas for Reporters , Bloggers and Media Outlets",20200723T114500Z,,benzinga.com,English,United States
9,https://www.chron.com/business/article/AvalonBay-2Q-Earnings-Snapshot-15443775.php,https://www.chron.com/business/amp/AvalonBay-2Q-Earnings-Snapshot-15443775.php,AvalonBay : 2Q Earnings Snapshot,20200729T213000Z,https://www.chron.com/img/pages/article/opengraph_default.jpg,chron.com,English,United States
10,https://www.sfgate.com/business/article/AvalonBay-2Q-Earnings-Snapshot-15443775.php,https://www.sfgate.com/business/amp/AvalonBay-2Q-Earnings-Snapshot-15443775.php,AvalonBay : 2Q Earnings Snapshot,20200729T213000Z,https://www.sfgate.com/img/pages/article/opengraph_default.png,sfgate.com,English,United States
11,https://www.oaoa.com/news/business/corporate-social-responsibility-related-news-releases-and-story-ideas-for-reporters-bloggers-and-media-outlets/article_89cec1cf-3434-57ea-a2c9-e373f61250d7.html,,"Corporate Social Responsibility Related News Releases and Story Ideas for Reporters , Bloggers and Media Outlets",20200723T130000Z,https://bloximages.newyork1.vip.townnews.com/oaoa.com/content/tncms/assets/v3/editorial/b/da/bdafe9e6-cf03-59cb-81d1-4d2c418fe6c6/5f19753135201.image.jpg,oaoa.com,English,United States
12,https://www.fool.com/earnings/call-transcripts/2020/07/30/avalonbay-communities-inc-avb-q2-2020-earnings-cal.aspx?source=iedfolrf0000001,https://www.fool.com/amp/earnings/call-transcripts/2020/07/30/avalonbay-communities-inc-avb-q2-2020-earnings-cal.aspx,AvalonBay Communities Inc ( AVB ) Q2 2020 Earnings Call Transcript,20200730T230000Z,,fool.com,English,United States
13,https://www.businesswire.com/news/home/20200723005908/en/LAO-Proposition-21-Cost-State-Localities-%E2%80%9CHigh,,"LAO : Proposition 21 Would Cost State , Localities  High Tens of Millions Per Year  in Lost Revenue , Result in Less Housing",20200723T210000Z,,businesswire.com,English,United States
14,https://www.citywatchla.com/index.php/cw/los-angeles/20133-new-update-top-10-contributors-opposing-rent-control-in-california-2,,New Update : Top 10 Contributors Opposing Rent Control in California,20200724T071500Z,,citywatchla.com,English,United States
15,https://www.benzinga.com/pressreleases/20/07/b16759466/lao-proposition-21-would-cost-state-localities-high-tens-of-millions-per-year-in-lost-revenue-resu,https://amp.benzinga.com/amp/content/16759466,"LAO : Proposition 21 Would Cost State , Localities",20200723T210000Z,,benzinga.com,English,United States
17,https://www.register-herald.com/region/corporate-social-responsibility-related-news-releases-and-story-ideas-for-reporters-bloggers-and-media-outlets/article_34df1072-639a-51c8-a9b0-e905e18ac124.html,,"Corporate Social Responsibility Related News Releases and Story Ideas for Reporters , Bloggers and Media Outlets",20200723T124500Z,https://bloximages.chicago2.vip.townnews.com/register-herald.com/content/tncms/assets/v3/editorial/e/a0/ea08f895-bb48-5639-8dc0-ddeccee4b678/5f1972239d25f.image.jpg,register-herald.com,English,United States
18,https://www.businesswire.com/news/home/20200805005835/en/Leading-Senior-Groups-Announce-Opposition-Proposition-21,,Leading Senior Groups Announce Opposition to Proposition 21,20200805T204500Z,,businesswire.com,English,United States
19,https://finance.yahoo.com/news/bay-area-news-group-editorializes-172900755.html,https://finance.yahoo.com/amphtml/news/bay-area-news-group-editorializes-172900755.html,Bay Area News Group Editorializes : Vote No on 21,20200810T180000Z,https://s.yimg.com/uu/api/res/1.2/aC1.pJ6j6am0KDus6y9veg--~B/aD0yMjU7dz0yMjU7c209MTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/business-wire.com/e2fa026ac73d260613dee883bbb12545,finance.yahoo.com,English,United States
20,https://therealdeal.com/2020/07/21/meetelise-an-ai-powered-leasing-startup-raises-6-75m/,https://therealdeal.com/2020/07/21/meetelise-an-ai-powered-leasing-startup-raises-6-75m/amp/,AI - powered Leasing Startup Raises Series A,20200721T144500Z,https://therealdeal.com/wp-content/uploads/2020/07/493_MeetElise-a-leasing-management-tool-raised-10M.jpg,therealdeal.com,English,United States
21,https://www.alleywatch.com/page/2/?news=1498505170305491,,AlleyWatch - Page 2 of 908 - The Pulse of New York Tech,20200802T194500Z,,alleywatch.com,English,United States
22,https://www.alleywatch.com/page/2/?news=14984596303656390,,AlleyWatch - Page 2 of 908 - The Pulse of New York Tech,20200802T010000Z,,alleywatch.com,English,United States
23,https://www.businesswire.com/news/home/20200731005500/en/Housing-Justice-Movement-Takes-Barons-Real-Estate,,Housing Justice Movement Takes on the Barons of Real Estate,20200801T053000Z,,businesswire.com,English,United States
24,http://www.digitaljournal.com/pr/4761441,,Housing Justice Movement Takes on the Barons of Real Estate - Press Release,20200801T011500Z,,digitaljournal.com,English,United States
25,https://www.alleywatch.com/page/2/?news=14985120989857721,,AlleyWatch - Page 2 of 908 - The Pulse of New York Tech,20200801T014500Z,,alleywatch.com,English,United States
28,https://www.redcross.org/about-us/news-and-events/news/2020/red-cross-responds-to-storms-in-hawaii-texas.html,,"Red Cross responds to storms in Hawaii , Texas",20200727T170000Z,https://www.redcross.org/content/dam/redcross/about-us/news/2020/52808-after-hurricane.jpg,redcross.org,English,United States
29,https://www.alleywatch.com/page/2/?wordfence_syncAttackData=1596448526.9052,,AlleyWatch - Page 2 of 908 - The Pulse of New York Tech,20200803T103000Z,,alleywatch.com,English,United States
30,https://www.alleywatch.com/page/2/?wordfence_syncAttackData=1596379369.7909,,AlleyWatch - Page 2 of 908 - The Pulse of New York Tech,20200802T151500Z,,alleywatch.com,English,United States
31,https://www.chron.com/business/article/Cheapest-apartments-at-biggest-foreclosure-risk-15475585.php,https://m.chron.com/business/article/Cheapest-apartments-at-biggest-foreclosure-risk-15475585.php,Cheapest apartments at biggest foreclosure risk as payments fall,20200811T174500Z,https://s.hdnux.com/photos/01/13/41/00/19796026/3/rawImage.jpg,chron.com,English,United States
32,https://www.newsmax.com/finance/personal-finance/cheapest-apartments-biggest-foreclosure/2020/08/11/id/981642/,,Cheapest Apartments at Biggest Foreclosure Risk as Payments Fall,20200811T211500Z,https://www.newsmax.com/CMSPages/GetFile.aspx?guid=fd0a5546-37e3-4f2d-916c-f062d19747af&SiteName=Newsmax,newsmax.com,English,United States
33,https://www.unionleader.com/news/business/cheapest-apartments-at-biggest-foreclosure-risk-as-payments-fall/article_e2281e35-85af-520b-a49c-1a830b054b31.html,,Cheapest apartments at biggest foreclosure risk as payments fall,20200811T221500Z,https://bloximages.newyork1.vip.townnews.com/unionleader.com/content/tncms/assets/v3/editorial/3/21/3212430e-5998-5f0b-a5bb-67041dc14cea/5f3307c221498.image.jpg,unionleader.com,English,United States
34,https://www.alleywatch.com/2020/07/meetelise-rental-leasing-agent-ai-assistant-minna-song/,https://www.alleywatch.com/2020/07/meetelise-rental-leasing-agent-ai-assistant-minna-song/amp/,MeetElise Raises $6 . 5M for its AI - Powered Assistant for Rentals,20200727T203000Z,https://cdn.alleywatch.com/wp-content/uploads/2020/07/MeetElise_Client-facing-AI-Chatbot-for-real-estate-rental_Series-A.001.jpeg,alleywatch.com,English,United States
35,https://www.citywatchla.com/index.php/cw/los-angeles/20225-caa-s-john-eudy-pulls-the-strings-to-stop-proposition-21,,CAA John Eudy Pulls the Strings to Stop Proposition 21,20200811T044500Z,,citywatchla.com,English,United States
36,https://www.nationalmortgagenews.com/articles/foreclosure-risk-is-highest-on-affordable-apartment-buildings,,Foreclosure risk is highest on affordable apartment buildings,20200811T214500Z,https://arizent.brightspotcdn.com/eb/b3/0d983ad74c279bda15d7a40d5eba/363928683.jpg,nationalmortgagenews.com,English,United States
