,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://news.yahoo.com/now-time-put-atmos-energy-113100797.html,https://news.yahoo.com/amphtml/now-time-put-atmos-energy-113100797.html,Is Now The Time To Put Atmos Energy ( NYSE : ATO ) On Your Watchlist ? ,20201019T121500Z,https://s.yimg.com/uu/api/res/1.2/szGqfwMP_t6XEBClgq1Fgg--~B/aD00MzI7dz0xMTk0O3NtPTE7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/simply_wall_st__316/512c7b9e41dd66d2bde4b48451dad380,news.yahoo.com,English,United States
1,https://www.oaoa.com/community/good_news/good-news-atmos-energy-donates-1-million-to-help-customers/article_4a028e66-0662-11eb-ac06-77c687219e5c.html,,GOOD NEWS : Atmos Energy donates $1 million to help customers,20201005T120000Z,https://bloximages.newyork1.vip.townnews.com/oaoa.com/content/tncms/assets/v3/editorial/e/94/e94eb1c6-73a9-11ea-9d44-7b47045ff642/5e83d672df441.image.png,oaoa.com,English,United States
2,https://www.oaoa.com/community/good_news/good-news-atmos-energy-gives-2-million-to-help-feed-school-children/article_e7dc92ea-0661-11eb-9eb5-1fe49f56e417.html,,GOOD NEWS : Atmos Energy gives $2 million to help feed school children,20201005T120000Z,https://bloximages.newyork1.vip.townnews.com/oaoa.com/content/tncms/assets/v3/editorial/e/94/e94eb1c6-73a9-11ea-9d44-7b47045ff642/5e83d672df441.image.png,oaoa.com,English,United States
3,https://www.oaoa.com/community/good_news/good-news-atmos-energy-donates-2-million-to-enrich-early-childhood-literacy/article_e1f68116-fa08-11ea-b3f0-c7cfc2abb55a.html,,GOOD NEWS : Atmos Energy donates $2 million to enrich early childhood literacy,20200920T100000Z,https://bloximages.newyork1.vip.townnews.com/oaoa.com/content/tncms/assets/v3/editorial/e/94/e94eb1c6-73a9-11ea-9d44-7b47045ff642/5e83d672df441.image.png,oaoa.com,English,United States
4,https://news.yahoo.com/atmos-energy-nyse-ato-share-132308841.html,https://news.yahoo.com/amphtml/atmos-energy-nyse-ato-share-132308841.html,The Atmos Energy ( NYSE : ATO ) Share Price Has Gained 60 % And Shareholders Are Hoping For More,20200919T143000Z,https://s.yimg.com/uu/api/res/1.2/szGqfwMP_t6XEBClgq1Fgg--~B/aD00MzI7dz0xMTk0O3NtPTE7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/simply_wall_st__316/512c7b9e41dd66d2bde4b48451dad380,news.yahoo.com,English,United States
5,https://www.oaoa.com/community/good_news/good-news-atmos-energy-employees-pledge-875-000/article_bcbe021e-ff5f-11ea-a5d9-7f577a6716ad.html,,"GOOD NEWS : Atmos Energy employees pledge $875 , 000",20200926T103000Z,https://bloximages.newyork1.vip.townnews.com/oaoa.com/content/tncms/assets/v3/editorial/e/94/e94eb1c6-73a9-11ea-9d44-7b47045ff642/5e83d672df441.image.png,oaoa.com,English,United States
6,https://www.amarillo.com/news/20200921/atmos-energy-employees-pledge-more-than-875000-for-nonprofits-in-week-of-giving-campaign,https://www.amarillo.com/news/20200921/atmos-energy-employees-pledge-more-than-875000-for-nonprofits-in-week-of-giving-campaign?template=ampart,"Atmos Energy employees pledge more than $875 , 000 for nonprofits in Week of Giving campaign - News - Amarillo Globe - News",20200922T004500Z,,amarillo.com,English,United States
7,https://www.amarillo.com/story/news/2020/10/14/atmos-energy-donates-money-amarillo-colleges-no-excuses-fund/3656512001/,,Atmos Energy donates money to Amarillo College No Excuses Fund,20201016T071500Z,"https://www.gannett-cdn.com/presto/2020/10/14/NAGN/7e001e52-bc2f-42e5-adb0-50bd97ca3ca9-AtmosACCheck03_101420.JPG?auto=webp&crop=6959,3914,x0,y353&format=pjpg",amarillo.com,English,United States
8,https://www.kxxv.com/hometown/mclennan-county/hazmat-atmos-energy-on-scene-of-natural-gas-line-break-in-waco,https://www.kxxv.com/hometown/mclennan-county/hazmat-atmos-energy-on-scene-of-natural-gas-line-break-in-waco?_amp=true,"Hazmat , Atmos Energy on scene of natural gas line break in Waco",20201009T221500Z,http://ewscripps-brightspot.s3.amazonaws.com/e3/ed/575519494a80b9ebe06757c45e7b/image-from-ios-22.jpg,kxxv.com,English,United States
9,https://durangoherald.com/articles/346894-gas-leak-prompts-evacuations-in-north-durango,https://durangoherald.com/amp/346894-gas-leak-prompts-evacuations-in-north-durango,Gas leak prompts evacuations in north Durango,20201001T223000Z,https://dur-duweb.newscyclecloud.com/storyimage/DU/20201001/NEWS01/201009963/AR/0/AR-201009963.jpg?ts=1601585297,durangoherald.com,English,United States
10,https://www.fox34.com/news/atmos-energy-provides-customers-with-utility-assistance/article_6854fd46-0350-11eb-b133-b71ff6ff6ba4.html,,Atmos energy provides customers with utility assistance,20200930T204500Z,https://bloximages.newyork1.vip.townnews.com/fox34.com/content/tncms/assets/v3/editorial/a/e2/ae262678-0351-11eb-8852-ebdd74089c8c/5f74da17deb16.image.png,fox34.com,English,United States
11,https://www.1077yesfm.com/local-news/atmos-energy-provides-customers-with-utility-assistance/article_0c05218d-ee26-53d3-8131-7e3dd7f8e33e.html,,Atmos energy provides customers with utility assistance,20200930T230000Z,https://bloximages.newyork1.vip.townnews.com/1077yesfm.com/content/tncms/assets/v3/editorial/c/1b/c1b592ad-21fa-5f8f-aac1-5542effad413/5f74dcdc94ebe.image.png,1077yesfm.com,English,United States
12,https://www.kxxv.com/hometown/mclennan-county/atmos-energy-to-conduct-controlled-natural-gas-flare-in-waco,https://www.kxxv.com/hometown/mclennan-county/atmos-energy-to-conduct-controlled-natural-gas-flare-in-waco?_amp=true,Atmos Energy to conduct controlled natural gas flare in Waco,20201005T163000Z,https://mediaassets.kxxv.com/images/16316297_G.png,kxxv.com,English,United States
13,https://starlocalmedia.com/mesquitenews/news/atmos-energy-donates-1-million-to-help-customers-stay-warm-this-winter/article_07cea8d8-029b-11eb-a32b-d3da99aeb44d.html,,Atmos Energy Donates $1 million to help customers stay warm this winter,20201002T140000Z,https://bloximages.chicago2.vip.townnews.com/starlocalmedia.com/content/tncms/assets/v3/editorial/2/57/257c4412-029b-11eb-88df-f72e1604ff22/5f73a7c4ebf90.image.png,starlocalmedia.com,English,United States
14,https://www.wbap.com/2020/09/30/atmos-energy-donates-1-million-to-help-customers-stay-warm-this-winter/,,Atmos Energy Donates $1 Million To Help Customers Stay Warm This Winter,20200930T150000Z,,wbap.com,English,United States
15,https://www.klif.com/2020/09/30/atmos-energy-donates-1-million-to-help-customers-stay-warm-this-winter/,,Atmos Energy Donates $1 Million To Help Customers Stay Warm This Winter,20200930T144500Z,,klif.com,English,United States
16,https://www.olneyenterprise.com/news/atmos-energy-donates-2-million-enrich-early-childhood-literacy,,Atmos Energy Donates $2 Million to Enrich Early Childhood Literacy,20200924T093000Z,,olneyenterprise.com,English,United States
17,https://www.whvoradio.com/2020/09/28/atmos-energy-donating-1-million-to-help-customers-stay-warm-this-winter/,https://www.whvoradio.com/2020/09/28/atmos-energy-donating-1-million-to-help-customers-stay-warm-this-winter/amp/,Atmos Energy Donating $1 Million to Help Customers Stay Warm This Winter,20200928T214500Z,https://dehayf5mhw1h7.cloudfront.net/wp-content/uploads/sites/915/2020/09/28185141/Atmos-Energy-1024x1024.png,whvoradio.com,English,United States
18,https://www.wlbt.com/2020/10/06/atmos-energy-recognized-with-mississippi-champion-award/,/2020/10/06/atmos-energy-recognized-with-mississippi-champion-award/?outputType=amp,Atmos Energy recognized with Mississippi Champion Award,20201007T084500Z,https://www.wlbt.com/resizer/IhuWOt8piHQWIzzNThdtDrIumDo=/1200x0/cloudfront-us-east-1.images.arcpublishing.com/raycom/TA4RXNNZ65DBRCXJ72KQRH6BKU.jpg,wlbt.com,English,United States
19,https://www.whvoradio.com/2020/10/01/atmos-energy-giving-funds-to-help-feed-school-children/,https://www.whvoradio.com/2020/10/01/atmos-energy-giving-funds-to-help-feed-school-children/amp/,Atmos Energy Giving Funds To Help Feed School Children,20201001T154500Z,https://dehayf5mhw1h7.cloudfront.net/wp-content/uploads/sites/915/2020/10/01145012/Atmos-Energy-1024x1024.png,whvoradio.com,English,United States
20,https://www.djournal.com/news/business/atmos-distributing-1m-to-energy-assistance-agencies/article_5656c137-9cff-5bd0-a070-ac91bbc89ebe.html,,Atmos distributing $1M to energy assistance agencies,20200929T134500Z,https://bloximages.newyork1.vip.townnews.com/djournal.com/content/tncms/custom/image/c4931bce-e1a3-11e6-b934-53284b68f006.jpg,djournal.com,English,United States
21,https://www.thenewsstar.com/story/news/education/2020/10/19/atmos-energy-invests-15-k-ldcc-scholarship/3693929001/,https://amp.thenewsstar.com/amp/3693929001,Atmos Energy invests $15K in LDCC scholarship,20201019T114500Z,"https://www.gannett-cdn.com/presto/2020/03/03/PMON/aefaf7e2-b050-4e7a-bad9-cb5e242db099-Edu-_Education.JPG.jpg?crop=599,337,x0,y150&fit=bounds",thenewsstar.com,English,United States
