,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://seekingalpha.com/article/4394103-american-tower-reit-for-excellent-total-return-and-growing-dividend-income,https://seekingalpha.com/amp/article/4394103-american-tower-reit-for-excellent-total-return-and-growing-dividend-income,American Tower : A REIT For Excellent Total Return And Growing Dividend Income ( NYSE : AMT ) ,20201210T213000Z,https://static3.seekingalpha.com/assets/og_image_192-59bfd51c9fe6af025b2f9f96c807e46f8e2f06c5ae787b15bf1423e6c676d4db.png,seekingalpha.com,English,United States
1,https://www.insidermonkey.com/blog/want-to-buy-american-tower-amt-stock-heres-what-you-need-to-know-898808/,,Want to Buy American Tower ( AMT ) Stock ? Here What You Need to Know,20201210T170000Z,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2016/05/03100240/Mobile-Tower.jpg,insidermonkey.com,English,United States
2,https://www.insidermonkey.com/blog/is-american-tower-corp-amt-a-smart-long-term-buy-894496/,,Is American Tower Corp ( AMT ) a Smart Long - term Buy ? ,20201201T171500Z,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2016/05/03100240/Mobile-Tower.jpg,insidermonkey.com,English,United States
5,https://www.fool.com/investing/2020/11/30/3-top-stocks-you-can-buy-and-hold-for-the-next-dec/,https://www.fool.com/amp/investing/2020/11/30/3-top-stocks-you-can-buy-and-hold-for-the-next-dec/,3 Top Stocks You Can Buy and Hold for the Next Decade,20201130T140000Z,https://g.foolcdn.com/editorial/images/601517/credit-card-9.jpg,fool.com,English,United States
6,https://www.openpr.com/news/2204076/diamonds-and-diamond-jewelry-market-to-witness-huge-growth,https://www.openpr.com/amp/2204076/diamonds-and-diamond-jewelry-market-to-witness-huge-growth,Diamonds and Diamond Jewelry Market to Witness Huge Growth,20201207T200000Z,https://cdn.openpr.com/T/c/Tc07775584_g.jpg,openpr.com,English,United States
7,https://www.openpr.com/news/2204073/mobile-contactless-payments-market-is-booming-worldwide-with,https://www.openpr.com/amp/2204073/mobile-contactless-payments-market-is-booming-worldwide-with,Mobile Contactless Payments Market is Booming Worldwide with,20201207T200000Z,https://cdn.openpr.com/T/c/Tc07363620_g.jpg,openpr.com,English,United States
8,https://www.openpr.com/news/2204078/iot-development-service-market-to-see-huge-growth-by-2026,https://www.openpr.com/amp/2204078/iot-development-service-market-to-see-huge-growth-by-2026,IoT Development Service Market to See Huge Growth by 2026,20201207T200000Z,https://cdn.openpr.com/T/c/Tc07878547_g.jpg,openpr.com,English,United States
9,https://www.openpr.com/news/2195557/building-management-system-market-industry-size-growth,https://www.openpr.com/amp/2195557/building-management-system-market-industry-size-growth,"Building Management System Market Industry Size , Growth , ",20201125T120000Z,https://cdn.openpr.com/T/b/Tb25726515_g.jpg,openpr.com,English,United States
11,https://www.benzinga.com/news/20/12/18822122/ast-attempts-to-bring-5g-from-space-what-to-know-about-the-spac-deal,https://amp.benzinga.com/amp/content/18822122," ( NPA ), American Tower Corporation ( REIT ) ( NYSE : AMT ) - AST Attempts To Bring 5G From Space : What To Know About The SPAC Deal",20201216T210000Z,,benzinga.com,English,United States
14,https://www.reuters.com/article/astspacemobile-m-a-new-providence/satellite-firm-ast-to-go-public-via-1-4-billion-spac-merger-idUSKBN28Q1Y5,https://mobile.reuters.com/article/amp/idUSKBN28Q1Y5,Satellite firm AST to go public via $1 . 4 billion SPAC merger,20201216T144500Z,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png,reuters.com,English,United States
15,https://www.reuters.com/article/astspacemobile-ma-new-providence-idUSL4N2IW2TS,https://mobile.reuters.com/article/amp/idUSL4N2IW2TS,Satellite firm AST to go public via $1 . 4 bln SPAC merger,20201216T143000Z,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png,reuters.com,English,United States
16,https://fr.reuters.com/article/astspacemobile-m-a-new-providence-idUKKBN28Q1Y5,https://mobile.reuters.com/article/amp/idUKKBN28Q1Y5,Satellite firm AST to go public via $1 . 4 billion SPAC merger,20201216T193000Z,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png,fr.reuters.com,English,United States
