,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://www.benzinga.com/news/earnings/21/03/20382070/looking-into-analog-devicess-return-on-capital-employed,https://amp.benzinga.com/amp/content/20382070,"Analog Devices , Inc . ( NASDAQ : ADI ) - Looking Into Analog Devices Return On Capital Employed",20210329T141500Z,,benzinga.com,English,United States
3,https://www.insidermonkey.com/blog/is-analog-devices-adi-a-smart-long-term-buy-929389/,,Is Analog Devices ( ADI ) A Smart Long - Term Buy ? ,20210331T193000Z,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2017/03/06183900/shutterstock_539568244.jpg,insidermonkey.com,English,United States
5,https://www.forbes.com/sites/greatspeculations/2021/04/19/strong-demand-revival-could-help-analog-devices-stock-rise-to-new-highs/,https://www.forbes.com/sites/greatspeculations/2021/04/19/strong-demand-revival-could-help-analog-devices-stock-rise-to-new-highs/amp/,Strong Demand Revival Could Help Analog Devices Stock Rise To New Highs,20210419T110000Z,https://thumbor.forbes.com/thumbor/fit-in/1200x0/filters%3Aformat%28jpg%29/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F1054465716%2F0x0.jpg,forbes.com,English,United States
6,https://www.businesswire.com/news/home/20210412005057/en/Analog-Devices-Advances-Climate-Strategy-and-Commits-to-Net-Zero-Emissions-by-2050,,Analog Devices Advances Climate Strategy and Commits to Net Zero Emissions by 2050,20210412T153000Z,,businesswire.com,English,United States
7,https://www.rfglobalnet.com/doc/frequency-generation-analog-devices-0001,,Frequency Generation Analog Devices,20210408T024500Z,https://vertassets.blob.core.windows.net/image/16d756c6/16d756c6-19fa-4ab4-ae66-4150ef5cebe0/freq_generator_landing_page.jpg,rfglobalnet.com,English,United States
8,https://www.reuters.com/article/us-maxim-intg-m-a-analog-devices-eu-excl/exclusive-eu-antitrust-regulators-to-okay-analog-devices-21-billion-maxim-buy-source-idUSKBN2BI2IR,https://mobile.reuters.com/article/amp/idUSKBN2BI2IR,Exclusive : EU antitrust regulators to okay Analog Device $21 billion Maxim buy - source,20210326T164500Z,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png,reuters.com,English,United States
9,https://www.reuters.com/article/technologyNews/idUSKBN2BI2IR,https://mobile.reuters.com/article/amp/idUSKBN2BI2IR,Exclusive : EU antitrust regulators to okay Analog Device $21 billion Maxim buy - source,20210326T164500Z,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png,reuters.com,English,United States
10,https://www.benzinga.com/m-a/21/03/20363166/eu-antitrust-regulators-to-unconditionally-approve-analog-maxim-acquisition-reuters,https://amp.benzinga.com/amp/content/20363166,"Analog Devices , Inc . ( NASDAQ : ADI ), Maxim Integrated Products , Inc . ( NASDAQ : MXIM ) - EU Antitrust Regulators To Unconditionally Approve Analog - Maxim Acquisition : Reuters",20210326T180000Z,,benzinga.com,English,United States
11,https://www.openpr.com/news/2266182/microcontroller-market-trends-new-developments,,"Microcontroller Market Trends , New Developments , ",20210405T210000Z,https://cdn.openpr.com/U/4/U405291307_g.jpg,openpr.com,English,United States
12,https://www.tmcnet.com/usubmit/2021/04/12/9343570.htm,,"Analog Devices Announces 16 - Channel , Mixed - Signal Front - End Digitizer for Reference Design Integration",20210412T153000Z,https://mms.businesswire.com/media/20210412005002/en/868911/4/Quad-MxFE-PR-Image-CMYK-1860x1860-Title-Print_webready.jpg,tmcnet.com,English,United States
13,https://www.msn.com/en-us/money/other/nielsen-nlsn-boosts-audience-outcome-offerings-with-new-tool/ar-BB1fEgfG,,Nielsen ( NLSN ) Boosts Audience Outcome Offerings With New Tool,20210414T153000Z,,msn.com,English,United States
14,https://www.openpr.com/news/2274909/iot-microcontroller-market-global-trends-market-share,https://www.openpr.com/amp/2274909/iot-microcontroller-market-global-trends-market-share,"IoT Microcontroller Market Global Trends , Market Share , ",20210424T094500Z,https://cdn.openpr.com/U/4/U424339795_g.jpg,openpr.com,English,United States
15,https://www.thepublicopinion.com/ap/business/analog-devices-and-mda-collaborate-to-provide-electronic-beam-forming-technology-for-the-telesat-lightspeed/article_e5b1d763-5cc7-53df-bf0e-c364ad8923b2.html,,"Analog Devices and MDA Collaborate to Provide Electronic Beam Forming Technology for the Telesat Lightspeed Constellation , Enhancing Global Connectivity",20210408T123000Z,https://bloximages.chicago2.vip.townnews.com/thepublicopinion.com/content/tncms/custom/image/370c41da-17b5-11e6-9d16-83b5310e931b.jpg,thepublicopinion.com,English,United States
16,https://www.rfglobalnet.com/doc/adi-s-tiny-radar-ghz-multi-channel-radar-system-on-a-small-factor-pcb-0001,,ADIs Tiny Radar 24GHz Multi - Channel Radar System On A Small Factor PCB,20210414T060000Z,,rfglobalnet.com,English,United States
17,https://www.rfglobalnet.com/doc/analog-devices-announces-complete-radio-platform-for-ran-ecosystem-0001,,Analog Devices Announces Complete Radio Platform For 5G O - RAN Ecosystem,20210326T121500Z,,rfglobalnet.com,English,United States
18,https://www.reuters.com/article/us-maxim-intg-m-a-analog-devices-eu/analog-devices-get-eu-nod-for-21-billion-maxim-buy-idUSKBN2BO4MA,https://mobile.reuters.com/article/amp/idUSKBN2BO4MA,Analog Devices get EU nod for $21 billion Maxim buy,20210401T080000Z,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png,reuters.com,English,United States
21,https://www.tmcnet.com/usubmit/2021/04/22/9352945.htm,,"Analog Devices , Inc . to Report Second Quarter Fiscal Year 2021 Financial Results on Wednesday , May 19 , 2021",20210422T203000Z,https://images.tmcnet.com/tmc/world.jpg,tmcnet.com,English,United States
22,https://www.eejournal.com/industry_news/mouser-electronics-stocks-wide-selection-of-latest-analog-devices-products/,,Mouser Electronics Stocks Wide Selection of Latest Analog Devices Products,20210415T191500Z,,eejournal.com,English,United States
23,https://www.rfglobalnet.com/doc/beamformers-analog-devices-0001,,Beamformers Analog Devices,20210407T180000Z,https://vertassets.blob.core.windows.net/image/38d35ab5/38d35ab5-f838-46c8-8b96-23cc6b9b48a3/beamforming.jpg,rfglobalnet.com,English,United States
