,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://www.fool.com/investing/2021/04/02/3-top-stocks-to-recession-proof-your-portfolio/?source=iedfolrf0000001,https://www.fool.com/amp/investing/2021/04/02/3-top-stocks-to-recession-proof-your-portfolio/,3 Top Stocks to Recession - Proof Your Portfolio,20210402T161500Z,https://g.foolcdn.com/editorial/images/619873/recession-fears-in-a-newspaper-headline.jpg,fool.com,English,United States
3,https://www.stltoday.com/business/local/business-bulletin-board-kwame-earns-award-ryan-cos-breaks-ground/article_29703fc6-b2e6-5f1e-8178-71d9fa1552c5.html,https://www.stltoday.com/business/local/business-bulletin-board-kwame-earns-award-ryan-cos-breaks-ground/article_29703fc6-b2e6-5f1e-8178-71d9fa1552c5.amp.html,Business Bulletin Board : Kwame earns award ; Ryan Cos . breaks ground,20210326T054500Z,https://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/assets/v3/editorial/7/42/742872d7-6d08-5e28-a777-5e42fdac7a44/605cf3bd35129.image.jpg?crop=300%2C169%2C0%2C15,stltoday.com,English,United States
4,https://targetednews.com/pr_disp.php?pr_id=7440902,,Targeted News Service,20210402T144500Z,,targetednews.com,English,United States
5,https://patch.com/florida/bradenton/local-students-win-conservation-art-awards,https://patch.com/florida/bradenton/amp/29393451/local-students-win-conservation-art-awards,Local students win conservation art awards,20210402T003000Z,https://patch.com/img/cdn20/users/3721142/20210401/041208/styles/patch_image/public/water-conservation-poster-winners___01161103718.png,patch.com,English,United States
6,https://www.stltoday.com/business/investment/personal-finance/3-stocks-to-buy-and-hold-for-the-next-10-years/article_a66dbf2f-1e45-5b83-b19f-dc043ae5e03c.html,https://www.stltoday.com/business/investment/personal-finance/3-stocks-to-buy-and-hold-for-the-next-10-years/article_a66dbf2f-1e45-5b83-b19f-dc043ae5e03c.amp.html,3 Stocks to Buy and Hold for the Next 10 Years,20210410T170000Z,https://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/assets/v3/editorial/d/b8/db87ebf0-5ba5-56b5-a68e-36f5c9cc121f/607197837798d.image.jpg?crop=700%2C394%2C0%2C35,stltoday.com,English,United States
7,https://www.fool.com/investing/2021/04/10/3-stocks-to-buy-and-hold-for-the-next-10-years/?source=iedfolrf0000001,https://www.fool.com/amp/investing/2021/04/10/3-stocks-to-buy-and-hold-for-the-next-10-years/,3 Stocks to Buy and Hold for the Next 10 Years,20210410T121500Z,https://g.foolcdn.com/editorial/images/620952/getty-three-diamonds-gems-best-high-quality-perfect.jpg,fool.com,English,United States
8,https://www.fool.com/investing/2021/04/10/3-stocks-to-buy-and-hold-for-the-next-10-years/,https://www.fool.com/amp/investing/2021/04/10/3-stocks-to-buy-and-hold-for-the-next-10-years/,3 Stocks to Buy and Hold for the Next 10 Years,20210410T121500Z,https://g.foolcdn.com/editorial/images/620952/getty-three-diamonds-gems-best-high-quality-perfect.jpg,fool.com,English,United States
10,https://magicvalley.com/business/investment/personal-finance/3-stocks-to-buy-and-hold-for-the-next-10-years/article_42a2e6a1-07e5-5f0b-8b80-3ee19b5f3b14.html,https://magicvalley.com/business/investment/personal-finance/3-stocks-to-buy-and-hold-for-the-next-10-years/article_42a2e6a1-07e5-5f0b-8b80-3ee19b5f3b14.amp.html,3 Stocks to Buy and Hold for the Next 10 Years,20210410T161500Z,https://bloximages.chicago2.vip.townnews.com/magicvalley.com/content/tncms/assets/v3/editorial/f/4b/f4b55342-efb1-561c-9df8-38a795aae73c/607196db37d69.image.jpg?crop=700%2C394%2C0%2C35,magicvalley.com,English,United States
11,https://www.businesswire.com/news/home/20210412005163/en/GZA-Acquires-Leading-Water-Quality-Solutions-Provider-Ecosystem-Consulting-Service-ECS,,GZA Acquires Leading Water - Quality Solutions Provider Ecosystem Consulting Service ( ECS ) ,20210412T141500Z,,businesswire.com,English,United States
12,https://www.globenewswire.com/news-release/2021/04/21/2214324/0/en/Corrpro-Congratulates-2021-AMPP-NACE-Fellow-Award-Recipient-David-Kroon.html,,Corrpro Congratulates 2021 AMPP / NACE Fellow Award Recipient David Kroon,20210421T144500Z,https://ml.globenewswire.com/Resource/Download/4b53c002-d00a-4237-af74-3846b0f05d27?size=1,globenewswire.com,English,United States
13,https://www.kxly.com/i/3-stocks-to-buy-and-hold-for-the-next-10-years-2/,,3 Stocks to Buy and Hold for the Next 10 Years,20210410T141500Z,https://wpcdn.us-east-1.vip.tn-cloud.net/www.kxly.com/content/uploads/2021/04/x/h/d37a1936859a00a5cb0016a245d967acf5b6cc26.jpg,kxly.com,English,United States
14,https://www.fool.com/investing/2021/04/21/american-water-works-earnings-what-to-watch-on-may/?source=iedfolrf0000001,https://www.fool.com/amp/investing/2021/04/21/american-water-works-earnings-what-to-watch-on-may/,American Water Works Earnings : What to Watch on May 3,20210421T130000Z,https://g.foolcdn.com/editorial/images/622116/awk-stock-awk-earnings-q1-american-water-earnings-stock-best-water-stocks-water-utility-stocks-best-dividend-stocks-to-buy-invest-in-2021.jpg,fool.com,English,United States
15,https://www.msn.com/en-us/news/us/fact-check-does-the-chicago-area-have-a-quarter-of-the-nations-lead-pipes/ar-BB1fOTSK,,Fact - check : Does the Chicago area have a quarter of the nation lead pipes ? ,20210419T173000Z,,msn.com,English,United States
17,https://chicago.suntimes.com/2021/4/18/22388446/fact-check-durbin-lead-pipe-politifact-infrastructure-biden-american-jobs-plan-relief,https://chicago.suntimes.com/platform/amp/2021/4/18/22388446/fact-check-durbin-lead-pipe-politifact-infrastructure-biden-american-jobs-plan-relief,Fact - check : Durbin claim about Chicago area lead pipes not a pipedream,20210418T173000Z,https://cdn.vox-cdn.com/thumbor/zj9bcpLkR6PrIORj8jAOiwwt38I=/0x0:6000x3141/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/22450033/1232272575.jpg,chicago.suntimes.com,English,United States
18,https://apnews.com/press-release/business-wire/science-technology-lifestyle-connecticut-environment-fc81a623fc4f4c57807f1b825aef9acb,,GZA Acquires Leading Water - Quality Solutions Provider Ecosystem Consulting Service ( ECS ) ,20210412T110000Z,https://apnews.com/images/PaidContent3.png,apnews.com,English,United States
19,https://www.msn.com/en-us/money/markets/american-water-awk-to-invest-19m-in-water-system-in-missouri/ar-BB1fjRR6,,American Water ( AWK ) to Invest $1 . 9M in Water System in Missouri,20210405T131500Z,,msn.com,English,United States
20,https://www.pressreleasepoint.com/awwas-new-affordability-document-aims-better-address-affordability-safe-drinking-water-act,,AWWAs new affordability document aims to better address affordability in Safe Drinking Water Act Rulemakings,20210414T221500Z,,pressreleasepoint.com,English,United States
21,https://www.bostonglobe.com/2021/03/26/nation/white-house-faces-new-pleas-avert-tidal-wave-water-shut-offs-state-bans-continue-lapse/,https://www.bostonglobe.com/2021/03/26/nation/white-house-faces-new-pleas-avert-tidal-wave-water-shut-offs-state-bans-continue-lapse/?outputType=amp,White House faces new pleas to avert  tidal wave  of water shut - offs as state bans continue to lapse,20210326T201500Z,,bostonglobe.com,English,United States
22,https://news.yahoo.com/swk-stock-buy-sell-192049161.html,https://news.yahoo.com/amphtml/swk-stock-buy-sell-192049161.html,Is SWK Stock A Buy or Sell ? ,20210329T200000Z,https://s.yimg.com/uu/api/res/1.2/RPhU7xXZpkWoqVt8wQjpsg--~B/aD02MDA7dz00Nzc7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/ec94fd78815c9cfed8e5561bf0632446,news.yahoo.com,English,United States
