,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://www.benzinga.com/analyst-ratings/price-target/21/05/21260152/why-applied-materials-is-trading-higher-today,https://amp.benzinga.com/amp/content/21260152,"Applied Materials , Inc . ( NASDAQ : AMAT ) - Why Applied Materials Is Trading Higher Today",20210524T190000Z,,benzinga.com,English,United States
1,https://www.benzinga.com/analyst-ratings/analyst-color/21/05/21236927/why-applied-materials-analysts-are-largely-bullish-after-q2-earnings,https://amp.benzinga.com/amp/content/21236927,"Applied Materials , Inc . ( NASDAQ : AMAT ) - Why Applied Materials Analysts Are Largely Bullish After Q2 Earnings",20210521T200000Z,,benzinga.com,English,United States
2,https://www.fool.com/investing/2021/05/11/this-tech-stock-is-on-its-way-to-double-in-2021/?source=iedfolrf0000001,https://www.fool.com/amp/investing/2021/05/11/this-tech-stock-is-on-its-way-to-double-in-2021/,This Tech Stock Is On Its Way to Double in 2021,20210511T180000Z,https://g.foolcdn.com/editorial/images/626183/hand-drawing-chart-stock-return.jpg,fool.com,English,United States
3,https://www.marketwatch.com/story/applied-materials-easily-tops-earnings-expectations-as-chip-shortage-boosts-equipment-business-11621541459,https://www.marketwatch.com/amp/story/applied-materials-easily-tops-earnings-expectations-as-chip-shortage-boosts-equipment-business-11621541459,Applied Materials easily tops earnings expectations as chip shortage boosts equipment business,20210520T203000Z,https://images.mktw.net/im-341641/social,marketwatch.com,English,United States
4,https://www.msn.com/en-us/money/other/applied-materials-gives-strong-forecast-on-machinery-demand/ar-AAKcZRl,,Applied Materials Gives Strong Forecast on Machinery Demand,20210520T230000Z,,msn.com,English,United States
5,https://www.thestreet.com/jim-cramer/morning-bell-with-jim-cramer-applied-materials-nvidia-wall-street-accountability,https://www.thestreet.com/.amp/jim-cramer/morning-bell-with-jim-cramer-applied-materials-nvidia-wall-street-accountability,"Morning Bell With Jim Cramer : Trading Applied Materials , Nvidia",20210524T134500Z,,thestreet.com,English,United States
6,https://www.investors.com/research/ibd-stock-of-the-day/amat-stock-applied-materials-surges-after-fiscal-q2-report/,,AMAT Stock : Applied Materials Surges After Fiscal Q2 Report | Investor Business Daily,20210524T214500Z,https://www.investors.com/wp-content/uploads/2021/05/sotd-for-05-24-2021-desktop-1.png,investors.com,English,United States
7,https://www.investors.com/news/technology/amat-stock-news-applied-materials-stomps-q2-estimates/,,AMAT Stock News : Applied Materials Stomps Second - Quarter Estimates,20210520T220000Z,https://www.investors.com/wp-content/uploads/2018/02/stock-Applied-Materials-06-company.jpg,investors.com,English,United States
8,https://www.investors.com/news/technology/top-rated-stocks-near-buy-point-with-earnings-due-applied-materials/,,Applied Materials Nears Buy Point With Earnings Due,20210510T233000Z,https://www.investors.com/wp-content/uploads/2017/09/stock-applied-materials-01-company.jpg,investors.com,English,United States
9,https://www.forbes.com/sites/greatspeculations/2021/05/03/demand-revival-could-drive-applied-materials-stock-to-fresh-highs/,https://www.forbes.com/sites/greatspeculations/2021/05/03/demand-revival-could-drive-applied-materials-stock-to-fresh-highs/amp/,Demand Revival Could Drive Applied Materials Stock To Fresh Highs,20210503T133000Z,https://thumbor.forbes.com/thumbor/fit-in/1200x0/filters%3Aformat%28jpg%29/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F608fc0cac03810ea00840878%2F0x0.jpg,forbes.com,English,United States
10,https://www.fool.com/investing/2021/05/25/3-reasons-applied-materials-is-more-than-just-a-ch/,https://www.fool.com/amp/investing/2021/05/25/3-reasons-applied-materials-is-more-than-just-a-ch/,3 Reasons Applied Materials Is More Than Just a Chip Shortage Stock,20210525T130000Z,,fool.com,English,United States
11,https://www.fool.com/investing/2021/05/25/3-reasons-applied-materials-is-more-than-just-a-ch/?source=iedfolrf0000001,https://www.fool.com/amp/investing/2021/05/25/3-reasons-applied-materials-is-more-than-just-a-ch/,3 Reasons Applied Materials Is More Than Just a Chip Shortage Stock,20210525T160000Z,,fool.com,English,United States
12,https://www.msn.com/en-us/money/news/applied-materials-gives-bullish-forecast-for-q3-after-reporting-earnings-beat-with-chip-shortage-in-focus/ar-AAKe9xw,,"Applied Materials Gives Bullish Forecast For Q3 After Reporting Earnings Beat , With Chip Shortage In Focus",20210521T084500Z,,msn.com,English,United States
