,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://www.insidermonkey.com/blog/5-best-agriculture-stocks-to-invest-in-960734/,,5 Best Agriculture Stocks to Invest In,20210714T191500Z,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2019/11/22010156/Vegetable-Farming.jpg,insidermonkey.com,English,United States
1,https://wislawjournal.com/2021/06/30/right-of-first-refusal-appraised-value/,,Right of First Refusal – Appraised Value,20210630T130000Z,https://wislawjournal.com/files/2020/01/WLJ-DEFAULT-FACEBOOK.jpg,wislawjournal.com,English,United States
2,https://www.openpr.com/news/2313564/global-baby-pram-market-recent-development-growth,https://www.openpr.com/amp/2313564/global-baby-pram-market-recent-development-growth,"Global Baby Pram Market Recent Development , Growth",20210625T031500Z,https://cdn.openpr.com/U/6/U625677409_g.jpg,openpr.com,English,United States
3,https://www.openpr.com/news/2326146/food-grade-malic-acid-market-overview-competitive,,"Food Grade Malic Acid Market : Overview , Competitive",20210712T093000Z,https://cdn.openpr.com/U/7/U712532491_g.jpg,openpr.com,English,United States
5,https://www.openpr.com/news/2335737/us-ethanol-market-top-key-players-calgren-renewable-fuels-llc,https://www.openpr.com/amp/2335737/us-ethanol-market-top-key-players-calgren-renewable-fuels-llc,"US ethanol Market Top Key Players - Calgren Renewable Fuels LLC , ",20210723T103000Z,https://cdn.openpr.com/U/7/U723428048_g.jpg,openpr.com,English,United States
6,https://www.openpr.com/news/2316232/cosmetic-preservatives-market-competitive-environment,https://www.openpr.com/amp/2316232/cosmetic-preservatives-market-competitive-environment,Cosmetic Preservatives Market Competitive Environment,20210629T084500Z,https://cdn.openpr.com/U/6/U629982938_g.jpg,openpr.com,English,United States
7,https://www.openpr.com/news/2324189/research-paper-on-chatbot-to-witness-robust-expansion,,Research Paper on Chatbot to Witness Robust Expansion,20210708T114500Z,,openpr.com,English,United States
8,https://www.prnewswire.com:443/news-releases/aquatic-feed-ingredients-and-products-market-records-a-cagr-of-over-4-71-through-2021-2025technavio-301328710.html,,Aquatic Feed Ingredients and Products Market Records a CAGR of over 4 . 71 % through 2021 - 2025,20210712T221500Z,,prnewswire.com,English,United States
9,https://www.prnewswire.com/news-releases/aquatic-feed-ingredients-and-products-market-records-a-cagr-of-over-4-71-through-2021-2025technavio-301328710.html,,Aquatic Feed Ingredients and Products Market Records a CAGR of over 4 . 71 % through 2021 - 2025,20210712T231500Z,,prnewswire.com,English,United States
10,https://kfgo.com/2021/06/29/archer-daniels-midland-sold-facility-worth-millions-for-250000-to-perdue-weeks-after-agriculture-nod-report/,,"Archer - Daniels - Midland sold facility worth millions for $250 , 000 to Perdue weeks after agriculture nod - report",20210629T170000Z,https://storage.googleapis.com/media.mwcradio.com/mimesis/2021-06/29/2021-06-29T151405Z_3_LYNXNPEH5S0Z9_RTROPTP_3_USA-ELECTION-GEORGIA.JPG,kfgo.com,English,United States
11,https://wtvbam.com/2021/06/29/archer-daniels-midland-sold-facility-worth-millions-for-250000-to-perdue-weeks-after-agriculture-nod-report/,,"Archer - Daniels - Midland sold facility worth millions for $250 , 000 to Perdue weeks after agriculture nod - report",20210629T171500Z,https://storage.googleapis.com/media.mwcradio.com/mimesis/2021-06/29/2021-06-29T151405Z_3_LYNXNPEH5S0Z9_RTROPTP_3_USA-ELECTION-GEORGIA.JPG,wtvbam.com,English,United States
12,https://whbl.com/2021/06/29/archer-daniels-midland-sold-facility-worth-millions-for-250000-to-perdue-weeks-after-agriculture-nod-report/,,"Archer - Daniels - Midland sold facility worth millions for $250 , 000 to Perdue weeks after agriculture nod - report",20210629T180000Z,https://storage.googleapis.com/media.mwcradio.com/mimesis/2021-06/29/2021-06-29T151405Z_3_LYNXNPEH5S0Z9_RTROPTP_3_USA-ELECTION-GEORGIA.JPG,whbl.com,English,United States
13,https://wtaq.com/2021/06/29/archer-daniels-midland-sold-facility-worth-millions-for-250000-to-perdue-weeks-after-agriculture-nod-report/,,"Archer - Daniels - Midland sold facility worth millions for $250 , 000 to Perdue weeks after agriculture nod - report",20210629T194500Z,https://storage.googleapis.com/media.mwcradio.com/mimesis/2021-06/29/2021-06-29T151405Z_3_LYNXNPEH5S0Z9_RTROPTP_3_USA-ELECTION-GEORGIA.JPG,wtaq.com,English,United States
14,https://whtc.com/2021/06/29/archer-daniels-midland-sold-facility-worth-millions-for-250000-to-perdue-weeks-after-agriculture-nod-report/,,"Archer - Daniels - Midland sold facility worth millions for $250 , 000 to Perdue weeks after agriculture nod - report",20210629T174500Z,https://storage.googleapis.com/media.mwcradio.com/mimesis/2021-06/29/2021-06-29T151405Z_3_LYNXNPEH5S0Z9_RTROPTP_3_USA-ELECTION-GEORGIA.JPG,whtc.com,English,United States
15,https://wabx.net/2021/06/29/archer-daniels-midland-sold-facility-worth-millions-for-250000-to-perdue-weeks-after-agriculture-nod-report/,,"Archer - Daniels - Midland sold facility worth millions for $250 , 000 to Perdue weeks after agriculture nod - report",20210629T193000Z,https://storage.googleapis.com/media.mwcradio.com/mimesis/2021-06/29/2021-06-29T151405Z_3_LYNXNPEH5S0Z9_RTROPTP_3_USA-ELECTION-GEORGIA.JPG,wabx.net,English,United States
16,https://wiky.com/2021/06/29/archer-daniels-midland-sold-facility-worth-millions-for-250000-to-perdue-weeks-after-agriculture-nod-report/,,"Archer - Daniels - Midland sold facility worth millions for $250 , 000 to Perdue weeks after agriculture nod - report",20210629T190000Z,https://storage.googleapis.com/media.mwcradio.com/mimesis/2021-06/29/2021-06-29T151405Z_3_LYNXNPEH5S0Z9_RTROPTP_3_USA-ELECTION-GEORGIA.JPG,wiky.com,English,United States
17,https://wibqam.com/2021/06/29/archer-daniels-midland-sold-facility-worth-millions-for-250000-to-perdue-weeks-after-agriculture-nod-report/,,"Archer - Daniels - Midland sold facility worth millions for $250 , 000 to Perdue weeks after agriculture nod - report",20210629T183000Z,https://storage.googleapis.com/media.mwcradio.com/mimesis/2021-06/29/2021-06-29T151405Z_3_LYNXNPEH5S0Z9_RTROPTP_3_USA-ELECTION-GEORGIA.JPG,wibqam.com,English,United States
18,https://hot96.com/2021/06/29/archer-daniels-midland-sold-facility-worth-millions-for-250000-to-perdue-weeks-after-agriculture-nod-report/,,"Archer - Daniels - Midland sold facility worth millions for $250 , 000 to Perdue weeks after agriculture nod - report",20210629T164500Z,https://storage.googleapis.com/media.mwcradio.com/mimesis/2021-06/29/2021-06-29T151405Z_3_LYNXNPEH5S0Z9_RTROPTP_3_USA-ELECTION-GEORGIA.JPG,hot96.com,English,United States
19,https://wkzo.com/2021/06/29/archer-daniels-midland-sold-facility-worth-millions-for-250000-to-perdue-weeks-after-agriculture-nod-report/,,"Archer - Daniels - Midland sold facility worth millions for $250 , 000 to Perdue weeks after agriculture nod - report",20210629T164500Z,https://storage.googleapis.com/media.mwcradio.com/mimesis/2021-06/29/2021-06-29T151405Z_3_LYNXNPEH5S0Z9_RTROPTP_3_USA-ELECTION-GEORGIA.JPG,wkzo.com,English,United States
20,https://herald-review.com/business/agriculture/report-adm-sold-plant-to-sonny-perdue-weeks-after-being-named-trump-ag-secretary/article_7bad74d6-8f13-59be-9bc4-3cf3864bb45c.html,https://herald-review.com/business/agriculture/report-adm-sold-plant-to-sonny-perdue-weeks-after-being-named-trump-ag-secretary/article_7bad74d6-8f13-59be-9bc4-3cf3864bb45c.amp.html,Report : ADM sold plant to Sonny Perdue weeks after being named Trump ag secretary,20210629T181500Z,https://bloximages.chicago2.vip.townnews.com/herald-review.com/content/tncms/assets/v3/editorial/7/ba/7bad74d6-8f13-59be-9bc4-3cf3864bb45c/60db5ba6202cb.preview.jpg?crop=1735%2C976%2C0%2C109,herald-review.com,English,United States
21,https://www.prnewswire.com:443/news-releases/business-opportunities-with-feed-yeast-market-in-consumer-staples-industry-301319748.html,,Business opportunities with Feed Yeast Market in Consumer Staples Industry,20210625T033000Z,,prnewswire.com,English,United States
22,https://www.prnewswire.com/news-releases/business-opportunities-with-feed-yeast-market-in-consumer-staples-industry-301319748.html,,Business opportunities with Feed Yeast Market in Consumer Staples Industry,20210625T033000Z,,prnewswire.com,English,United States
23,https://www.nbcconnecticut.com/news/business/money-report/these-stocks-should-benefit-from-rising-inflation-etf-manager-says/2537038/,https://www.nbcconnecticut.com/news/business/money-report/these-stocks-should-benefit-from-rising-inflation-etf-manager-says/2537038/?amp,"These Stocks Should Benefit From Rising Inflation , ETF Manager Says",20210724T173000Z,https://media.nbcconnecticut.com/2021/07/102393268-450379659.jpg?quality=85&strip=all,nbcconnecticut.com,English,United States
26,https://www.nbcnewyork.com/news/business/money-report/these-stocks-should-benefit-from-rising-inflation-etf-manager-says/3172578/,https://www.nbcnewyork.com/news/business/money-report/these-stocks-should-benefit-from-rising-inflation-etf-manager-says/3172578/?amp,"These Stocks Should Benefit From Rising Inflation , ETF Manager Says",20210724T201500Z,https://media.nbcnewyork.com/2021/07/102393268-450379659.jpg?quality=85&strip=all,nbcnewyork.com,English,United States
27,https://www.nbcdfw.com/news/business/money-report/these-stocks-should-benefit-from-rising-inflation-etf-manager-says/2691297/,https://www.nbcdfw.com/news/business/money-report/these-stocks-should-benefit-from-rising-inflation-etf-manager-says/2691297/?amp,"These Stocks Should Benefit From Rising Inflation , ETF Manager Says",20210724T181500Z,https://media.nbcdfw.com/2021/07/102393268-450379659.jpg?quality=85&strip=all,nbcdfw.com,English,United States
28,https://www.prnewswire.com:443/news-releases/-4-2-billion-growth-in-corn-flour-market-2021-2025--growth-in-packaged-foods--meats-industry-to-drive-growth---technavio-301341084.html,,$ 4 . 2 Billion Growth in Corn Flour Market 2021 - 2025 | Growth in Packaged Foods & Meats Industry to Drive Growth,20210726T154500Z,,prnewswire.com,English,United States
29,https://www.prnewswire.com/news-releases/-4-2-billion-growth-in-corn-flour-market-2021-2025--growth-in-packaged-foods--meats-industry-to-drive-growth---technavio-301341084.html,,$ 4 . 2 Billion Growth in Corn Flour Market 2021 - 2025 | Growth in Packaged Foods & Meats Industry to Drive Growth,20210726T171500Z,,prnewswire.com,English,United States
