,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://www.jsonline.com/story/money/2021/07/26/a-o-smith-acquires-pennsylvania-water-treatment-company/8077691002/,,A . O . Smith acquires Pennsylvania water treatment company,20210726T161500Z,https://www.gannett-cdn.com/-mm-/4b298cbd6b1ed644ffa16578abe68336904c064d/c=0-27-731-440/local/-/media/2017/07/26/WIGroup/Milwaukee/636366796056854025-AO-Smith.JPG?auto=webp&format=pjpg,jsonline.com,English,United States
1,https://apnews.com/press-release/pr-newswire/business-ad1e2360dbf4f9a68805fe0111b08170,,A . O . Smith Acquires Water Treatment Solutions Provider Master Water Conditioning Corporation,20210723T183000Z,https://apnews.com/images/PaidContent3.png,apnews.com,English,United States
2,https://www.prnewswire.com/news-releases/a-o-smith-to-hold-second-quarter-conference-call-on-july-29-2021-301324451.html,,"A . O . Smith to Hold Second Quarter Conference Call on July 29 , 2021",20210701T153000Z,,prnewswire.com,English,United States
3,https://www.prnewswire.com:443/news-releases/a-o-smith-to-hold-second-quarter-conference-call-on-july-29-2021-301324451.html,,"A . O . Smith to Hold Second Quarter Conference Call on July 29 , 2021",20210701T153000Z,,prnewswire.com,English,United States
4,https://www.prnewswire.com/news-releases/a-o-smith-acquires-water-treatment-solutions-provider-master-water-conditioning-corporation-301340387.html,,A . O . Smith Acquires Water Treatment Solutions Provider Master Water Conditioning Corporation,20210723T184500Z,,prnewswire.com,English,United States
5,https://www.prnewswire.com:443/news-releases/a-o-smith-acquires-water-treatment-solutions-provider-master-water-conditioning-corporation-301340387.html,,A . O . Smith Acquires Water Treatment Solutions Provider Master Water Conditioning Corporation,20210723T183000Z,,prnewswire.com,English,United States
6,https://www.prnewswire.com/news-releases/a-o-smith-declares-quarterly-dividend-301331954.html,,A . O . Smith Declares Quarterly Dividend,20210712T231500Z,,prnewswire.com,English,United States
7,https://www.prnewswire.com:443/news-releases/a-o-smith-declares-quarterly-dividend-301331954.html,,A . O . Smith Declares Quarterly Dividend,20210712T224500Z,,prnewswire.com,English,United States
8,https://www.insidermonkey.com/blog/10-best-dividend-stocks-to-buy-according-to-english-warren-buffett-terry-smith-957673/,,10 Best Dividend Stocks to Buy According to  English Warren Buffett  Terry Smith,20210707T153000Z,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2020/10/22132855/Penny-Stocks.jpg,insidermonkey.com,English,United States
9,https://beaver1003.com/events/monica-at-a-o-smiths-job-fair-in-ashland-city/,,Monica at A . O Smith Job Fair in Ashland City ! ,20210707T180000Z,https://wvvr-fm.sagacom.com/files/2021/03/Beaver-Live-Remote-Graphic-620x400.jpg,beaver1003.com,English,United States
