,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
2,https://www.prnewswire.com/news-releases/livly-and-allegion-collaborate-to-launch-livly-key-solution-for-multifamily-apartments-in-the-us-301366547.html,,Livly and Allegion Collaborate to Launch Livly Key Solution for Multifamily Apartments in the U . S . ,20210831T200000Z,,prnewswire.com,English,United States
3,https://www.prnewswire.com:443/news-releases/livly-and-allegion-collaborate-to-launch-livly-key-solution-for-multifamily-apartments-in-the-us-301366547.html,,Livly and Allegion Collaborate to Launch Livly Key Solution for Multifamily Apartments in the U . S . ,20210831T193000Z,,prnewswire.com,English,United States
4,https://www.tmcnet.com/usubmit/2021/09/07/9444199.htm,,Allegion to Attend 2021 Morgan Stanley Virtual Laguna Conference,20210907T213000Z,https://images.tmcnet.com/tmc/world.jpg,tmcnet.com,English,United States
5,https://www.tmcnet.com/usubmit/2021/09/23/9455837.htm,,"Allegion Schedules Conference Call , Webcast to Announce 2021 Third - Quarter Results",20210923T213000Z,https://images.tmcnet.com/tmc/world.jpg,tmcnet.com,English,United States
6,https://www.tmcnet.com/usubmit/2021/09/01/9441664.htm,,Allegion Declares Quarterly Dividend,20210901T214500Z,https://images.tmcnet.com/tmc/world.jpg,tmcnet.com,English,United States
7,https://www.marketwatch.com/articles/ge-industrial-stocks-to-buy-51630088414,,GE and Four More Industrial Stocks Due For a Bounce – For Good Reason . ,20210827T184500Z,https://images.barrons.com/im-225612/social,marketwatch.com,English,United States
8,https://www.tmcnet.com/usubmit/2021/08/31/9440549.htm,,Livly and Allegion Collaborate to Launch Livly Key Solution for Multifamily Apartments in the U . S . ,20210831T193000Z,https://mma.prnewswire.com/media/1605889/Allegion_ENGAGE.jpg,tmcnet.com,English,United States
10,https://www.sourcesecurity.com/news/allegion-schlage-rc-reader-controller-integrates-co-9903-ga-co-11504-ga.1631778265.html,https://www.sourcesecurity.com/amp/news/allegion-schlage-rc-reader-controller-integrates-co-9903-ga-co-11504-ga.1631778265.html,Allegion and BadgePass integrate Schlage RC reader into TotalCard,20210916T150000Z,https://www.sourcesecurity.com/img/news/920/allegion-schlage-rc-reader-controller-integrates-into-badgepass-totalcard-software-platform-920x533.jpg,sourcesecurity.com,English,United States
12,https://www.investors.com/news/smith-wesson-brands-stock-scores-relative-strength-upgrade/,,Smith & Wesson Brands Stock Scores Relative Strength Rating Upgrade,20210917T200000Z,https://www.investors.com/wp-content/uploads/2017/05/IRU33.jpg,investors.com,English,United States
13,https://www.sourcesecurity.com/news/allegion-launches-briton-customer-centric-website-co-1514352833-ga-npr.1631001330.html,https://www.sourcesecurity.com/amp/news/allegion-launches-briton-customer-centric-website-co-1514352833-ga-npr.1631001330.html,Allegion introduces Briton customer - centric website,20210907T161500Z,https://www.sourcesecurity.com/img/news/920/allegion-launches-new-briton-customer-centric-website-920x533.jpg,sourcesecurity.com,English,United States
14,https://www.marketwatch.com/articles/verizon-brady-dividend-stocks-51630700797,,3 Companies That Raised Their Dividends This Week,20210904T123000Z,https://images.barrons.com/im-395801/social,marketwatch.com,English,United States
15,https://www.ycombinator.com/companies/vergesense/jobs/0moZx0r-machine-learning-engineer,,Machine Learning Engineer at VergeSense,20210922T194500Z,,ycombinator.com,English,United States
16,https://www.zerohedge.com/markets/not-transitory-us-ceos-warn-inflation-unprecedented-and-becoming-structural,,  Not Transitory  - US CEOs Warn Inflation Is  Unprecedented  And Becoming  Structural  ,20210921T024500Z,https://assets.zerohedge.com/s3fs-public/styles/16_9_max_700/public/2021-09/inflate%20away.jpg?itok=SCV-FbHU,zerohedge.com,English,United States
17,https://www.cepro.com/control/lighting/leviton-schlage-integrate-smart-lighting-and-smart-deadbolts/,,"Leviton , Schlage Integrate Smart Lighting and Smart Deadbolts",20210826T210000Z,https://www.cepro.com/wp-content/uploads/2021/08/Leviton-Wi-Fi-Lighting-edit.jpg,cepro.com,English,United States
19,https://finance.yahoo.com/news/analysis-global-industry-analysts-reveals-150500919.html,https://finance.yahoo.com/amphtml/news/analysis-global-industry-analysts-reveals-150500919.html,"New Analysis from Global Industry Analysts Reveals Steady Growth for Builder and Cabinet Hardware , with the Market to Reach $20 . 5 Billion Worldwide by 2026",20210909T153000Z,https://s.yimg.com/uu/api/res/1.2/6KXRp4esP6JgoqMSXmMqjw--~B/aD0zMzE7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/9547b4ccc69a576b377391cdebb652c6,finance.yahoo.com,English,United States
20,https://finance.yahoo.com/news/global-doors-market-reach-113-150100557.html,https://finance.yahoo.com/amphtml/news/global-doors-market-reach-113-150100557.html,Global Doors Market to Reach $113 . 8 Billion by 2026,20210923T154500Z,https://s.yimg.com/uu/api/res/1.2/KcIzZu20vIvuH56nGsi4EQ--~B/aD0yNjA7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/bf159e837a48ce84debad384b8331703,finance.yahoo.com,English,United States
21,https://www.sandiegosun.com/news/271234785/commercial-access-control-systems-market-is-thriving-worldwide-with-johnson-controls-assa-abloy-dormakaba,,"Commercial Access Control Systems Market is Thriving Worldwide with Johnson Controls , ASSA ABLOY , dormakaba",20210920T234500Z,,sandiegosun.com,English,United States
22,https://www.texasguardian.com/news/271234785/commercial-access-control-systems-market-is-thriving-worldwide-with-johnson-controls-assa-abloy-dormakaba,,"Commercial Access Control Systems Market is Thriving Worldwide with Johnson Controls , ASSA ABLOY , dormakaba",20210921T004500Z,,texasguardian.com,English,United States
23,https://www.newyorktelegraph.com/news/271234785/commercial-access-control-systems-market-is-thriving-worldwide-with-johnson-controls-assa-abloy-dormakaba,,"Commercial Access Control Systems Market is Thriving Worldwide with Johnson Controls , ASSA ABLOY , dormakaba",20210921T003000Z,,newyorktelegraph.com,English,United States
24,https://www.prweb.com/releases/security_industry_association_to_present_gabrielle_shea_with_2021_sia_industry_advocate_award/prweb18190508.htm,,Security Industry Association to Present Gabrielle Shea With 2021 SIA Industry Advocate Award,20210913T210000Z,http://ww1.prweb.com/prfiles/2021/09/13/18190508/gI_166724_NewsImage_vcsPRAsset_514444_166724_f0edf2b3-07ed-4e67-9f16-0a2af8063878_0.png,prweb.com,English,United States
