,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://www.etonline.com/porsha-williams-shares-her-fall-fashion-essentials-from-amazon-shop-her-picks-171897,https://www.etonline.com/porsha-williams-shares-her-fall-fashion-essentials-from-amazon-shop-her-picks-171897?amp,Porsha Williams Shares Her Fall Fashion Essentials From Amazon -- Shop Her Picks,20210913T214500Z,https://www.etonline.com/sites/default/files/styles/max_1280x720/public/images/2021-09/Porsha%20Williams%27%20Fall%20Refresh%20Amazon_0.jpg?h=c673cd1c&itok=lcyp28-7,etonline.com,English,United States
5,https://www.etonline.com/new-music-releases-september-17-lil-nas-x-taylor-swift-jonas-brothers-ozuna-and-more-172324,https://www.etonline.com/new-music-releases-september-17-lil-nas-x-taylor-swift-jonas-brothers-ozuna-and-more-172324?amp,"New Music Releases September 17 : Lil Nas X , Taylor Swift , Jonas Brothers , Ozuna and More ! ",20210917T193000Z,https://www.etonline.com/sites/default/files/styles/max_1280x720/public/images/2021-09/E_VPfe1WEAMMG2i.jpeg?a8724b&itok=JmGSTDwP,etonline.com,English,United States
9,https://www.businessinsider.com/amazon-revenue-and-business-divisions-2021-9,https://www.businessinsider.com/amazon-revenue-and-business-divisions-2021-9?amp,Amazon Revenue and Business Divisions,20210914T154500Z,https://i.insider.com/61253578493203001845ad5a?&format=jpeg,businessinsider.com,English,United States
10,https://www.msn.com/en-us/news/technology/an-entertainment-venue-in-denver-will-now-let-concertgoers-enter-by-scanning-their-palm-prints-using-amazon-one/ar-AAOtKnL,,An entertainment venue in Denver will now let concertgoers enter by scanning their palm prints using Amazon One,20210915T181500Z,,msn.com,English,United States
11,https://www.etonline.com/fall-fashion-guide-amazons-best-deals-on-fall-boots-and-shoes-148477,https://www.etonline.com/fall-fashion-guide-amazons-best-deals-on-fall-boots-and-shoes-148477?amp,Fall Fashion Guide : Amazon Best Deals on Fall Boots and Shoes,20210913T091500Z,https://www.etonline.com/sites/default/files/styles/max_1280x720/public/images/2020-06/amazon%20shoes%20summer%20sale.jpg?h=ec130fcc&itok=GGXFceh3,etonline.com,English,United States
13,https://www.etonline.com/amazons-fall-sale-best-deals-on-bras-maidenform-savage-x-fenty-calvin-klein-more-154438,https://www.etonline.com/amazons-fall-sale-best-deals-on-bras-maidenform-savage-x-fenty-calvin-klein-more-154438?amp,"Amazon Fall Sale : Best Deals on Bras -- Maidenform , Savage X Fenty , Calvin Klein & More",20210915T223000Z,https://www.etonline.com/sites/default/files/styles/max_1280x720/public/images/2020-05/gettyimages-1187626305-1_0.jpg?h=c673cd1c&itok=6a1IxOkb,etonline.com,English,United States
14,http://www.msn.com/en-us/lifestyle/shopping/you-don-t-want-to-miss-amazon-s-labor-day-deals-essentials-start-at-just-6/ar-AANZFdh,,You dont want to miss Amazon Labor Day deals essentials start at just $6,20210903T221500Z,,msn.com,English,United States
15,https://www.msn.com/en-us/lifestyle/shopping/you-don-t-want-to-miss-amazon-s-labor-day-deals-essentials-start-at-just-6/ar-AANZFdh,,You dont want to miss Amazon Labor Day deals essentials start at just $6,20210904T193000Z,,msn.com,English,United States
16,https://techcrunch.com/2021/09/14/amazon-partners-with-axs-to-install-amazon-one-palm-readers-at-entertainment-venues/,https://techcrunch.com/2021/09/14/amazon-partners-with-axs-to-install-amazon-one-palm-readers-at-entertainment-venues/amp/,Amazon partners with AXS to install Amazon One palm readers at entertainment venues – TechCrunch,20210914T150000Z,https://techcrunch.com/wp-content/uploads/2021/09/amazon-one.jpeg,techcrunch.com,English,United States
18,https://finance.yahoo.com/news/amazon-partners-axs-install-amazon-142820832.html,https://finance.yahoo.com/amphtml/news/amazon-partners-axs-install-amazon-142820832.html,Amazon partners with AXS to install Amazon One palm readers at entertainment venues,20210914T161500Z,https://s.yimg.com/ny/api/res/1.2/b31NDoaq5lmFQaXT78i45g--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/uu/api/res/1.2/3FZYGJ.aGinUpgGb4KoENw--~B/aD03NDM7dz0xMzIwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/techcrunch_350/5016c680b6c343d5b1b7c1b834634643,finance.yahoo.com,English,United States
19,http://www.msn.com/en-us/lifestyle/shopping/amazon-s-labor-day-deals-are-too-good-to-pass-up-here-are-21-of-the-best-ones/ar-AANZFdh,,Amazon Labor Day deals are too good to pass up here are 21 of the best ones,20210901T224500Z,,msn.com,English,United States
21,https://www.etonline.com/amazons-best-reusable-face-masks-under-5-154774,https://www.etonline.com/amazons-best-reusable-face-masks-under-5-154774?amp,Amazon Best Reusable Face Masks Under $5 | Entertainment Tonight,20210827T011500Z,https://www.etonline.com/sites/default/files/styles/max_1280x720/public/images/2020-10/amazon_prime_day_face_masks.jpg?h=c673cd1c&itok=1EbKRkJy,etonline.com,English,United States
