,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://apnews.com/press-release/pr-newswire/technology-business-software-san-jose-ebe2c4c75c841e74e1a0fbb870fb1991,,Broadcom Inc . to Host Broadcom Software Investor Day,20211004T124500Z,https://apnews.com/images/PaidContent3.png,apnews.com,English,United States
1,https://www.investors.com/news/technology/broadcom-shows-rising-relative-strength-still-shy-of-key-benchmark/,,"Broadcom Stock Rating Up ; 7 Quarters Rising Sales , Profits | Investor Business Daily",20211020T223000Z,https://www.investors.com/wp-content/uploads/2021/09/Stock-Broadcom-AutoChips-company.jpg,investors.com,English,United States
2,https://www.investors.com/news/technology/broadcom-trying-to-close-in-on-key-technical-measure/,,Broadcom Stock Closes In On Key Rating Benchmark | Investor Business Daily,20211007T173000Z,https://www.investors.com/wp-content/uploads/2021/09/Stock-Broadcom-AutoChips-company.jpg,investors.com,English,United States
3,https://www.fool.com/investing/2021/10/01/2-semiconductor-stocks-unstoppable-dividend-growth/,https://www.fool.com/amp/investing/2021/10/01/2-semiconductor-stocks-unstoppable-dividend-growth/,2 Semiconductor Industry Stocks With Unstoppable Dividend Growth,20211001T100000Z,https://g.foolcdn.com/editorial/images/644630/gettyimages-916126376.jpg,fool.com,English,United States
4,https://www.fool.com/investing/2021/09/28/got-1000-5-perfect-stocks-buy-for-fourth-quarter/,https://www.fool.com/amp/investing/2021/09/28/got-1000-5-perfect-stocks-buy-for-fourth-quarter/,"Got $1 , 000 ? 5 Perfect Stocks to Buy for the Fourth Quarter",20210928T120000Z,https://g.foolcdn.com/editorial/images/644376/stock-chart-quote-bear-bull-trading-invest-short-options-getty.jpg,fool.com,English,United States
8,https://www.fool.com/investing/2021/10/06/the-best-dividend-stocks-to-buy-for-fourth-quarter/?source=iedfolrf0000001,https://www.fool.com/amp/investing/2021/10/06/the-best-dividend-stocks-to-buy-for-fourth-quarter/,The Best Dividend Stocks to Buy for the Fourth Quarter ( and Beyond ) ,20211006T103000Z,https://g.foolcdn.com/editorial/images/645255/folded-money-cash-invest-retire-social-security-treasury-getty.jpg,fool.com,English,United States
9,https://www.fool.com/investing/2021/10/06/the-best-dividend-stocks-to-buy-for-fourth-quarter/,https://www.fool.com/amp/investing/2021/10/06/the-best-dividend-stocks-to-buy-for-fourth-quarter/,The Best Dividend Stocks to Buy for the Fourth Quarter ( and Beyond ) ,20211006T114500Z,https://g.foolcdn.com/editorial/images/645255/folded-money-cash-invest-retire-social-security-treasury-getty.jpg,fool.com,English,United States
10,https://www.finsmes.com/2021/10/sigmasense-closes-24m-series-b-funding-round.html,,SigmaSense Closes $24M Series B Funding Round,20211006T190000Z,https://www.finsmes.com/wp-content/uploads/2021/10/sigmasense.jpg,finsmes.com,English,United States
12,https://www.fool.com/investing/2021/10/02/3-dividend-paying-tech-stocks-to-buy-right-now/?source=iedfolrf0000001,https://www.fool.com/amp/investing/2021/10/02/3-dividend-paying-tech-stocks-to-buy-right-now/,3 Dividend - Paying Tech Stocks to Buy Right Now,20211002T153000Z,https://g.foolcdn.com/editorial/images/644776/stock-market-wall-street-getty.jpeg,fool.com,English,United States
14,https://www.fool.com/investing/2021/10/19/3-dividend-growth-stocks-yielding-more-than-tbonds/?source=iedfolrf0000001,https://www.fool.com/amp/investing/2021/10/19/3-dividend-growth-stocks-yielding-more-than-tbonds/,3 Dividend Growth Stocks Yielding More Than 10 - Year Treasuries,20211019T140000Z,https://g.foolcdn.com/editorial/images/647041/gettyimages-519517489.jpg,fool.com,English,United States
