,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://www.insidermonkey.com/blog/why-these-5-stocks-are-trending-on-wednesday-4-999760/,,Why These 5 Stocks Are Trending on Wednesday,20211104T031500Z,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2021/05/21044755/austin-distel-EMPZ7yRZoGw-unsplash-1.jpg,insidermonkey.com,English,United States
1,https://apnews.com/press-release/GlobeNewswire/business-a20c093cee5c76476561b1581cca2ab9,,APA Corporation Announces Third - Quarter 2021 Financial and Operational Results,20211104T134500Z,https://apnews.com/images/PaidContent3.png,apnews.com,English,United States
3,https://www.globenewswire.com/news-release/2021/11/03/2326942/0/en/APA-Corporation-Announces-Third-Quarter-2021-Financial-and-Operational-Results.html,,APA Corporation Announces Third - Quarter 2021 Financial and,20211103T210000Z,https://ml.globenewswire.com/Resource/Download/4e364642-c43c-412d-9bd6-c0816f5caea5?size=1,globenewswire.com,English,United States
9,https://apnews.com/press-release/GlobeNewswire/business-dividends-d0b914cb4012654cf26f895090a2a46a,,APA Corporation Increases Cash Dividend on Common Shares,20211104T134500Z,https://apnews.com/images/PaidContent3.png,apnews.com,English,United States
10,https://www.globenewswire.com/news-release/2021/11/03/2326840/0/en/APA-Corporation-Increases-Cash-Dividend-on-Common-Shares.html,,APA Corporation Increases Cash Dividend on Common Shares,20211104T024500Z,https://ml.globenewswire.com/Resource/Download/4e364642-c43c-412d-9bd6-c0816f5caea5?size=1,globenewswire.com,English,United States
11,https://www.insidermonkey.com/blog/why-these-10-stocks-are-trending-on-wednesday-4-999759/,,Why These 10 Stocks Are Trending on Wednesday,20211104T031500Z,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2021/08/03093041/stocks-6377806_1280.jpg,insidermonkey.com,English,United States
12,https://www.insidermonkey.com/blog/10-best-crude-oil-stocks-to-buy-today-1000554/,,10 Best Crude Oil Stocks to Buy Today - Insider Monkey,20211115T193000Z,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2021/11/15052456/zbynek-burival-GrmwVnVSSdU-unsplash.jpg,insidermonkey.com,English,United States
13,https://apnews.com/press-release/globe-newswire/business-9c75698dcd356b4ae4681774919386a2,,APA Corporation Announces Successful Flow Test at Sapakara South and Sub - Commercial Black Oil Discovery at Bonboni Offshore Suriname on Block 58,20211116T230000Z,https://apnews.com/images/PaidContent3.png,apnews.com,English,United States
14,https://apnews.com/press-release/GlobeNewswire/business-9c75698dcd356b4ae4681774919386a2,,APA Corporation Announces Successful Flow Test at Sapakara South and Sub - Commercial Black Oil Discovery at Bonboni Offshore Suriname on Block 58,20211117T091500Z,https://apnews.com/images/PaidContent3.png,apnews.com,English,United States
15,https://www.investing.com/news/stock-market-news/wall-street-closes-at-record-highs-as-energy-consumer-shine-2663122,https://m.investing.com/news/stock-market-news/wall-street-closes-at-record-highs-as-energy-consumer-shine-2663122?ampMode=1,"Wall Street Closes at Record Highs as Energy , Consumer Shine By Investing . com",20211101T204500Z,https://i-invdn-com.investing.com/news/LYNXMPEE0G158_L.jpg,investing.com,English,United States
16,https://www.rigzone.com/news/totalenergies_flow_test_increases_chances_for_oil_hub_off_suriname-18-nov-2021-167056-article/,https://www.rigzone.com/news/totalenergies_flow_test_increases_chances_for_oil_hub_off_suriname-18-nov-2021-167056-article/?amp,TotalEnergies Flow Test Increases Chances For Oil Hub Off Suriname,20211118T140000Z,https://images.rigzone.com/images/news/articles/167056_582x327.png,rigzone.com,English,United States
18,https://www.msn.com/en-us/money/topstocks/4-high-earnings-yield-picks-to-lift-your-portfolio-performance/ar-AAQmofI,,4 High Earnings Yield Picks to Lift Your Portfolio Performance,20211105T154500Z,,msn.com,English,United States
19,https://www.fool.com/earnings/call-transcripts/2021/11/05/apache-apa-q3-2021-earnings-call-transcript/?source=iedfolrf0000001,https://www.fool.com/amp/earnings/call-transcripts/2021/11/05/apache-apa-q3-2021-earnings-call-transcript/,Apache ( APA ) Q3 2021 Earnings Call Transcript,20211105T173000Z,,fool.com,English,United States
20,https://www.insidermonkey.com/blog/was-the-smart-money-right-about-mirati-therapeutics-inc-mrtx-998455/,,"Was The Smart Money Right About Mirati Therapeutics , Inc . ( MRTX )? ",20211101T211500Z,https://www.insidermonkey.com/blog/wp-content/uploads/2015/01/Felix-Baker-Baker-Brothers.jpg,insidermonkey.com,English,United States
24,https://www.fool.com/earnings/call-transcripts/2021/11/05/apache-apa-q3-2021-earnings-call-transcript/,https://www.fool.com/amp/earnings/call-transcripts/2021/11/05/apache-apa-q3-2021-earnings-call-transcript/,Apache ( APA ) Q3 2021 Earnings Call Transcript,20211106T021500Z,,fool.com,English,United States
25,https://www.prnewswire.com:443/news-releases/noble-corporation-reports-third-quarter-2021-results-301417282.html,,Noble Corporation Reports Third Quarter 2021 Results,20211104T234500Z,,prnewswire.com,English,United States
26,https://www.prnewswire.com/news-releases/noble-corporation-reports-third-quarter-2021-results-301417282.html,,Noble Corporation Reports Third Quarter 2021 Results,20211104T234500Z,,prnewswire.com,English,United States
