,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://www.prnewswire.com:443/news-releases/ametek-announces-fourth-quarter-2021-earnings-call-and-webcasted-investor-conference-call-information-301460944.html,,AMETEK Announces Fourth Quarter 2021 Earnings Call and Webcasted Investor Conference Call Information,20220114T141500Z,,prnewswire.com,English,United States
1,https://www.prnewswire.com/news-releases/ametek-announces-fourth-quarter-2021-earnings-call-and-webcasted-investor-conference-call-information-301460944.html,,AMETEK Announces Fourth Quarter 2021 Earnings Call and Webcasted Investor Conference Call Information,20220114T144500Z,,prnewswire.com,English,United States
2,https://www.insidermonkey.com/blog/heres-why-clearbridge-investments-sold-its-ametek-ame-shares-1018567/,,Here Why ClearBridge Investments Sold its AMETEK ( AME ) Shares,20220105T171500Z,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2017/04/24073436/shutterstock_429619858.jpg,insidermonkey.com,English,United States
3,https://news.yahoo.com/why-clearbridge-investments-sold-ametek-120259558.html,https://news.yahoo.com/amphtml/why-clearbridge-investments-sold-ametek-120259558.html,Here Why ClearBridge Investments Sold its AMETEK ( AME ) Shares,20220105T124500Z,https://s.yimg.com/uu/api/res/1.2/qHZr0rCxsTjUdKdsGeb9NA--~B/aD01MDA7dz03NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/13b8427e10fa1557d6a328cb1c2da4ad,news.yahoo.com,English,United States
4,https://www.azom.com/news.aspx?newsID=57810,,Change in SPECTRO Management : Michael Privik Succeeds Dr . Christoph Mätzig,20220105T100000Z,https://d12oja0ew7x0i8.cloudfront.net/images/news/ImageForNews_57810_16413710641884459.jpg,azom.com,English,United States
5,https://etfdailynews.com/news/sg-americas-securities-llc-reduces-position-in-ametek-inc-nyseame/,,"SG Americas Securities LLC Reduces Position in AMETEK , Inc . ( NYSE : AME ) ",20220111T093000Z,,etfdailynews.com,English,United States
8,https://aviationweek.com/mro/aircraft-propulsion/ametek-bolsters-a350-services-singapore-facility,,Ametek Bolsters A350 Services At Singapore Facility | Aviation Week Network,20220118T180000Z,https://aviationweek.com/sites/default/files/2022-01/ametek_mro_singapore_invests_in_a350_repair_capability.jpg,aviationweek.com,English,United States
10,https://www.openpr.com/news/2532768/global-corn-oil-market-research-report-with-opportunities,https://www.openpr.com/amp/2532768/global-corn-oil-market-research-report-with-opportunities,Global Corn Oil Market Research Report with Opportunities,20220119T164500Z,https://cdn.openpr.com/V/1/V119188745_g.jpg,openpr.com,English,United States
11,https://www.openpr.com/news/2532836/global-glycerol-carbonate-market-research-report-with,https://www.openpr.com/amp/2532836/global-glycerol-carbonate-market-research-report-with,Global Glycerol Carbonate Market Research Report with,20220119T190000Z,https://cdn.openpr.com/V/1/V119398092_g.jpg,openpr.com,English,United States
13,https://www.openpr.com/news/archive/244075/AMETEK-Crank.html,,AMETEK Crank - press releases - openPR . com,20220125T161500Z,,openpr.com,English,United States
15,https://www.openpr.com/news/2524738/intense-developing-investments-in-infrastructure-and-commerce,https://www.openpr.com/amp/2524738/intense-developing-investments-in-infrastructure-and-commerce,Intense Developing Investments In Infrastructure And Commerce,20220112T111500Z,,openpr.com,English,United States
16,https://www.openpr.com/news/2515190/prima-kapsler-danmark-dansk-pris-anmeldelser-k-be,https://www.openpr.com/amp/2515190/prima-kapsler-danmark-dansk-pris-anmeldelser-k-be,"Prima Kapsler Danmark ( Dansk ): Pris , Anmeldelser , Købe",20220103T074500Z,https://cdn.openpr.com/V/1/V103684512_g.jpg,openpr.com,English,United States
17,https://www.openpr.com/news/2518482/tvidler-sverige-recension-pris-50-rabatt-svenska,https://www.openpr.com/amp/2518482/tvidler-sverige-recension-pris-50-rabatt-svenska,"Tvidler Sverige Recension , Pris , 50 % Rabatt ( Svenska ) ",20220105T223000Z,https://cdn.openpr.com/V/1/V105268721_g.jpg,openpr.com,English,United States
18,https://www.openpr.com/news/2518483/tvidler-norge-norsk-anmeldelser-pris-offisiell-50-rabatt,https://www.openpr.com/amp/2518483/tvidler-norge-norsk-anmeldelser-pris-offisiell-50-rabatt,"Tvidler Norge ( Norsk ) Anmeldelser , Pris Offisiell 50 % Rabatt",20220105T223000Z,https://cdn.openpr.com/V/1/V105255725_g.jpg,openpr.com,English,United States
19,https://www.openpr.com/news/2518484/tvidler-danmark-anmeldelser-dansk-pris-officiel-50-rabat,https://www.openpr.com/amp/2518484/tvidler-danmark-anmeldelser-dansk-pris-officiel-50-rabat,"Tvidler Danmark Anmeldelser ( Dansk ), Pris , Officiel 50 % Rabat",20220105T223000Z,https://cdn.openpr.com/V/1/V105346595_g.jpg,openpr.com,English,United States
20,https://www.insidermonkey.com/blog/is-rbc-bearings-inc-roll-a-smart-long-term-buy-1018571/,,Is RBC Bearings Inc . ( ROLL ) A Smart Long - Term Buy ? ,20220105T171500Z,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2017/04/01054900/shutterstock_284891573.jpg,insidermonkey.com,English,United States
21,https://www.forbes.com/sites/forbesfinancecouncil/2022/01/12/looking-at-the-metrics-that-really-matter-while-avoiding-pride-and-prejudice-in-investing/,https://www.forbes.com/sites/forbesfinancecouncil/2022/01/12/looking-at-the-metrics-that-really-matter-while-avoiding-pride-and-prejudice-in-investing/amp/,Looking At The Metrics That Really Matter While Avoiding Pride And Prejudice In Investing,20220112T140000Z,https://thumbor.forbes.com/thumbor/fit-in/1200x0/filters%3Aformat%28jpg%29/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F61ddbcdf13960e2562a665bc%2F0x0.jpg,forbes.com,English,United States
22,https://www.prnewswire.com:443/news-releases/circulating-water-baths-market-to-grow-at-a-cagr-of-5-from-2020-to-2025-301455382.html,,Circulating Water Baths Market to Grow at a CAGR of 5 % from 2020 to 2025,20220107T120000Z,,prnewswire.com,English,United States
29,https://www.pollutiononline.com/doc/polypropylene-bags-0001,,Polypropylene Bags,20220121T234500Z,http://vertassets.blob.core.windows.net/image/03b29a89/03b29a89-d754-11d4-a76e-00d0b7694f32/bags.jpg,pollutiononline.com,English,United States
30,https://www.azom.com/suppliers.aspx?SupplierID=3845,,"SPECTRO Analytical Instruments GmbH : Quotes , Address , Contact",20220105T100000Z,,azom.com,English,United States
31,https://www.chemeurope.com/en/news/1174201/change-in-spectro-management.html,,Change in SPECTRO Management,20220105T101500Z,https://rs1.chemie.de/images/164425-76.jpg,chemeurope.com,English,United States
32,https://www.chemeurope.com/en/news/topic/spectro-analytical-instruments/,,News on SPECTRO Analytical Instruments,20220105T164500Z,,chemeurope.com,English,United States
33,https://www.chron.com/business/article/Google-Cloud-Strength-to-Aid-Alphabet-s-GOOGL-16813727.php,,Google Cloud Strength to Aid Alphabet ( GOOGL ) Q4 Earnings,20220128T190000Z,https://www.chron.com/img/pages/article/opengraph_default.jpg,chron.com,English,United States
34,https://www.digitaljournal.com/pr/global-aircraft-electrical-system-market-share-estimated-to-be-worth-usd-28-32-billion-by-2028-at-6-5-cagr-polaris-market-research,,"Global Aircraft Electrical System Market Share Estimated to be Worth USD 28 . 32 Billion By 2028 , at 6 . 5 % CAGR : Polaris Market Research",20220126T013000Z,https://www.abnewswire.com/uploads/1643104532.jpeg,digitaljournal.com,English,United States
35,http://www.publicnow.com/view/3C566AA70E76308172E17E9ACA5934E599215D93,,Ametek Inc . ( via Public ) / CAMECA® ANNOUNCES STRATEGIC PARTNERSHIP WITH POLYTECHNIQUE MONTRÉAL,20220112T223000Z,,publicnow.com,English,United States
36,https://www.prnewswire.com/news-releases/global-calibration-services-markets-strategies-and-trends-report-2022-301462743.html,,"Global Calibration Services Markets , Strategies and Trends Report 2022",20220118T193000Z,,prnewswire.com,English,United States
37,https://www.prnewswire.com:443/news-releases/global-calibration-services-markets-strategies-and-trends-report-2022-301462743.html,,"Global Calibration Services Markets , Strategies and Trends Report 2022",20220118T193000Z,,prnewswire.com,English,United States
38,https://www.prnewswire.com/news-releases/the-worldwide-industrial-brakes-industry-is-expected-to-reach-1-8-billion-by-2028--301461196.html,,The Worldwide Industrial Brakes Industry is Expected to Reach $1 . 8 Billion by 2028,20220114T154500Z,,prnewswire.com,English,United States
39,https://www.prnewswire.com:443/news-releases/the-worldwide-industrial-brakes-industry-is-expected-to-reach-1-8-billion-by-2028--301461196.html,,The Worldwide Industrial Brakes Industry is Expected to Reach $1 . 8 Billion by 2028,20220114T154500Z,,prnewswire.com,English,United States
40,https://energy.einnews.com/pr_news/559338610/emission-monitoring-system-market-2021-industry-analysis-size-share-trend-and-growth-opportunities-forecast-to-2028,,"Emission Monitoring System Market 2021 - Industry Analysis , Size , Share , Trend and Growth Opportunities Forecast to 2028",20211229T070000Z,,energy.einnews.com,English,United States
41,https://www.businesswire.com/news/home/20220113005734/en/Global-Solid-State-Relay-Markets-Report-2021-2026---Opportunities-in-the-Increase-in-the-Number-of-Semiconductor-Start-Ups-Increased-Investment-in-Renewable-Energy---ResearchAndMarkets.com,,Global Solid State Relay Markets Report 2021 - 2026 - Opportunities in the Increase in the Number of Semiconductor Start - Ups & Increased Investment in Renewable Energy - ResearchAndMarkets . com,20220113T211500Z,,businesswire.com,English,United States
45,https://www.globenewswire.com/news-release/2022/01/13/2366177/0/en/Electric-Motor-Market-Research-Report-by-Voltage-by-Power-by-Motor-Type-by-End-User-by-Region-Global-Forecast-to-2026-Cumulative-Impact-of-COVID-19.html,,"Electric Motor Market Research Report by Voltage , by Power , ",20220113T103000Z,https://ml.globenewswire.com/Resource/Download/3e0b82c2-02d7-44c8-b22f-561e0f321f39?size=1,globenewswire.com,English,United States
