,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
15,https://www.msn.com/en-us/news/us/starbucks-baristas-at-bucktown-cafe-vote-to-unionize/ar-AAYsMBS,,Starbucks baristas at Bucktown cafe vote to unionize,20220614T231500Z,https://img-s-msn-com.akamaized.net/tenant/amp/entityid/AAYsOOl.img?&m=6&q=60&o=t&l=f&f=jpg,msn.com,English,United States
19,http://www.chicagotribune.com/business/ct-biz-bucktown-starbucks-union-election-20220614-fr75bn5ryjfflk4mdv2xqtkqmy-story.html,,Bucktown Starbucks votes to unionize,20220614T230000Z,https://www.chicagotribune.com/resizer/1xxRT34VNrqNHiT-gcvCwHeJDro=/1200x630/filters:format(jpg):quality(70)/cloudfront-us-east-1.images.arcpublishing.com/tronc/7PYUPHPY2ZDX3BN7WZEVV5L4AY.JPG,chicagotribune.com,English,United States
23,http://www.msn.com/en-us/foodanddrink/foodnews/55-starbucks-secret-menu-drinks-you-won-t-want-to-miss/ar-BB1cJbFf,,55 Starbucks Secret Menu Drinks You Wont Want to Miss,20220629T203000Z,http://img-s-msn-com.akamaized.net/tenant/amp/entityid/AAZ0srF.img?&m=6&q=60&o=t&l=f&f=jpg&x=275&y=381,msn.com,English,United States
27,https://qz.com/2178223/starbucks-employees-top-benefits-are-spotify-and-mental-healthcare/,https://qz.com/2178223/starbucks-employees-top-benefits-are-spotify-and-mental-healthcare/amp/,Starbucks employee top benefits are Spotify and mental healthcare Quartz,20220615T204500Z,https://cms.qz.com/wp-content/uploads/2022/06/2018-05-29T161642Z_1686383138_RC1BCAED1E40_RTRMADP_3_STARBUCKS-TRAINING-ANTI-BIAS-e1655302712359.jpg?quality=75&strip=all&crop=1,qz.com,English,United States
28,https://www.azcentral.com/story/news/local/phoenix/2022/06/14/judge-sides-starbucks-following-labor-complaints-employees/7617825001/,,Judge sides with Starbucks following labor complaints from employees,20220614T140000Z,https://www.gannett-cdn.com/-mm-/930a1a2e3f34daa7c92bb1739dcac636f0867120/c=0-0-1366-768/local/-/media/2022/05/24/USATODAY/usatsports/247WallSt.com-247WS-1118983-starbucks.jpg?auto=webp&format=pjpg,azcentral.com,English,United States
29,https://www.eater.com/2022/6/14/23167431/starbucks-threatening-trans-employees-healthcare-benefits-union-busting,,Starbucks Managers Allegedly Threaten Trans Worker Healthcare Benefits,20220614T213000Z,https://cdn.vox-cdn.com/thumbor/50hUS8JCtbluUPbisaQdpQJJx-8=/0x706:4935x3290/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/23626665/1239452047.jpg,eater.com,English,United States
35,https://patch.com/illinois/chicago/man-glues-hand-starbucks-counter-vegan-protest-forcing-closure,https://patch.com/illinois/chicago/amp/30726260/man-glues-hand-to-starbucks-counter-in-vegan-protest-forcing-closure,"Man Glues Hand To Starbucks Counter In Vegan Protest , Forcing Closure",20220615T181500Z,https://patch.com/img/cdn20/shutterstock/920517/20220615/125731/styles/patch_image/public/shutterstock-1410002591___15125602803.jpg,patch.com,English,United States
40,https://www.fool.com/investing/2022/06/02/this-monster-dividend-stock-summer-buy-starbucks/?source=iedfolrf0000001,,This Monster Dividend Stock Could Give Your Portfolio a Much - Needed Summer Vacation,20220602T154500Z,https://g.foolcdn.com/editorial/images/682447/gettyimages-928724400.jpg,fool.com,English,United States
44,https://seekingalpha.com/article/4520396-key-considerations-to-investing-in-starbucks,,Key Considerations To Investing In Starbucks Stock ( NASDAQ : SBUX ) ,20220626T123000Z,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1310936055/image_1310936055.jpg?io=getty-c-w750,seekingalpha.com,English,United States
47,https://www.americanthinker.com/blog/2022/06/starbucks_may_finally_be_returning_to_a_good_business_practice.html,,Starbucks may finally be returning to a good business practice,20220613T123000Z,https://www.americanthinker.com/images/bucket/2022-06/238584.jpg,americanthinker.com,English,United States
