,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://www.marketwatch.com/story/our-work-is-just-beginning-100-000-ukraine-refugees-have-been-sheltered-through-airbnb-company-says-11661975674,https://www.marketwatch.com/amp/story/our-work-is-just-beginning-100-000-ukraine-refugees-have-been-sheltered-through-airbnb-company-says-11661975674,"Airbnb has helped shelter 100 , 000 Ukrainian refugees :  Our work is just beginning  ",20220831T201500Z,https://images.mktw.net/im-614386/social,marketwatch.com,English,United States
1,http://www.msn.com/en-us/travel/news/better-buy-airbnb-vs-marriott-international/ar-AA11ocPB,,Better Buy : Airbnb vs Marriott International,20220902T114500Z,http://img-s-msn-com.akamaized.net/tenant/amp/entityid/AA11o7UO.img?&m=6&q=60&o=t&l=f&f=jpg,msn.com,English,United States
3,https://www.hospitalitynet.org/news/4112233.html,,"100 , 000 people fleeing Ukraine have found stays through Airbnb . org",20220901T121500Z,https://www.hospitalitynet.org/picture/social_153145714.jpg?t=1662015376,hospitalitynet.org,English,United States
4,https://skift.com/blog/google-is-not-going-to-kill-airbnb/,,Google Is NOT Going to Kill Airbnb,20220829T221500Z,https://skift.com/wp-content/uploads/2022/08/GoogleTripadvisor-1024x688.jpg,skift.com,English,United States
5,https://www.themarysue.com/trans-youtuber-says-airbnb-host-denied-her-housing-because-she-is-transgender/,,Trans YouTuber Says Airbnb Host Denied Her Housing Because She Is Transgender,20220901T231500Z,https://www.themarysue.com/wp-content/uploads/2022/09/airbnb.jpg,themarysue.com,English,United States
6,http://www.msn.com/en-us/travel/tripideas/the-house-is-the-highlight-with-airbnb-luxe-in-queenstown/ar-AA10PK5K,,The House is the Highlight with AirBNB Luxe in Queenstown,20220819T104500Z,http://img-s-msn-com.akamaized.net/tenant/amp/entityid/AA10PwVh.img?&m=6&q=60&o=t&l=f&f=jpg,msn.com,English,United States
7,https://www.usatoday.com/story/travel/2022/08/30/airbnb-hosts-homeowners-extra-income-survey/7903240001/,,Nearly half of Airbnb hosts said income helped keep them in their home,20220830T140000Z,https://www.gannett-cdn.com/-mm-/9442ebff27aa307914bc3eee8e6714ec80d9b732/c=0-188-3600-2213/local/-/media/2022/08/12/USATODAY/usatsports/MotleyFool-TMOT-db6724de-africa-airbnb.jpg?auto=webp&format=pjpg,usatoday.com,English,United States
9,http://www.msn.com/en-us/travel/tripideas/stay-overnight-in-a-remote-cave-right-here-in-arizona-at-taylor-mountain-cave-inn-retreat/ar-AA111ikJ,,Stay Overnight In A Remote Cave Right Here In Arizona At Taylor Mountain Cave Inn Retreat,20220824T020000Z,http://img-s-msn-com.akamaized.net/tenant/amp/entityid/AA111jWT.img?&m=6&q=60&o=t&l=f&f=jpg,msn.com,English,United States
10,http://www.msn.com/en-us/travel/news/a-night-at-the-farmhouse-on-sac-river-is-the-closest-you-ll-get-to-a-stay-down-on-the-farm/ar-AA10V35V,,A Night At The Farmhouse On Sac River Is The Closest Youll Get To A Stay Down On The Farm,20220822T093000Z,http://img-s-msn-com.akamaized.net/tenant/amp/entityid/AA10UPeo.img?&m=6&q=60&o=t&l=f&f=jpg,msn.com,English,United States
11,https://www.fool.com/investing/2022/08/12/where-will-airbnb-stock-be-in-1-year/?source=iedfolrf0000001,,Where Will Airbnb Stock Be in 1 Year ? ,20220812T111500Z,https://g.foolcdn.com/editorial/images/695558/africa-airbnb.jpg,fool.com,English,United States
12,http://www.msn.com/en-us/travel/news/the-one-of-a-kind-a-frame-campsite-in-florida-you-must-visit-before-summer-ends/ar-AA10U9BT,,The One - Of - A - Kind A - Frame Campsite In Florida You Must Visit Before Summer Ends,20220821T220000Z,http://img-s-msn-com.akamaized.net/tenant/amp/entityid/AA10U9BA.img?&m=6&q=60&o=t&l=f&f=jpg,msn.com,English,United States
14,https://www.businessinsider.com/how-to-get-a-refund-from-airbnb,https://www.businessinsider.com/how-to-get-a-refund-from-airbnb?amp,"How to Get a Refund From Airbnb , or Issue One As a Host",20220810T210000Z,https://i.insider.com/5f4d4ff860bf1f0028079895?&format=jpeg,businessinsider.com,English,United States
15,https://www.necn.com/news/national-international/as-housing-crunch-intensifies-across-the-country-data-gives-a-peek-at-airbnb-impact/2814637/,https://www.necn.com/news/national-international/as-housing-crunch-intensifies-across-the-country-data-gives-a-peek-at-airbnb-impact/2814637/?amp=1,Are Airbnbs Hurting Neighborhoods ? How They Impact US Housing – NECN,20220830T144500Z,,necn.com,English,United States
16,https://www.nbcnewyork.com/news/national-international/as-housing-crunch-intensifies-across-the-country-data-gives-a-peek-at-airbnb-impact/3844034/,https://www.nbcnewyork.com/news/national-international/as-housing-crunch-intensifies-across-the-country-data-gives-a-peek-at-airbnb-impact/3844034/?amp=1,Are Airbnbs Hurting Neighborhoods ? How They Impact US Housing – NBC New York,20220830T141500Z,,nbcnewyork.com,English,United States
17,http://www.msn.com/en-us/travel/news/airbnb-s-falling-stock-price-could-be-a-gift-for-smart-investors/ar-AA114P7X,,Airbnb Falling Stock Price Could Be a Gift for Smart Investors,20220825T121500Z,http://img-s-msn-com.akamaized.net/tenant/amp/entityid/AA115gfC.img?&m=6&q=60&o=t&l=f&f=jpg,msn.com,English,United States
18,http://www.msn.com/en-us/travel/tripideas/a-night-at-lily-springs-farm-airbnb-is-the-closest-you-ll-get-to-a-stay-down-on-the-farm/ar-AA118gL4,,A Night At Lily Springs Farm Airbnb Is The Closest Youll Get To A Stay Down On The Farm,20220826T133000Z,http://img-s-msn-com.akamaized.net/tenant/amp/entityid/AA118gKO.img?&m=6&q=60&o=t&l=f&f=jpg,msn.com,English,United States
19,https://www.nbcdfw.com/news/national-international/as-housing-crunch-intensifies-across-the-country-data-gives-a-peek-at-airbnb-impact/3060007/,https://www.nbcdfw.com/news/national-international/as-housing-crunch-intensifies-across-the-country-data-gives-a-peek-at-airbnb-impact/3060007/?amp=1,Are Airbnbs Hurting Neighborhoods ? How They Impact US Housing – NBC 5 Dallas - Fort Worth,20220830T144500Z,,nbcdfw.com,English,United States
20,https://www.nbcwashington.com/news/national-international/as-housing-crunch-intensifies-across-the-country-data-gives-a-peek-at-airbnb-impact/3145068/,https://www.nbcwashington.com/news/national-international/as-housing-crunch-intensifies-across-the-country-data-gives-a-peek-at-airbnb-impact/3145068/?amp=1,Are Airbnbs Hurting Neighborhoods ? How They Impact US Housing – NBC4 Washington,20220830T173000Z,,nbcwashington.com,English,United States
21,https://skift.com/2022/08/09/4-takeaways-from-airbnbs-second-quarter-report/,https://skift.com/2022/08/09/4-takeaways-from-airbnbs-second-quarter-report/amp/,4 Takeaways From Airbnb Second Quarter Report,20220809T081500Z,https://skift.com/wp-content/uploads/2022/01/072317-Seasonal_2017-Jillian_Garden_Home-1846_R1-scaled-e1641243553776.jpg,skift.com,English,United States
22,https://www.nbclosangeles.com/news/national-international/as-housing-crunch-intensifies-across-the-country-data-gives-a-peek-at-airbnb-impact/2974387/,https://www.nbclosangeles.com/news/national-international/as-housing-crunch-intensifies-across-the-country-data-gives-a-peek-at-airbnb-impact/2974387/?amp=1,Are Airbnbs Hurting Neighborhoods ? How They Impact US Housing – NBC Los Angeles,20220830T143000Z,,nbclosangeles.com,English,United States
23,http://www.msn.com/en-us/travel/tripideas/airbnb-experiences-review-how-you-can-upgrade-your-holiday/ar-AA10TbMR,,Airbnb Experiences Review : How You Can Upgrade Your Holiday,20220821T054500Z,http://img-s-msn-com.akamaized.net/tenant/amp/entityid/AA10TjiC.img?&m=6&q=60&o=t&l=f&f=jpg,msn.com,English,United States
24,https://www.nbcsandiego.com/news/national-international/as-housing-crunch-intensifies-across-the-country-data-gives-a-peek-at-airbnb-impact/3035216/,https://www.nbcsandiego.com/news/national-international/as-housing-crunch-intensifies-across-the-country-data-gives-a-peek-at-airbnb-impact/3035216/?amp=1,Are Airbnbs Hurting Neighborhoods ? How They Impact US Housing – NBC 7 San Diego,20220830T181500Z,,nbcsandiego.com,English,United States
25,https://www.nbcbayarea.com/news/national-international/as-housing-crunch-intensifies-across-the-country-data-gives-a-peek-at-airbnb-impact/2989817/,https://www.nbcbayarea.com/news/national-international/as-housing-crunch-intensifies-across-the-country-data-gives-a-peek-at-airbnb-impact/2989817/?amp=1,Are Airbnbs Hurting Neighborhoods ? How They Impact US Housing – NBC Bay Area,20220830T140000Z,,nbcbayarea.com,English,United States
26,https://www.nbcchicago.com/news/national-international/as-housing-crunch-intensifies-across-the-country-data-gives-a-peek-at-airbnb-impact/2927042/,https://www.nbcchicago.com/news/national-international/as-housing-crunch-intensifies-across-the-country-data-gives-a-peek-at-airbnb-impact/2927042/?amp=1,Are Airbnbs Hurting Neighborhoods ? How They Impact US Housing – NBC Chicago,20220830T170000Z,,nbcchicago.com,English,United States
27,https://www.nbcconnecticut.com/news/national-international/as-housing-crunch-intensifies-across-the-country-data-gives-a-peek-at-airbnb-impact/2862009/,https://www.nbcconnecticut.com/news/national-international/as-housing-crunch-intensifies-across-the-country-data-gives-a-peek-at-airbnb-impact/2862009/?amp=1,Are Airbnbs Hurting Neighborhoods ? How They Impact US Housing – NBC Connecticut,20220830T171500Z,,nbcconnecticut.com,English,United States
