,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
1,https://markets.buffalonews.com/buffnews/article/bizwire-2022-10-31-william-bill-wagner-appointed-to-avery-dennison-board-of-directors,,Stock Market,20221031T111500Z,,markets.buffalonews.com,English,United States
2,https://www.streetinsider.com/Board+Changes/Avery+Dennison+(AVY)+Appoints+William+Wagner+to+its+Board/20767130.html,,Avery Dennison ( AVY ) Appoints William Wagner to its Board,20221031T113000Z,http://www.streetinsider.com/https://www.streetinsider.com/images/summaries/257/resize_,streetinsider.com,English,United States
3,https://www.insidermonkey.com/blog/should-you-invest-in-avery-dennison-avy-1081379/,,Should You Invest in Avery Dennison ( AVY )? ,20221028T194500Z,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2021/09/19012525/Top-5-Packaging-Companies-in-USA.jpg,insidermonkey.com,English,United States
5,https://www.streetinsider.com/Business+Wire/Avery+Dennison+Declares+Quarterly+Dividend/20760773.html,,Avery Dennison Declares Quarterly Dividend,20221028T134500Z,,streetinsider.com,English,United States
6,https://whattheythink.com/news/112832-william-bill-wagner-appointed-avery-dennison-board-directors/,,William ( Bill ) Wagner Appointed to Avery Dennison Board of Directors,20221101T074500Z,https://d3impqwjfkw0cn.cloudfront.net/img/opengraph-default-whattheythink.png,whattheythink.com,English,United States
7,http://www.consumerelectronicsnet.com/william-bill-wagner-appointed-to-avery-dennison-board-of-directors/,,William ( Bill ) Wagner Appointed to Avery Dennison Board of Directors – Consumer Electronics Net,20221031T114500Z,,consumerelectronicsnet.com,English,United States
8,https://www.tmcnet.com/usubmit/2022/10/31/9702250.htm,,William ( Bill ) Wagner Appointed to Avery Dennison Board of Directors,20221031T113000Z,https://images.tmcnet.com/tmc/world.jpg,tmcnet.com,English,United States
9,https://whattheythink.com/news/112858-avery-dennison-adds-november-supreme-wrapping-film-training-class-spanish-announces-2023-training-schedule-sema/,,Avery Dennison Adds November Supreme Wrapping Film Training Class in Spanish ; Announces 2023 Training Schedule at SEMA,20221102T080000Z,https://d3impqwjfkw0cn.cloudfront.net/img/opengraph-default-whattheythink.png,whattheythink.com,English,United States
11,https://news.yahoo.com/avery-dennison-corporation-nyse-avy-152503035.html,https://news.yahoo.com/amphtml/avery-dennison-corporation-nyse-avy-152503035.html,Is Avery Dennison Corporation ( NYSE : AVY ) A High Quality Stock To Own ? ,20221024T161500Z,https://s.yimg.com/uu/api/res/1.2/JDCC9lQeiIPM8JBfzfSUTg--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/d87d808830e2aedc066b03f242222480,news.yahoo.com,English,United States
12,https://www.textileworld.com/textile-world/knitting-apparel/2022/11/william-bill-wagner-appointed-to-avery-dennison-board-of-directors/,,William  Bill  Wagner Appointed To Avery Dennison Board Of Directors,20221101T210000Z,,textileworld.com,English,United States
14,https://www.printingnews.com:443/wide-format-signage/press-release/21161181/avery-dennison-corp-avery-dennison-adds-november-supreme-wrapping-film-training-class-in-spanish-announces-2023-training-schedule-at-sema,,Avery Dennison Adds November Supreme Wrapping Film Training Class in Spanish ; Announces 2023 Training Schedule at SEMA,20221102T160000Z,https://cdn.printingnews.com/files/base/cygnus/mprc/image/2022/11/16x9/960w/2022_11_02_avery.63628917da63f.jpg,printingnews.com,English,United States
15,https://www.labelsandlabeling.com:443/news/industry-updates/avery-dennison-partners-sap-reduce-waste,,Avery Dennison partners with SAP to reduce waste,20221005T234500Z,https://www.labelsandlabeling.com/sites/labels/lnl/files/news/avery_44.jpg,labelsandlabeling.com,English,United States
16,https://www.printingnews.com:443/digital-inkjet/press-release/21160926/domino-digital-printing-solutions-domino-announces-first-spectrum-europe-event-at-new-european-digital-centre-of-excellence,,Domino Announces First Spectrum Europe Event at New European Digital Centre of Excellence,20221003T144500Z,https://cdn.printingnews.com/files/base/cygnus/mprc/image/2022/10/960w/download.633ae27234b07.jpg,printingnews.com,English,United States
