,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://www.insidermonkey.com/blog/5-biggest-dental-companies-in-the-world-1094090/,https://www.insidermonkey.com/blog/5-biggest-dental-companies-in-the-world-1094090/?amp=1,5 Biggest Dental Companies in the World - Insider Monkey,20221214T160000Z,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2017/04/05090713/shutterstock_358326746.jpg,insidermonkey.com,English,United States
3,https://www.etfdailynews.com/2022/12/12/cigna-investments-inc-new-sells-333-shares-of-align-technology-inc-nasdaqalgn/,,"Cigna Investments Inc . New Sells 333 Shares of Align Technology , Inc . ( NASDAQ : ALGN ) ",20221212T174500Z,,etfdailynews.com,English,United States
4,https://news.yahoo.com/11-best-medical-technology-stocks-144936396.html,https://news.yahoo.com/amphtml/11-best-medical-technology-stocks-144936396.html,11 Best Medical Technology Stocks To Buy,20221219T151500Z,https://media.zenfs.com/en/insidermonkey.com/501b581b6ffe07b7ab22b356c5b74067,news.yahoo.com,English,United States
5,https://www.insidermonkey.com/blog/11-best-medical-technology-stocks-to-buy-1098778/,https://www.insidermonkey.com/blog/11-best-medical-technology-stocks-to-buy-1098778/?amp=1,11 Best Medical Technology Stocks To Buy,20221219T184500Z,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2017/04/21010318/shutterstock_475181569.jpg,insidermonkey.com,English,United States
6,https://www.fool.com/investing/2022/12/27/down-68-to-73-can-sp-500s-3-worst-stocks-recover/?source=iedfolrf0000001,,"Down 68 % to 73 % in 2022 , Can the S & P 500 3 Worst Stocks Recover in 2023 ? ",20221227T161500Z,https://g.foolcdn.com/editorial/images/712623/worried-woman-looking-at-laptop-computer.jpg,fool.com,English,United States
7,https://triblive.com/business/dorfman-executives-buy-at-align-technology-black-stone-minerals/,,"John Dorfman : Executives buy at Align Technology , Black Stone Minerals",20221206T060000Z,https://assets-varnish.triblive.com/2022/12/5693235_web1_gtr-dorfman-121122.jpg,triblive.com,English,United States
14,https://www.prnewswire.com:443/news-releases/associated-banc-corp-announces-executive-leadership-appointment-301707656.html,,Associated Banc - Corp announces executive leadership appointment,20221220T214500Z,https://mma.prnewswire.com/media/1972436/Terry_L__Williams.jpg?p=facebook,prnewswire.com,English,United States
15,https://www.prnewswire.com/news-releases/associated-banc-corp-announces-executive-leadership-appointment-301707656.html,,Associated Banc - Corp announces executive leadership appointment,20221220T214500Z,https://mma.prnewswire.com/media/1972436/Terry_L__Williams.jpg?p=facebook,prnewswire.com,English,United States
18,https://markets.financialcontent.com/stocks/article/bizwire-2022-12-7-global-dental-cad-cam-market-to-grow-by-9218-million-during-2023-2027-researchandmarketscom,,Stock Market | FinancialContent Business Page,20221207T181500Z,,markets.financialcontent.com,English,United States
19,https://www.prnewswire.com:443/news-releases/dental-cad-cam-market-2023-2027-a-descriptive-analysis-of-parent-market-five-forces-model-market-dynamics-and-segmentation---technavio-301702720.html,,"Dental CAD - CAM market 2023 - 2027 : A descriptive analysis of parent market , five forces model , market dynamics , and segmentation",20221214T183000Z,,prnewswire.com,English,United States
20,https://www.prnewswire.com/news-releases/dental-cad-cam-market-2023-2027-a-descriptive-analysis-of-parent-market-five-forces-model-market-dynamics-and-segmentation---technavio-301702720.html,,"Dental CAD - CAM market 2023 - 2027 : A descriptive analysis of parent market , five forces model , market dynamics , and segmentation",20221214T184500Z,,prnewswire.com,English,United States
21,https://www.insidermonkey.com/blog/12-biggest-dental-companies-in-the-world-1094089/,https://www.insidermonkey.com/blog/12-biggest-dental-companies-in-the-world-1094089/?amp=1,12 Biggest Dental Companies in the World,20221214T160000Z,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2017/03/28014958/shutterstock_407050087.jpg,insidermonkey.com,English,United States
23,https://www.marketwatch.com/press-release/the-tooth-replacement-market-size-trends-production-cost-impact-of-covid-19-top-key-players-segment-forecast-2022---2028-2022-12-25,,"The Tooth Replacement Market Size : Trends , Production Cost , Impact of Covid 19 , Top Key Players , Segment Forecast 2022 - 2028 . ",20221225T103000Z,,marketwatch.com,English,United States
24,https://www.forbes.com/sites/johndorfman/2022/12/05/insiders-buy-at-align-technology-and-black-stone-minerals-heres-why-investors-should-too/,https://www.forbes.com/sites/johndorfman/2022/12/05/insiders-buy-at-align-technology-and-black-stone-minerals-heres-why-investors-should-too/amp/,"Insiders Buy At Align Technology And Black Stone Minerals . Here Why Investors Should , Too . ",20221205T160000Z,https://imageio.forbes.com/specials-images/imageserve/638d7e410cf1e1901155d451/0x0.jpg?format=jpg,forbes.com,English,United States
25,https://brazilbusiness.einnews.com/pr_news/608339165/global-dental-crown-and-bridges-market-size-and-market-growth-opportunities,https://brazilbusiness.einnews.com/amp/pr_news/608339165/global-dental-crown-and-bridges-market-size-and-market-growth-opportunities,Global Dental Crown And Bridges Market Size And Market Growth Opportunities,20221227T174500Z,,brazilbusiness.einnews.com,English,United States
26,https://finance.yahoo.com/news/dental-imaging-market-size-worth-110300583.html,https://finance.yahoo.com/amphtml/news/dental-imaging-market-size-worth-110300583.html,Dental Imaging Market Size Worth US$ 5 . 19 billion ( 2022 - 2030 ) growing at a CAGR of 8 . 80 % ,20221215T113000Z,https://media.zenfs.com/en/globenewswire.com/980a5e1136ffe9b9eac1edd1406a0b86,finance.yahoo.com,English,United States
27,https://www.trains.com/trn/news-reviews/news-wire/schneider-shifts-its-western-intermodal-business-to-union-pacific-from-bnsf-railway/,,Schneider shifts its western intermodal business to Union Pacific from BNSF Railway,20230103T200000Z,https://www.trains.com/wp-content/uploads/2023/01/schneider_intermodal_advantage.jpg,trains.com,English,United States
28,https://markets.businessinsider.com/news/stocks/worst-performing-stocks-meta-tesla-tech-inflation-economy-sp500-2022-12,https://markets.businessinsider.com/news/stocks/worst-performing-stocks-meta-tesla-tech-inflation-economy-sp500-2022-12?amp,"Meta , Tesla and Match Are Among the 10 Biggest S & P 500 Losers in 2002",20221227T134500Z,https://i.insider.com/57927d3588e4a70f018ba31b?&format=jpeg,markets.businessinsider.com,English,United States
29,https://www.prnewswire.com:443/news-releases/nordic-semiconductor-selects-packetcraft-controller-software-delivering-advanced-bluetooth-le-audio-capability-301711928.html,,Nordic Semiconductor Selects Packetcraft Controller Software Delivering Advanced Bluetooth LE Audio Capability,20230103T140000Z,https://mma.prnewswire.com/media/1976123/Packetcraft_Bluetooth_LE_Audio.jpg?p=facebook,prnewswire.com,English,United States
30,https://finance.yahoo.com/news/netbase-quid-wraps-innovative-2022-153700102.html,https://finance.yahoo.com/amphtml/news/netbase-quid-wraps-innovative-2022-153700102.html,NetBase Quid® Wraps an Innovative 2022,20221221T161500Z,https://media.zenfs.com/en/prnewswire.com/7e9418088ef07352e483080f0f9ac0fb,finance.yahoo.com,English,United States
32,https://www.prnewswire.com/news-releases/netbase-quid-wraps-an-innovative-2022-301707856.html,,NetBase Quid® Wraps an Innovative 2022,20221221T160000Z,,prnewswire.com,English,United States
33,https://www.prnewswire.com:443/news-releases/netbase-quid-wraps-an-innovative-2022-301707856.html,,NetBase Quid® Wraps an Innovative 2022,20221221T160000Z,,prnewswire.com,English,United States
35,https://finance.yahoo.com/news/global-nano-dentistry-market-estimated-013000404.html,https://finance.yahoo.com/amphtml/news/global-nano-dentistry-market-estimated-013000404.html,Global Nano Dentistry Market is estimated to cross a revenue of US$ 1 . 98 Bn while exhibiting a CAGR of 8 . 12 % during forecast period of 2023 - 33,20221216T023000Z,https://s.yimg.com/ny/api/res/1.2/qP4r51hLByRzlY33mD2ISw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03MzA-/https://media.zenfs.com/en/globenewswire.com/433e6507c3cf94b90d194380426a7629,finance.yahoo.com,English,United States
36,https://www.globenewswire.com/news-release/2022/12/16/2575186/0/en/Global-Nano-Dentistry-Market-is-estimated-to-cross-a-revenue-of-US-1-98-Bn-while-exhibiting-a-CAGR-of-8-12-during-forecast-period-of-2023-33-Data-by-Future-Market-Insights-Inc.html,,Global Nano Dentistry Market is estimated to cross a,20221216T020000Z,https://ml.globenewswire.com/Resource/Download/915d2f9c-7dc6-40c7-995c-2ba168208baa?size=1,globenewswire.com,English,United States
38,https://www.insidermonkey.com/blog/10-most-advanced-countries-in-dentistry-1102950/,https://www.insidermonkey.com/blog/10-most-advanced-countries-in-dentistry-1102950/?amp=1,10 Most Advanced Countries in Dentistry - Insider Monkey,20221228T020000Z,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2017/04/04094156/shutterstock_538604587.jpg,insidermonkey.com,English,United States
39,https://www.dbusiness.com/daily-news/nextenergy-and-park-rite-to-take-over-detroit-smart-parking-lab-operations/,,NextEnergy and Park Rite to Take Over Detroit Smart Parking Lab Operations,20221216T150000Z,https://cdn.dbusiness.com/wp-content/uploads/sites/33/2022/12/SmartParking800.jpg,dbusiness.com,English,United States
40,https://www.theusnews.com/news/273167379/rise-in-the-chronic-oral-diseases-is-expected-to-propel-the-growth-of-the-intraoral-scanners-market-get-insights-fmi,,Rise in the Chronic Oral Diseases is expected to propel the Growth of the Intraoral Scanners Market : Get Insights FMI,20221207T133000Z,,theusnews.com,English,United States
41,https://www.phoenixherald.com/news/273167379/rise-in-the-chronic-oral-diseases-is-expected-to-propel-the-growth-of-the-intraoral-scanners-market-get-insights-fmi,,Rise in the Chronic Oral Diseases is expected to propel the Growth of the Intraoral Scanners Market : Get Insights FMI,20221207T130000Z,,phoenixherald.com,English,United States
42,https://www.pittsburghstar.com/news/273167379/rise-in-the-chronic-oral-diseases-is-expected-to-propel-the-growth-of-the-intraoral-scanners-market-get-insights-fmi,,Rise in the Chronic Oral Diseases is expected to propel the Growth of the Intraoral Scanners Market : Get Insights FMI,20221207T131500Z,,pittsburghstar.com,English,United States
43,https://www.baltimorestar.com/news/273167379/rise-in-the-chronic-oral-diseases-is-expected-to-propel-the-growth-of-the-intraoral-scanners-market-get-insights-fmi,,Rise in the Chronic Oral Diseases is expected to propel the Growth of the Intraoral Scanners Market : Get Insights FMI,20221207T144500Z,,baltimorestar.com,English,United States
44,https://www.nashvilleherald.com/news/273167379/rise-in-the-chronic-oral-diseases-is-expected-to-propel-the-growth-of-the-intraoral-scanners-market-get-insights-fmi,,Rise in the Chronic Oral Diseases is expected to propel the Growth of the Intraoral Scanners Market : Get Insights FMI,20221207T144500Z,,nashvilleherald.com,English,United States
45,https://www.stlouisstar.com/news/273167379/rise-in-the-chronic-oral-diseases-is-expected-to-propel-the-growth-of-the-intraoral-scanners-market-get-insights-fmi,,Rise in the Chronic Oral Diseases is expected to propel the Growth of the Intraoral Scanners Market : Get Insights FMI,20221207T134500Z,,stlouisstar.com,English,United States
