,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://news.yahoo.com/pulling-back-3-3-week-142509841.html,https://news.yahoo.com/amphtml/pulling-back-3-3-week-142509841.html,"Pulling back 3 . 3 % this week , Assurant NYSE : AIZ ) five - year decline in earnings may be coming into investors focus",20230226T151500Z,https://media.zenfs.com/en/simply_wall_st__316/64306ded08622a838132aa4cadf007ad,news.yahoo.com,English,United States
1,https://insurancenewsnet.com/oarticle/q4-for-q4-2022-investor-presentation-2022,,Q4 for Q4 2022 Investor Presentation 2022,20230221T170000Z,https://insurancenewsnet.com/wp-content/themes/inn-2/img/inn-social-default.jpg,insurancenewsnet.com,English,United States
3,https://markets.buffalonews.com/buffnews/article/bizwire-2023-2-23-am-best-affirms-credit-ratings-of-virginia-surety-seguros-de-mxico-sa-de-cv,,Stock Market,20230223T180000Z,,markets.buffalonews.com,English,United States
4,https://www.streetinsider.com/Earnings/Assurant+(AIZ)+Tops+Q4+EPS+by+83c/21176497.html,,Assurant ( AIZ ) Tops Q4 EPS by 83c,20230207T220000Z,http://www.streetinsider.com/https://www.streetinsider.com/images/summaries/241/resize_aiz_59e72dae24ea8.jpg,streetinsider.com,English,United States
5,https://markets.financialcontent.com/stocks/article/bizwire-2023-2-23-am-best-affirms-credit-ratings-of-virginia-surety-seguros-de-mxico-sa-de-cv,,Stock Market | FinancialContent Business Page,20230223T180000Z,,markets.financialcontent.com,English,United States
6,https://www.yahoo.com/now/am-best-affirms-credit-ratings-174200802.html,https://www.yahoo.com/amphtml/now/am-best-affirms-credit-ratings-174200802.html,"AM Best Affirms Credit Ratings of Virginia Surety Seguros de México , S . A . de C . V . ",20230223T184500Z,https://media.zenfs.com/en/business-wire.com/04579fdb68050d1b4711c1b9749de2d0,yahoo.com,English,United States
7,"https://www.streetinsider.com/Business+Wire/AM+Best+Affirms+Credit+Ratings+of+Virginia+Surety+Seguros+de+M%C3%A9xico,+S.A.+de+C.V./21268451.html",,"AM Best Affirms Credit Ratings of Virginia Surety Seguros de México , S . A . de C . V . ",20230223T180000Z,,streetinsider.com,English,United States
9,https://apnews.com/article/new-york-city-earnings-automated-insights-assurant-inc-business-5ea537441d298a61abc81819f552a4c9,,Assurant : Q4 Earnings Snapshot,20230207T224500Z,https://storage.googleapis.com/afs-prod/media/afs:Medium:751921853724/700.png,apnews.com,English,United States
10,https://insurancenewsnet.com/oarticle/am-best-affirms-credit-ratings-of-virginia-surety-seguros-de-mexico-s-a-de-c-v,,"AM Best Affirms Credit Ratings of Virginia Surety Seguros de México , S . A . de C . V . ",20230223T193000Z,https://insurancenewsnet.com/wp-content/themes/inn-2/img/inn-social-default.jpg,insurancenewsnet.com,English,United States
11,https://markets.buffalonews.com/buffnews/article/bizwire-2023-2-23-am-best-affirms-credit-ratings-of-assurant-daos-mxico-sa-and-assurant-vida-mxico-sa,,Stock Market,20230223T173000Z,,markets.buffalonews.com,English,United States
12,https://markets.financialcontent.com/stocks/article/bizwire-2023-2-23-am-best-affirms-credit-ratings-of-assurant-daos-mxico-sa-and-assurant-vida-mxico-sa,,Stock Market | FinancialContent Business Page,20230223T173000Z,,markets.financialcontent.com,English,United States
13,"https://www.streetinsider.com/Business+Wire/AM+Best+Affirms+Credit+Ratings+of+Assurant+Da%C3%B1os+M%C3%A9xico,+S.A.+and+Assurant+Vida+M%C3%A9xico,+S.A./21268226.html",,"AM Best Affirms Credit Ratings of Assurant Daños México , S . A . and Assurant Vida México , S . A . ",20230223T173000Z,,streetinsider.com,English,United States
14,https://insurancenewsnet.com/oarticle/assurant-reports-fourth-quarter-and-full-year-2022-financial-results,,Assurant Reports Fourth Quarter and Full - Year 2022 Financial Results,20230207T220000Z,https://insurancenewsnet.com/wp-content/themes/inn-2/img/inn-social-default.jpg,insurancenewsnet.com,English,United States
15,https://www.mactech.com/2023/02/23/iphones-were-the-top-devices-turned-in-through-trade-in-and-upgrade-programs-in-2022/,https://www.mactech.com/2023/02/23/iphones-were-the-top-devices-turned-in-through-trade-in-and-upgrade-programs-in-2022/amp/,iPhones were the top devices turned in through trade - in and upgrade programs in 2022,20230223T183000Z,,mactech.com,English,United States
17,https://www.insidermonkey.com/blog/assurant-inc-nyseaiz-q4-2022-earnings-call-transcript-1117890/,,"Assurant , Inc . ( NYSE : AIZ ) Q4 2022 Earnings Call Transcript",20230210T134500Z,,insidermonkey.com,English,United States
19,https://markets.financialcontent.com/stocks/article/getnews-2023-3-6-hialeah-appliance-repair-reputable-fl-company-offers-top-service-for-all-major-appliance-brands,,Stock Market | FinancialContent Business Page,20230306T140000Z,,markets.financialcontent.com,English,United States
20,https://news.yahoo.com/16-best-consistent-dividend-stocks-173438668.html,https://news.yahoo.com/amphtml/16-best-consistent-dividend-stocks-173438668.html,16 Best Consistent Dividend Stocks to Buy,20230228T181500Z,https://media.zenfs.com/en/insidermonkey.com/c621e13f4b0c2e0dbafe82c665ac6002,news.yahoo.com,English,United States
21,https://finance.yahoo.com/news/insurance-newslink-global-trends-database-182000473.html,https://finance.yahoo.com/amphtml/news/insurance-newslink-global-trends-database-182000473.html,Insurance Newslink Global Trends Database 2023 : Access to Thousands of Searchable Articles and Two Weekly Bulletins,20230222T190000Z,https://media.zenfs.com/en/prnewswire.com/e75ef6f3096d7cb6f5dd43ba82eca2fe,finance.yahoo.com,English,United States
22,https://www.prnewswire.com/news-releases/insurance-newslink-global-trends-database-2023-access-to-thousands-of-searchable-articles-and-two-weekly-bulletins-301753070.html,,Insurance Newslink Global Trends Database 2023 : Access to Thousands of Searchable Articles and Two Weekly Bulletins,20230222T184500Z,,prnewswire.com,English,United States
23,https://www.insidermonkey.com/blog/16-best-consistent-dividend-stocks-to-buy-1125982/,https://www.insidermonkey.com/blog/16-best-consistent-dividend-stocks-to-buy-1125982/?amp=1,16 Best Consistent Dividend Stocks to Buy,20230228T193000Z,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2021/09/03030335/stock-market.jpeg,insidermonkey.com,English,United States
24,https://floridapolitics.com/archives/586234-poll-florida-renters-want-security-deposit-alternatives/,,Poll : Florida renters want security deposit alternatives,20230207T023000Z,https://floridapolitics.com/wp-content/uploads/2021/02/AdobeStock_92854309.jpeg,floridapolitics.com,English,United States
25,https://www.aol.com/finance/rally-focus-powell-speaks-more-174132566.html,https://www.aol.com/amphtml/rally-focus-powell-speaks-more-174132566.html,"Rally in focus , Powell speaks , more earnings pour in : What to know this week",20230205T183000Z,https://s.yimg.com/ny/api/res/1.2/dfR4Qx9jqppiwZnVSXv27A--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/aol_yahoo_finance_433/bc5d8b5a2d7724ec445990134dece04c,aol.com,English,United States
26,https://brazilbusiness.einnews.com/pr_news/616100058/auto-extended-warranty-market-is-booming-and-predicted-to-hit-60-82-billion-by-2030-at-5-9-cagr,,"Auto Extended Warranty Market is Booming and Predicted to Hit $60 . 82 billion by 2030 , at 5 . 9 % CAGR",20230209T171500Z,,brazilbusiness.einnews.com,English,United States
28,https://finance.yahoo.com/news/global-extended-warranty-market-size-200000949.html,https://finance.yahoo.com/amphtml/news/global-extended-warranty-market-size-200000949.html,Global Extended Warranty Market Size To Reach USD 256 . 82 Billion By 2030,20230228T203000Z,https://media.zenfs.com/en/globenewswire.com/bd0306a12d00a73916fcea92dc37a9f3,finance.yahoo.com,English,United States
29,http://www.msn.com/en-us/news/technology/samsung-galaxy-s23-ultra-s-200-megapixel-camera-is-truly-astounding/ar-AA1701Pk,,Samsung Galaxy S23 Ultra 200 - Megapixel Camera Is Truly Astounding,20230204T181500Z,http://img-s-msn-com.akamaized.net/tenant/amp/entityid/AA16ZN43.img?&m=6&q=60&o=t&l=f&f=jpg,msn.com,English,United States
30,http://www.msn.com/en-us/news/technology/samsung-galaxy-s23-ultra-first-look-going-big-on-the-camera/ar-AA1701Pk,,Samsung Galaxy S23 Ultra First Look : Going Big on the Camera,20230204T204500Z,http://img-s-msn-com.akamaized.net/tenant/amp/entityid/AA16ZN43.img?&m=6&q=60&o=t&l=f&f=jpg,msn.com,English,United States
31,https://www.texarkanagazette.com/news/2023/feb/13/how-to-prepare-for-a-lost-stolen-or-broken/,,"How to prepare for a lost , stolen or broken smartphone",20230214T124500Z,https://wehco.media.clients.ellingtoncms.com/imports/adg/photos/203588926_AdobeStock_225543464_t600.jpg?4326734cdb8e39baa3579048ef63ad7b451e7676,texarkanagazette.com,English,United States
