,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://www.insidermonkey.com/blog/arista-networks-anet-benefited-in-q1-from-artificial-intelligence-arms-race-1140598/,,Arista Networks ( ANET ) Benefited in Q1 from Artificial Intelligence Arms Race,20230418T111500Z,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2017/01/16071936/43317167_m.jpg,insidermonkey.com,English,United States
1,https://www.benzinga.com/markets/options/23/04/31922752/arista-networks-unusual-options-activity-for-april-20,https://www.benzinga.com/amp/content/31922752,Arista Networks Unusual Options Activity For April 20 - Arista Networks ( NYSE : ANET ) ,20230420T193000Z,https://www.benzinga.com/next-assets/images/schema-image-default.png,benzinga.com,English,United States
2,https://www.insidermonkey.com/insider-trading/filing/6898978,,Filing Details - Insider Monkey,20230412T231500Z,,insidermonkey.com,English,United States
3,https://www.dailypolitical.com/2023/04/25/arista-networks-inc-nyseanet-shares-purchased-by-stevens-capital-management-lp.html,,First Hawaiian ( NASDAQ : FHB ) Sets New 12 - Month Low at $19 . 27,20230425T153000Z,,dailypolitical.com,English,United States
4,https://www.wkrb13.com/2023/04/27/arista-networks-inc-nyseanet-stock-holdings-lowered-by-phoenix-wealth-advisors.html,,"Arista Networks , Inc . ( NYSE : ANET ) Stock Holdings Lowered by Phoenix Wealth Advisors",20230427T161500Z,,wkrb13.com,English,United States
5,https://www.tickerreport.com/banking-finance/10475919/arista-networks-inc-nyseanet-shares-sold-by-alphamark-advisors-llc.html,,"Arista Networks , Inc . ( NYSE : ANET ) Shares Sold by AlphaMark Advisors LLC",20230426T130000Z,,tickerreport.com,English,United States
6,https://www.tickerreport.com/banking-finance/10486179/arista-networks-anet-set-to-announce-earnings-on-monday.html,,Arista Networks ( ANET ) Set to Announce Earnings on Monday,20230429T053000Z,,tickerreport.com,English,United States
7,https://www.wkrb13.com/2023/04/25/stevens-capital-management-lp-acquires-458-shares-of-arista-networks-inc-nyseanet.html,,"Stevens Capital Management LP Acquires 458 Shares of Arista Networks , Inc . ( NYSE : ANET ) ",20230425T153000Z,,wkrb13.com,English,United States
8,https://www.benzinga.com/news/earnings/23/05/32249455/heres-how-much-1000-invested-in-arista-networks-5-years-ago-would-be-worth-today,https://www.benzinga.com/amp/content/32249455,Here How Much $1000 Invested In Arista Networks 5 Years Ago Would Be Worth Today - Arista Networks ( NYSE : ANET ) ,20230505T220000Z,https://cdn.benzinga.com/files/images/story/2023/valuestock_image_1305.jpeg?&fit=crop,benzinga.com,English,United States
10,https://www.tickerreport.com/banking-finance/10386706/clarius-group-llc-purchases-89-shares-of-arista-networks-inc-nyseanet.html,,"Clarius Group LLC Purchases 89 Shares of Arista Networks , Inc . ( NYSE : ANET ) ",20230407T163000Z,,tickerreport.com,English,United States
