,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://www.tickerreport.com/banking-finance/11381839/arch-capital-group-ltd-nasdaqacgl-receives-87-83-average-price-target-from-brokerages.html,,Arch Capital Group Ltd . ( NASDAQ : ACGL ) Receives $87 . 83 Average Price Target from Brokerages,20231126T120000Z,,tickerreport.com,English,United States
1,https://www.wkrb13.com/2023/11/26/arch-capital-group-ltd-nasdaqacgl-receives-87-83-average-pt-from-brokerages.html,,Arch Capital Group Ltd . ( NASDAQ : ACGL ) Receives $87 . 83 Average PT from Brokerages,20231126T114500Z,,wkrb13.com,English,United States
2,https://www.etfdailynews.com/2023/12/10/arch-capital-group-ltd-nasdaqacgl-shares-bought-by-cantor-fitzgerald-l-p/,,Arch Capital Group Ltd . ( NASDAQ : ACGL ) Shares Bought by Cantor Fitzgerald L . P . ,20231210T184500Z,,etfdailynews.com,English,United States
3,https://seekingalpha.com/news/4039651-markel-rated-new-sell-at-citi-afg-rnr-nab-buy-ratings,,"Markel rated new Sell at Citi ; AFG , RNR nab Buy ratings ( NASDAQ : ACGL ) ",20231122T161500Z,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1209896564/image_1209896564.jpg?io=getty-c-w750,seekingalpha.com,English,United States
4,https://www.investors.com/news/progressive-earns-membership-in-95-plus-composite-rating-club/,,Progressive Stock Earns Membership In 95 - Plus Composite Rating Club,20231121T204500Z,https://www.investors.com/wp-content/uploads/2017/03/IDS1.jpg,investors.com,English,United States
5,https://seekingalpha.com/news/4038390-upstart-tops-weeks-financial-gainers-while-lufax-falls-the-most,,"Upstart tops week financial gainers , while Lufax falls the most ( NASDAQ : ACGL ) ",20231118T161500Z,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1449224970/image_1449224970.jpg?io=getty-c-w750,seekingalpha.com,English,United States
6,https://seekingalpha.com/news/4044898-robinhood-tops-financial-gainers-renaissancere-falls-the-most-weekly-roundup,,"Robinhood tops financial gainers , RenaissanceRe falls the most : Weekly roundup",20231209T160000Z,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1449224970/image_1449224970.jpg?io=getty-c-w750,seekingalpha.com,English,United States
8,https://finance.yahoo.com/news/arch-capital-group-ltd-acgl-052349783.html,https://finance.yahoo.com/amphtml/news/arch-capital-group-ltd-acgl-052349783.html,Arch Capital Group Ltd ( ACGL ): A Strategic SWOT Insight,20231110T063000Z,https://media.zenfs.com/en/us.finance.gurufocus/b1d4073d2c4e869fe6cac338bacff326,finance.yahoo.com,English,United States
12,https://www.prnewswire.com/news-releases/business-travel-accident-insurance-market-to-reach-30-20-billion-globally-by-2032-at-22-2-cagr-allied-market-research-301996958.html,,"Business Travel Accident Insurance Market to Reach $30 . 20 billion , Globally , by 2032 at 22 . 2 % CAGR : Allied Market Research",20231125T061500Z,,prnewswire.com,English,United States
15,http://www.itnewsonline.com/PRNewswire/Business-Travel-Accident-Insurance-Market-to-Reach-USD30.20-billion-Globally-by-2032-at-22.2Percent-CAGR-Allied-Market-Research/959633,,"Business Travel Accident Insurance Market to Reach $30 . 20 billion , Globally , by 2032 at 22 . 2 % CAGR : Allied Market Research",20231125T083000Z,,itnewsonline.com,English,United States
16,https://www.tmcnet.com/usubmit/2023/11/25/9923049.htm,,"Business Travel Accident Insurance Market to Reach $30 . 20 billion , Globally , by 2032 at 22 . 2 % CAGR : Allied Market Research",20231125T064500Z,,tmcnet.com,English,United States
