,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://www.insidermonkey.com/blog/jim-cramer-is-recommending-these-5-stocks-1248289/,https://www.insidermonkey.com/blog/jim-cramer-is-recommending-these-5-stocks-1248289/?amp=1,Jim Cramer is Recommending These 5 Stocks,20240125T164500Z,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2021/10/11160910/Jim-Cramer-2.jpg,insidermonkey.com,English,United States
1,https://www.wkrb13.com/2024/02/10/texas-permanent-school-fund-corp-lowers-stock-holdings-in-american-electric-power-company-inc-nasdaqaep.html,,"Texas Permanent School Fund Corp Lowers Stock Holdings in American Electric Power Company , Inc . ( NASDAQ : AEP ) ",20240210T181500Z,,wkrb13.com,English,United States
2,https://www.tickerreport.com/banking-finance/11639327/gabelli-funds-llc-reduces-stock-position-in-american-electric-power-company-inc-nasdaqaep.html,,"Gabelli Funds LLC Reduces Stock Position in American Electric Power Company , Inc . ( NASDAQ : AEP ) ",20240205T200000Z,,tickerreport.com,English,United States
3,https://www.etfdailynews.com/2024/02/05/massachusetts-financial-services-co-ma-has-467-71-million-position-in-american-electric-power-company-inc-nasdaqaep/,,"Massachusetts Financial Services Co . MA Has $467 . 71 Million Position in American Electric Power Company , Inc . ( NASDAQ : AEP ) ",20240205T163000Z,,etfdailynews.com,English,United States
4,https://www.wkrb13.com/2024/02/10/canada-pension-plan-investment-board-sells-24300-shares-of-american-electric-power-company-inc-nasdaqaep.html,,"Canada Pension Plan Investment Board Sells 24 , 300 Shares of American Electric Power Company , Inc . ( NASDAQ : AEP ) ",20240210T170000Z,,wkrb13.com,English,United States
5,https://www.dailypolitical.com/2024/02/05/american-electric-power-company-inc-nasdaqaep-shares-sold-by-gabelli-funds-llc.html,,"American Electric Power Company , Inc . ( NASDAQ : AEP ) Shares Sold by Gabelli Funds LLC",20240205T200000Z,,dailypolitical.com,English,United States
6,https://www.dailypolitical.com/2024/01/26/bmo-capital-markets-cuts-american-electric-power-nasdaqaep-price-target-to-88-00.html,,BMO Capital Markets Cuts American Electric Power ( NASDAQ : AEP ) Price Target to $88 . 00,20240126T124500Z,,dailypolitical.com,English,United States
7,https://www.wkrb13.com/2024/02/09/american-electric-power-company-inc-nasdaqaep-shares-purchased-by-choreo-llc.html,,"American Electric Power Company , Inc . ( NASDAQ : AEP ) Shares Purchased by Choreo LLC",20240209T174500Z,,wkrb13.com,English,United States
8,https://www.dailypolitical.com/2024/01/25/old-republic-international-corp-sells-245000-shares-of-american-electric-power-company-inc-nasdaqaep.html,,"OLD Republic International Corp Sells 245 , 000 Shares of American Electric Power Company , Inc . ( NASDAQ : AEP ) ",20240125T231500Z,,dailypolitical.com,English,United States
9,https://www.themarketsdaily.com/2024/01/26/american-electric-power-nasdaqaep-downgraded-by-guggenheim-to-neutral.html,,American Electric Power ( NASDAQ : AEP ) Downgraded by Guggenheim to Neutral,20240126T100000Z,,themarketsdaily.com,English,United States
10,https://www.tickerreport.com/banking-finance/11601546/american-electric-power-company-inc-nasdaqaep-receives-90-18-consensus-target-price-from-brokerages.html,,"American Electric Power Company , Inc . ( NASDAQ : AEP ) Receives $90 . 18 Consensus Target Price from Brokerages",20240126T150000Z,,tickerreport.com,English,United States
11,https://theenterpriseleader.com/2024/01/18/5256-shares-in-american-electric-power-company-inc-nasdaqaep-purchased-by-beaumont-financial-advisors-llc.html,,"5 , 256 Shares in American Electric Power Company , Inc . ( NASDAQ : AEP ) Purchased by Beaumont Financial Advisors LLC",20240118T153000Z,,theenterpriseleader.com,English,United States
12,https://www.dailypolitical.com/2024/02/04/argent-trust-co-raises-stock-position-in-american-electric-power-company-inc-nasdaqaep.html,,"Argent Trust Co Raises Stock Position in American Electric Power Company , Inc . ( NASDAQ : AEP ) ",20240204T173000Z,,dailypolitical.com,English,United States
13,https://theenterpriseleader.com/2024/01/20/empirical-finance-llc-acquires-1718-shares-of-american-electric-power-company-inc-nasdaqaep.html,,"Empirical Finance LLC Acquires 1 , 718 Shares of American Electric Power Company , Inc . ( NASDAQ : AEP ) ",20240120T183000Z,,theenterpriseleader.com,English,United States
14,https://theenterpriseleader.com/2024/01/11/seaport-res-ptn-comments-on-american-electric-power-company-inc-s-fy2026-earnings-nasdaqaep.html,,"Seaport Res Ptn Comments on American Electric Power Company , Inc . FY2026 Earnings ( NASDAQ : AEP ) ",20240111T071500Z,,theenterpriseleader.com,English,United States
15,https://www.wkrb13.com/2024/01/11/portside-wealth-group-llc-grows-stock-holdings-in-american-electric-power-company-inc-nasdaqaep.html,,"Portside Wealth Group LLC Grows Stock Holdings in American Electric Power Company , Inc . ( NASDAQ : AEP ) ",20240111T184500Z,,wkrb13.com,English,United States
16,https://www.dailypolitical.com/2024/01/25/edp-energias-de-portugal-otcmktsedpfy-vs-american-electric-power-nasdaqaep-critical-survey.html,,EDP – Energias de Portugal ( OTCMKTS : EDPFY ) vs . American Electric Power ( NASDAQ : AEP ) Critical Survey,20240125T183000Z,,dailypolitical.com,English,United States
17,https://www.tickerreport.com/banking-finance/11599011/american-electric-power-company-inc-nasdaqaep-shares-acquired-by-mgo-one-seven-llc.html,,"American Electric Power Company , Inc . ( NASDAQ : AEP ) Shares Acquired by MGO One Seven LLC",20240125T143000Z,,tickerreport.com,English,United States
18,https://www.tickerreport.com/banking-finance/11602310/nomura-asset-management-co-ltd-sells-2669-shares-of-american-electric-power-company-inc-nasdaqaep.html,,"Nomura Asset Management Co . Ltd . Sells 2 , 669 Shares of American Electric Power Company , Inc . ( NASDAQ : AEP ) ",20240126T223000Z,,tickerreport.com,English,United States
19,https://www.dailypolitical.com/2024/01/25/american-electric-power-company-inc-nasdaqaep-shares-bought-by-mgo-one-seven-llc.html,,"American Electric Power Company , Inc . ( NASDAQ : AEP ) Shares Bought by MGO One Seven LLC",20240125T143000Z,,dailypolitical.com,English,United States
20,https://www.etfdailynews.com/2024/01/28/reviewing-edp-energias-de-portugal-otcmktsedpfy-american-electric-power-nasdaqaep/,,Reviewing EDP – Energias de Portugal ( OTCMKTS : EDPFY ) & American Electric Power ( NASDAQ : AEP ) ,20240128T093000Z,,etfdailynews.com,English,United States
21,https://www.themarketsdaily.com/2024/01/13/advisor-partners-ii-llc-cuts-stock-holdings-in-american-electric-power-company-inc-nasdaqaep.html,,"Advisor Partners II LLC Cuts Stock Holdings in American Electric Power Company , Inc . ( NASDAQ : AEP ) ",20240113T160000Z,,themarketsdaily.com,English,United States
22,https://www.tickerreport.com/banking-finance/11594812/loring-wolcott-coolidge-fiduciary-advisors-llp-ma-sells-1065-shares-of-american-electric-power-company-inc-nasdaqaep.html,,"Loring Wolcott & Coolidge Fiduciary Advisors LLP MA Sells 1 , 065 Shares of American Electric Power Company , Inc . ( NASDAQ : AEP ) ",20240124T140000Z,,tickerreport.com,English,United States
23,https://theenterpriseleader.com/2024/01/31/motco-boosts-holdings-in-american-electric-power-company-inc-nasdaqaep.html,,"Motco Boosts Holdings in American Electric Power Company , Inc . ( NASDAQ : AEP ) ",20240131T180000Z,,theenterpriseleader.com,English,United States
24,https://www.themarketsdaily.com/2024/02/01/americana-partners-llc-grows-position-in-american-electric-power-company-inc-nasdaqaep.html,,"Americana Partners LLC Grows Position in American Electric Power Company , Inc . ( NASDAQ : AEP ) ",20240201T190000Z,,themarketsdaily.com,English,United States
25,https://theenterpriseleader.com/2024/02/01/american-electric-power-company-inc-nasdaqaep-stock-position-increased-by-americana-partners-llc.html,,"American Electric Power Company , Inc . ( NASDAQ : AEP ) Stock Position Increased by Americana Partners LLC",20240201T190000Z,,theenterpriseleader.com,English,United States
26,https://www.tickerreport.com/banking-finance/11552403/american-electric-power-nasdaqaep-issues-fy-2023-earnings-guidance.html,,American Electric Power ( NASDAQ : AEP ) Issues FY 2023 Earnings Guidance,20240111T180000Z,,tickerreport.com,English,United States
27,https://www.dailypolitical.com/2024/02/03/moors-cabot-inc-has-1-37-million-stock-holdings-in-american-electric-power-company-inc-nasdaqaep.html,,"Moors & Cabot Inc . Has $1 . 37 Million Stock Holdings in American Electric Power Company , Inc . ( NASDAQ : AEP ) ",20240203T153000Z,,dailypolitical.com,English,United States
28,https://www.themarketsdaily.com/2024/01/31/motco-has-5-49-million-stake-in-american-electric-power-company-inc-nasdaqaep.html,,"Motco Has $5 . 49 Million Stake in American Electric Power Company , Inc . ( NASDAQ : AEP ) ",20240131T173000Z,,themarketsdaily.com,English,United States
29,https://finance.yahoo.com/news/high-yield-dividend-stock-just-122600162.html,,This High - Yield Dividend Stock Just Raised Its Payout by 6 %. Is It a Buy ? ,20240113T133000Z,https://s.yimg.com/ny/api/res/1.2/G9pAYx0o6_4TEoeVj1IKxQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/motleyfool.com/2e61c1df83a68be38183de96a6553394,finance.yahoo.com,English,United States
30,https://www.journalgazette.net/local/police-fire/5-escape-olladale-drive-house-fire/article_1c92b28a-b3a2-11ee-9d6b-07c882d68bb5.html,,5 escape Olladale Drive house fire,20240115T161500Z,https://bloximages.chicago2.vip.townnews.com/journalgazette.net/content/tncms/assets/v3/editorial/1/c9/1c92b28a-b3a2-11ee-9d6b-07c882d68bb5/65a527af7d573.preview.jpg?crop=1200%2C630%2C0%2C22,journalgazette.net,English,United States
31,https://www.streetinsider.com/SEC+Filings/Form+8-K+APPALACHIAN+POWER+CO+For:+Jan+09+Filed+by:+AMERICAN+ELECTRIC+POWER+CO+INC/22621631.html,,Form 8 - K APPALACHIAN POWER CO For : Jan 09 Filed by : AMERICAN ELECTRIC POWER CO INC,20240111T131500Z,,streetinsider.com,English,United States
32,https://www.journalgazette.net/local/police-fire/1-dead-firefighter-hurt-in-st-joe-road-house-fire/article_c0549c3a-bc8f-11ee-88af-cb88485fad9d.html,,"1 dead , firefighter hurt in St . Joe Road house fire",20240126T230000Z,https://bloximages.chicago2.vip.townnews.com/journalgazette.net/content/tncms/assets/v3/editorial/c/05/c0549c3a-bc8f-11ee-88af-cb88485fad9d/65b423f94631d.preview.jpg?crop=1200%2C630%2C0%2C22,journalgazette.net,English,United States
35,https://seekingalpha.com/news/4062947-utilities-plunge-after-bond-market-selloff-sees-biggest-two-day-bump-in-yields-in-years,,Utilities plunge after bond market selloff sees biggest two - day bump in yields in years,20240206T113000Z,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1332858442/image_1332858442.jpg?io=getty-c-w750,seekingalpha.com,English,United States
36,https://finance.yahoo.com/news/12-best-february-dividend-stocks-195108017.html,,12 Best February Dividend Stocks To Buy,20240131T201500Z,https://s.yimg.com/ny/api/res/1.2/Tqq9d53dXMJkCsnHPlDWUw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/insidermonkey.com/9f9023150a371a17f6c8c5fe53ed5b7a,finance.yahoo.com,English,United States
37,https://www.rtoinsider.com/70292-ferc-grants-aep-utilities-waiver-capacity-obligation/,,AEP Granted Utilities Waiver of Capacity Obligation by FERC,20240206T010000Z,,rtoinsider.com,English,United States
38,https://investorplace.com/2024/01/3-utility-stocks-to-buy-for-safety-and-yield-in-2024/,,3 Utility Stocks to Buy for Safety and Yield in 2024,20240126T160000Z,https://investorplace.com/wp-content/uploads/2022/05/utilities-1600.jpg,investorplace.com,English,United States
39,https://www.insidermonkey.com/blog/12-best-february-dividend-stocks-to-buy-1250421/,https://www.insidermonkey.com/blog/12-best-february-dividend-stocks-to-buy-1250421/?amp=1,12 Best February Dividend Stocks To Buy - Insider Monkey,20240131T221500Z,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2022/08/03082605/pexels-karolina-grabowska-4968630.jpg,insidermonkey.com,English,United States
40,https://www.marketwatch.com/articles/utility-stocks-cold-temperatures-electricity-a2dc1e2e,,Record Cold Hits Utility Stocks . The Worry Is Possible Outages . ,20240116T171500Z,https://images.barrons.com/im-13124059/social,marketwatch.com,English,United States
41,https://southwestarkansasradio.com/city-of-mineral-springs-awarded-2000-from-swepco-foundation/,,"City of Mineral Springs awarded $2 , 000 from SWEPCO Foundation – Southwest Arkansas Radio",20240205T174500Z,,southwestarkansasradio.com,English,United States
43,https://www.texarkanagazette.com/news/2024/feb/08/hope-school-receives-9000-stem-and-robotics-grant/,,"Hope school receives $9 , 000 STEM and Robotics grant from AEP SWEPCO",20240209T060000Z,https://wehco.media.clients.ellingtoncms.com/imports/adg/photos/206464563_IMG_1276_t600.jpg?4326734cdb8e39baa3579048ef63ad7b451e7676,texarkanagazette.com,English,United States
44,https://www.fool.com/investing/2024/01/13/high-yield-dividend-stock-just-raised-payout-aep/?source=iedfolrf0000001,,This High - Yield Dividend Stock Just Raised Its Payout by 6 %. Is It a Buy ? ,20240113T134500Z,https://g.foolcdn.com/editorial/images/760722/21_06_28-a-child-playing-with-a-solar-panel-_gettyimages-1271668484.jpg,fool.com,English,United States
45,https://www.lexology.com/library/detail.aspx?g=72788fc3-d16a-415d-a94a-df20f5b8fb21,,Virginia Viewpoint : A Whole New Ballgame,20240130T080000Z,,lexology.com,English,United States
46,https://www.jdsupra.com/legalnews/virginia-viewpoint-a-whole-new-ballgame-8098155/,,Virginia Viewpoint : A Whole New Ballgame | Cozen OConnor,20240129T201500Z,https://jdsupra-static.s3.amazonaws.com/profile-images/og.15069_1440.jpg,jdsupra.com,English,United States
