,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
1,https://www.insidermonkey.com/blog/apple-aapls-q2-relative-performance-dropped-despite-gains-1357847/,https://www.insidermonkey.com/blog/apple-aapls-q2-relative-performance-dropped-despite-gains-1357847/?amp=1,Apple ( AAPL ) Q2 Relative Performance Dropped Despite Gains,20240923T171500Z,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2023/09/13040841/AAPL-imagemaker-1694592519294.jpg,insidermonkey.com,English,United States
2,https://finance.yahoo.com/news/apple-aapl-q2-relative-performance-145147027.html,,Apple ( AAPL ) Q2 Relative Performance Dropped Despite Gains,20240923T153000Z,https://media.zenfs.com/en/insidermonkey.com/40db70dce127c32806bec193cdc8e622,finance.yahoo.com,English,United States
3,https://www.insidermonkey.com/blog/heres-why-apple-aapl-rose-at-the-end-of-q2-1361385/,https://www.insidermonkey.com/blog/heres-why-apple-aapl-rose-at-the-end-of-q2-1361385/?amp=1,Here Why Apple ( AAPL ) Rose at the End of Q2,20240927T140000Z,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2023/09/13040841/AAPL-imagemaker-1694592519294.jpg,insidermonkey.com,English,United States
5,https://www.insidermonkey.com/blog/warren-buffett-sold-half-of-apple-aapl-shares-in-q3-1368509/,https://www.insidermonkey.com/blog/warren-buffett-sold-half-of-apple-aapl-shares-in-q3-1368509/?amp=1,Warren Buffett Sold Half of Apple ( AAPL ) Shares in Q3,20241007T151500Z,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2023/09/12173122/AAPL-imagemaker-1694554279329.jpg,insidermonkey.com,English,United States
7,https://finance.yahoo.com/news/apple-inc-nasdaq-aapl-most-233941953.html,,Is Apple Inc . ( NASDAQ : AAPL ) The Most Popular Stock Among Mutual Funds According To Goldman Sachs ? ,20241011T001500Z,https://s.yimg.com/ny/api/res/1.2/YGZ9rd0scQp0.Zv2A.aVjw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/aead1c021de030fc594490c8b5b8a9e2,finance.yahoo.com,English,United States
9,https://finance.yahoo.com/news/jim-cramer-acknowledges-apple-inc-185035919.html,,Jim Cramer Acknowledges Apple Inc ( NASDAQ : AAPL ) is Facing  Near - Term Headwinds  ,20241015T191500Z,https://s.yimg.com/ny/api/res/1.2/e1QwhqQiBt5ecLL5Qx6Rkg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/bd47dc2e86b4a3086f845d200d9daf1f,finance.yahoo.com,English,United States
10,https://www.insidermonkey.com/blog/analyst-apple-aapl-iphone-16-holiday-sales-hopes-at-risk-amid-disappointing-sell-throughs-1368980/,https://www.insidermonkey.com/blog/analyst-apple-aapl-iphone-16-holiday-sales-hopes-at-risk-amid-disappointing-sell-throughs-1368980/?amp=1,Analyst : Apple ( AAPL ) iPhone 16 Holiday Sales Hopes At Risk Amid  Disappointing Sell - Throughs  ,20241009T150000Z,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2023/09/19155253/AAPL-insidermonkey-1695153171712.jpg,insidermonkey.com,English,United States
11,https://finance.yahoo.com/news/brad-gerstner-wrong-apple-aapl-125926424.html,,Was Brad Gerstner Wrong About Apple ( AAPL ) AI Potential ? ,20240930T133000Z,https://s.yimg.com/ny/api/res/1.2/e1QwhqQiBt5ecLL5Qx6Rkg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/bd47dc2e86b4a3086f845d200d9daf1f,finance.yahoo.com,English,United States
12,https://www.insidermonkey.com/blog/analysts-note-an-unexpected-positive-development-on-apple-aapl-iphone-16-demand-trends-1370558/,https://www.insidermonkey.com/blog/analysts-note-an-unexpected-positive-development-on-apple-aapl-iphone-16-demand-trends-1370558/?amp=1,Analysts Note an  Unexpected  Positive Development on Apple ( AAPL ) iPhone 16 Demand Trends,20241011T150000Z,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2023/09/19155253/AAPL-insidermonkey-1695153171712.jpg,insidermonkey.com,English,United States
14,https://www.insidermonkey.com/blog/jim-cramer-acknowledges-apple-inc-nasdaqaapl-is-facing-near-term-headwinds-1373892/,https://www.insidermonkey.com/blog/jim-cramer-acknowledges-apple-inc-nasdaqaapl-is-facing-near-term-headwinds-1373892/?amp=1,Jim Cramer Acknowledges Apple Inc ( NASDAQ : AAPL ) is Facing  Near - Term Headwinds  ,20241015T193000Z,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2023/09/19155253/AAPL-insidermonkey-1695153171712.jpg,insidermonkey.com,English,United States
