,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://finance.yahoo.com/news/goldman-sachs-alexandria-real-estate-214253297.html,,"Goldman Sachs : Alexandria Real Estate Equities , Inc . ( ARE ) Is A Stock With High Consensus ROE",20241019T221500Z,https://s.yimg.com/ny/api/res/1.2/yRdE2Fd7OFb5_AKZnOz6ig--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/85a3e9577fbf418d83d9f6f5a5267f0b,finance.yahoo.com,English,United States
2,https://theenterpriseleader.com/2024/10/23/commerzbank-aktiengesellschaft-fi-increases-stock-position-in-alexandria-real-estate-equities-inc-nyseare.html,,"Commerzbank Aktiengesellschaft FI Increases Stock Position in Alexandria Real Estate Equities , Inc . ( NYSE : ARE ) ",20241023T144500Z,,theenterpriseleader.com,English,United States
3,https://www.themarketsdaily.com/2024/10/22/alexandria-real-estate-equities-nyseare-issues-earnings-results.html,,Alexandria Real Estate Equities ( NYSE : ARE ) Issues Earnings Results,20241022T144500Z,,themarketsdaily.com,English,United States
4,https://theenterpriseleader.com/2024/10/21/alexandria-real-estate-equities-nyseare-issues-fy24-earnings-guidance.html,,Alexandria Real Estate Equities ( NYSE : ARE ) Issues FY24 Earnings Guidance,20241021T223000Z,,theenterpriseleader.com,English,United States
5,https://www.modernreaders.com/news/2024/10/21/alexandria-real-estate-equities-nyseare-releases-fy24-earnings-guidance.html,,Alexandria Real Estate Equities ( NYSE : ARE ) Releases FY24 Earnings Guidance,20241021T211500Z,,modernreaders.com,English,United States
6,https://www.modernreaders.com/news/2024/11/10/robert-w-baird-lowers-alexandria-real-estate-equities-nyseare-price-target-to-130-00.html,,Robert W . Baird Lowers Alexandria Real Estate Equities ( NYSE : ARE ) Price Target to $130 . 00,20241110T121500Z,,modernreaders.com,English,United States
7,https://www.modernreaders.com/news/2024/10/24/alexandria-real-estate-equities-nyseare-issues-quarterly-earnings-results.html,,Alexandria Real Estate Equities ( NYSE : ARE ) Issues Quarterly Earnings Results,20241024T011500Z,,modernreaders.com,English,United States
8,https://www.themarketsdaily.com/2024/10/18/alexandria-real-estate-equities-inc-nyseare-shares-sold-by-spc-financial-inc.html,,"Alexandria Real Estate Equities , Inc . ( NYSE : ARE ) Shares Sold by SPC Financial Inc . ",20241018T141500Z,,themarketsdaily.com,English,United States
9,https://www.modernreaders.com/news/2024/11/03/lmcg-investments-llc-has-1-11-million-stake-in-alexandria-real-estate-equities-inc-nyseare.html,,"Lmcg Investments LLC Has $1 . 11 Million Stake in Alexandria Real Estate Equities , Inc . ( NYSE : ARE ) ",20241103T113000Z,,modernreaders.com,English,United States
10,https://www.wkrb13.com/2024/11/05/intact-investment-management-inc-increases-stake-in-alexandria-real-estate-equities-inc-nyseare.html,,"Intact Investment Management Inc . Increases Stake in Alexandria Real Estate Equities , Inc . ( NYSE : ARE ) ",20241105T133000Z,,wkrb13.com,English,United States
12,https://www.djc.com/news/re/12166552.html,,Seattle DJC . com local business news and data - Real Estate - Alexandria eyes SLU site for life - sci tower,20241024T073000Z,,djc.com,English,United States
13,https://santamariatimes.com/ap/business/alexandria-real-estate-equities-q3-earnings-snapshot/article_82eec860-ae57-519f-9167-2e65741a307b.html,,Alexandria Real Estate Equities : Q3 Earnings Snapshot,20241021T213000Z,https://bloximages.chicago2.vip.townnews.com/santamariatimes.com/content/tncms/custom/image/b9c888ca-59a2-11eb-a31f-0b4d74fa96dc.jpg,santamariatimes.com,English,United States
18,https://commercialobserver.com/2024/11/willard-retail-maryland-retail/,,"Foulger Pratt , Alexandria Sell Maryland Complex in 1031 Exchange – Commercial Observer",20241113T041500Z,https://commercialobserver.com/wp-content/uploads/sites/3/2024/08/Cameron-Pratt-Bryan-Foulger-Peter-Ognibene-WEB.jpg?quality=80&crop=1,commercialobserver.com,English,United States
19,https://www.cnbc.com/2024/10/21/stocks-making-the-biggest-moves-after-hours-nke-zion-nue.html,,"Stocks making the biggest moves after hours : NKE , ZION , NUE",20241021T213000Z,https://image.cnbcfm.com/api/v1/image/107429945-17186506182024-06-17t182620z_1382152716_rc2zc8agyzwz_rtrmadp_0_usa-dailylife.jpeg?v=1718650644,cnbc.com,English,United States
20,https://commercialobserver.com/2024/11/alexandria-sells-nova-lab-81m/,,Alexandria Real Estate Sells NoVA Lab for $80 . 5M – Commercial Observer,20241106T003000Z,https://commercialobserver.com/wp-content/uploads/sites/3/2024/11/NoVa.jpg?quality=80&crop=1,commercialobserver.com,English,United States
21,https://commercialobserver.com/2024/10/metro-loft-david-werner-pfizer-hq/,,Metro Loft and David Werner Secure Full Control of Former Pfizer HQ,20241023T234500Z,https://commercialobserver.com/wp-content/uploads/sites/3/2024/10/SQUARE_NathanBerman_PfizerHQ-WEB.jpg?quality=80,commercialobserver.com,English,United States
22,https://therealdeal.com/sanfrancisco/2024/11/14/strada-adds-floors-to-approved-apartment-highrise-in-sf/,,Strada Adds Floors to Approved Apartment Highrise in SF,20241114T201500Z,https://static.therealdeal.com/wp-content/uploads/2024/11/Strada-tweaks-approved-apartment-highrise-in-SoMa_FT-Thumbnail.jpg,therealdeal.com,English,United States
23,https://bankerandtradesman.com/alexandria-set-to-sell-more-massachusetts-properties/,,Alexandria Set to Sell More Massachusetts Properties,20241023T204500Z,,bankerandtradesman.com,English,United States
24,https://therealdeal.com/sanfrancisco/2024/11/12/strada-seeks-to-build-homes-at-stalled-office-project-in-sf/,,Strada Seeks to Build Homes at Stalled Office Project in SF,20241113T004500Z,https://static.therealdeal.com/wp-content/uploads/2024/11/Strada-Seeks-to-Build-Homes-at-Stalled-Office-Project-in-SF_FT-Thumbnail.jpg,therealdeal.com,English,United States
25,https://therealdeal.com/national/seattle/2024/11/14/kkr-sinks-millions-more-into-seattle-life-science-building/,,KKR Sinks Millions More Into Seattle Life Science Building,20241115T191500Z,https://static.therealdeal.com/wp-content/uploads/2024/11/SEA-KKR-sinks-millions-into-a-life-science-building-in-Seattle-to-draw-tenants-FEATUREIMG_v2.jpg,therealdeal.com,English,United States
27,https://www.sandiegouniontribune.com/2024/11/10/housing-project-near-la-jolla-could-add-2200-units-in-eight-buildings/,,"Housing project near La Jolla could add 2 , 200 units in eight buildings",20241111T001500Z,https://www.sandiegouniontribune.com/wp-content/uploads/2024/11/IMG_2435a.jpg,sandiegouniontribune.com,English,United States
28,https://www.einpresswire.com/article/754858575/global-real-estate-rental-market-forecast-key-growth-drivers-trends-and-opportunities-from-2024-to-2033,,"Global Real Estate Rental Market Forecast : Key Growth Drivers , Trends , and Opportunities from 2024 to 2033",20241028T201500Z,https://img.einnews.com/facebook/765661/real-estate-rental-market-size.png,einpresswire.com,English,United States
29,http://www.sfchronicle.com/realestate/article/sf-housing-central-soma-19898550.php,,Stalled Central SoMa tennis club project could become new housing,20241111T170000Z,https://s.hdnux.com/photos/01/45/45/56/26631067/3/rawImage.jpg,sfchronicle.com,English,United States
