,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://www.tickerreport.com/banking-finance/12924582/stifel-financial-corp-trims-stock-holdings-in-automatic-data-processing-inc-nasdaqadp.html,,"Stifel Financial Corp Trims Stock Holdings in Automatic Data Processing , Inc . ( NASDAQ : ADP ) ",20250421T121500Z,,tickerreport.com,English,United States
1,https://www.themarketsdaily.com/2025/04/22/alta-advisers-ltd-acquires-272-shares-of-automatic-data-processing-inc-nasdaqadp.html,,"Alta Advisers Ltd Acquires 272 Shares of Automatic Data Processing , Inc . ( NASDAQ : ADP ) ",20250422T134500Z,,themarketsdaily.com,English,United States
2,https://www.dailypolitical.com/2025/05/04/aptus-capital-advisors-llc-has-8-53-million-holdings-in-automatic-data-processing-inc-nasdaqadp.html,,"Aptus Capital Advisors LLC Has $8 . 53 Million Holdings in Automatic Data Processing , Inc . ( NASDAQ : ADP ) ",20250504T160000Z,,dailypolitical.com,English,United States
3,https://www.tickerreport.com/banking-finance/12938638/comerica-bank-trims-position-in-automatic-data-processing-inc-nasdaqadp.html,,"Comerica Bank Trims Position in Automatic Data Processing , Inc . ( NASDAQ : ADP ) ",20250430T160000Z,,tickerreport.com,English,United States
4,https://www.themarketsdaily.com/2025/05/11/automatic-data-processing-inc-nasdaqadp-holdings-lifted-by-guardian-wealth-advisors-llc-nc.html,,"Automatic Data Processing , Inc . ( NASDAQ : ADP ) Holdings Lifted by Guardian Wealth Advisors LLC NC",20250511T114500Z,,themarketsdaily.com,English,United States
5,https://www.tickerreport.com/banking-finance/12961157/point72-europe-london-llp-boosts-position-in-automatic-data-processing-inc-nasdaqadp.html,,"Point72 Europe London LLP Boosts Position in Automatic Data Processing , Inc . ( NASDAQ : ADP ) ",20250515T154500Z,,tickerreport.com,English,United States
6,https://www.dailypolitical.com/2025/05/11/ensign-peak-advisors-inc-boosts-holdings-in-automatic-data-processing-inc-nasdaqadp.html,,"Ensign Peak Advisors Inc Boosts Holdings in Automatic Data Processing , Inc . ( NASDAQ : ADP ) ",20250511T153000Z,,dailypolitical.com,English,United States
7,https://www.dailypolitical.com/2025/05/15/point72-europe-london-llp-boosts-position-in-automatic-data-processing-inc-nasdaqadp.html,,"Point72 Europe London LLP Boosts Position in Automatic Data Processing , Inc . ( NASDAQ : ADP ) ",20250515T154500Z,,dailypolitical.com,English,United States
8,https://www.tickerreport.com/banking-finance/12955136/automatic-data-processing-inc-nasdaqadp-shares-acquired-by-ensign-peak-advisors-inc.html,,"Automatic Data Processing , Inc . ( NASDAQ : ADP ) Shares Acquired by Ensign Peak Advisors Inc",20250511T153000Z,,tickerreport.com,English,United States
9,https://www.themarketsdaily.com/2025/05/15/northrock-partners-llc-acquires-3849-shares-of-automatic-data-processing-inc-nasdaqadp.html,,"NorthRock Partners LLC Acquires 3 , 849 Shares of Automatic Data Processing , Inc . ( NASDAQ : ADP ) ",20250515T140000Z,,themarketsdaily.com,English,United States
